"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"17232","external_page_harvard.html","external-html","0","17310","0.0-0.0","A1IEW0TLXGL6HJ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1801","","image-button-response","1","19113","0.0-1.0","A1IEW0TLXGL6HJ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2408","","image-button-response","2","21525","0.0-2.0-0.0","A1IEW0TLXGL6HJ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6632","","survey-text","3","28158","0.0-3.0-0.0","A1IEW0TLXGL6HJ","","","","{""Q0"":""A1IEW0TLXGL6HJ""}","","","","","","","","","","","","","","","","","","","","","","",""
"3283","","image-button-response_instructions","4","31444","0.0-4.0","A1IEW0TLXGL6HJ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7541","","image-button-response_instructions","5","38986","0.0-5.0","A1IEW0TLXGL6HJ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3970","","image-button-response_instructions","6","42958","0.0-6.0","A1IEW0TLXGL6HJ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5910","","image-button-response_instructions","7","48870","0.0-7.0","A1IEW0TLXGL6HJ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12171","","image-button-response_instructions","8","61042","0.0-8.0","A1IEW0TLXGL6HJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2139","","image-button-response_instructions","9","63182","0.0-9.0","A1IEW0TLXGL6HJ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2688","","image-button-response_instructions","10","65871","0.0-10.0","A1IEW0TLXGL6HJ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2970","","image-button-response_instructions","11","68842","0.0-11.0","A1IEW0TLXGL6HJ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4559","","image-button-response_instructions","12","73403","0.0-12.0","A1IEW0TLXGL6HJ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9040","","image-button-response_instructions","13","82444","0.0-13.0","A1IEW0TLXGL6HJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9212","","image-button-response_instructions","14","91658","0.0-14.0","A1IEW0TLXGL6HJ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
