"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"25490","external_page_harvard.html","external-html","0","25631","0.0-0.0","A1J6LV7NWDKV9N","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5409","","image-button-response","1","31043","0.0-1.0","A1J6LV7NWDKV9N","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3142","","image-button-response","2","34193","0.0-2.0-0.0","A1J6LV7NWDKV9N","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"21386","","survey-text","3","55583","0.0-3.0-0.0","A1J6LV7NWDKV9N","","","","{""Q0"":""A1J6LV7NWDKV9N""}","","","","","","","","","","","","","","","","","","","","","","",""
"18487","","image-button-response_instructions","4","74074","0.0-4.0","A1J6LV7NWDKV9N","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21978","","image-button-response_instructions","5","96054","0.0-5.0","A1J6LV7NWDKV9N","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7889","","image-button-response_instructions","6","103944","0.0-6.0","A1J6LV7NWDKV9N","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14240","","image-button-response_instructions","7","118186","0.0-7.0","A1J6LV7NWDKV9N","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16709","","image-button-response_instructions","8","134897","0.0-8.0","A1J6LV7NWDKV9N","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5919","","image-button-response_instructions","9","140819","0.0-9.0","A1J6LV7NWDKV9N","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
