"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"18270","external_page_harvard.html","external-html","0","18541","0.0-0.0","A1JJYY622DGE5L","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2667","","image-button-response","1","21223","0.0-1.0","A1JJYY622DGE5L","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2520","","image-button-response","2","23770","0.0-2.0-0.0","A1JJYY622DGE5L","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9538","","survey-text","3","33316","0.0-3.0-0.0","A1JJYY622DGE5L","","","","{""Q0"":""A1JJYY622DGE5L""}","","","","","","","","","","","","","","","","","","","","","","",""
"14653","","image-button-response_instructions","4","47976","0.0-4.0","A1JJYY622DGE5L","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8663","","image-button-response_instructions","5","56647","0.0-5.0","A1JJYY622DGE5L","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3923","","image-button-response_instructions","6","60588","0.0-6.0","A1JJYY622DGE5L","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3605","","image-button-response_instructions","7","64202","0.0-7.0","A1JJYY622DGE5L","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5240","","image-button-response_instructions","8","69447","0.0-8.0","A1JJYY622DGE5L","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2074","","image-button-response_instructions","9","71527","0.0-9.0","A1JJYY622DGE5L","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2839","","image-button-response_instructions","10","74373","0.0-10.0","A1JJYY622DGE5L","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2040","","image-button-response_instructions","11","76421","0.0-11.0","A1JJYY622DGE5L","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4344","","image-button-response_instructions","12","80771","0.0-12.0","A1JJYY622DGE5L","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1998","","image-button-response_instructions","13","82775","0.0-13.0","A1JJYY622DGE5L","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4142","","image-button-response_instructions","14","86921","0.0-14.0","A1JJYY622DGE5L","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1578","","image-button-response_instructions","15","88505","0.0-15.0","A1JJYY622DGE5L","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2174","","image-button-response_instructions","16","90688","0.0-16.0","A1JJYY622DGE5L","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3168","","image-button-response_instructions","17","93864","0.0-17.0","A1JJYY622DGE5L","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2208","","image-button-response_instructions","18","96079","0.0-18.0","A1JJYY622DGE5L","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5287","","survey-text","19","101502","0.0-19.0-0.0","A1JJYY622DGE5L","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"9160","","survey-text","20","110669","0.0-20.0-0.0","A1JJYY622DGE5L","","","","{""Q0"":""Love the colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"4566.299999952316","","image-slider-response","21","115250","0.0-21.0","A1JJYY622DGE5L","","","","","30","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","120271","0.0-22.0","A1JJYY622DGE5L","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"16206","","image-button-response","23","136485","0.0-23.0","A1JJYY622DGE5L","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2281","","image-button-response","24","138777","0.0-24.0-0.0","A1JJYY622DGE5L","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4084","","image-button-response","25","142870","0.0-25.0-0.0","A1JJYY622DGE5L","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","143379","0.0-26.0","A1JJYY622DGE5L","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","30","Love the colors","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"26448","","survey-text","27","169833","0.0-27.0-0.0","A1JJYY622DGE5L","","","","{""Q0"":""This is really intense.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4151.899999976158","","image-slider-response","28","173994","0.0-28.0","A1JJYY622DGE5L","","","","","-14","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","179016","0.0-29.0","A1JJYY622DGE5L","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"12669","","image-button-response","30","191693","0.0-30.0","A1JJYY622DGE5L","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6092","","image-button-response","31","197795","0.0-31.0-0.0","A1JJYY622DGE5L","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3645","","image-button-response","32","201450","0.0-32.0-0.0","A1JJYY622DGE5L","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","202470","0.0-33.0","A1JJYY622DGE5L","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","-14","This is really intense.","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Jen","It reminds me of a fireplace,36,120,20","Allison","I don't have strong feelings about this,10,20,20","0"
"20445","","survey-text","34","222935","0.0-34.0-0.0","A1JJYY622DGE5L","","","","{""Q0"":""This makes me think of Antarctica""}","","","","","","","","","","","","","","","","","","","","","","",""
"5493.199999928474","","image-slider-response","35","228438","0.0-35.0","A1JJYY622DGE5L","","","","","7","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","233455","0.0-36.0","A1JJYY622DGE5L","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2639","","image-button-response","37","236100","0.0-37.0","A1JJYY622DGE5L","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6288","","image-button-response","38","242401","0.0-38.0-0.0","A1JJYY622DGE5L","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1668","","image-button-response","39","244080","0.0-39.0-0.0","A1JJYY622DGE5L","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","245086","0.0-40.0","A1JJYY622DGE5L","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","7","This makes me think of Antarctica","Allison,Kara,Rose,Leslie,Mary,Jen","enjoy the different shades of blue,22,20,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","It's an alright work,15,200,20","I like the overlapping of brushes,41,220,20","I can feel a rainy day from this painting,18,120,20","Allison","enjoy the different shades of blue,22,20,20","Jen","I can feel a rainy day from this painting,18,120,20","Leslie","It's an alright work,15,200,20","0"
"3525","","image-button-response_instructions","41","248636","0.0-41.0","A1JJYY622DGE5L","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12305","","survey-likert","42","260952","0.0-42.0-0.0","A1JJYY622DGE5L","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4146","","survey-text","43","265119","0.0-43.0-0.0","A1JJYY622DGE5L","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
