"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"47571","external_page_harvard.html","external-html","0","47812","0.0-0.0","A1JV2S5C8QHD1B","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2145","","image-button-response","1","49960","0.0-1.0","A1JV2S5C8QHD1B","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1750","","image-button-response","2","51719","0.0-2.0-0.0","A1JV2S5C8QHD1B","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10543","","survey-text","3","62264","0.0-3.0-0.0","A1JV2S5C8QHD1B","","","","{""Q0"":""A1JV2S5C8QHD1B""}","","","","","","","","","","","","","","","","","","","","","","",""
"2937","","image-button-response_instructions","4","65204","0.0-4.0","A1JV2S5C8QHD1B","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11645","","image-button-response_instructions","5","76850","0.0-5.0","A1JV2S5C8QHD1B","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5444","","image-button-response_instructions","6","82296","0.0-6.0","A1JV2S5C8QHD1B","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7376","","image-button-response_instructions","7","89675","0.0-7.0","A1JV2S5C8QHD1B","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6198","","image-button-response_instructions","8","95875","0.0-8.0","A1JV2S5C8QHD1B","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2429","","image-button-response_instructions","9","98305","0.0-9.0","A1JV2S5C8QHD1B","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2639","","image-button-response_instructions","10","100944","0.0-10.0","A1JV2S5C8QHD1B","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3929","","image-button-response_instructions","11","104875","0.0-11.0","A1JV2S5C8QHD1B","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4998","","image-button-response_instructions","12","109875","0.0-12.0","A1JV2S5C8QHD1B","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7028","","image-button-response_instructions","13","116905","0.0-13.0","A1JV2S5C8QHD1B","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3603","","image-button-response_instructions","14","120510","0.0-14.0","A1JV2S5C8QHD1B","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15148","","image-button-response_instructions","15","135660","0.0-15.0","A1JV2S5C8QHD1B","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4618","","image-button-response_instructions","16","140280","0.0-16.0","A1JV2S5C8QHD1B","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2229","","image-button-response_instructions","17","142510","0.0-17.0","A1JV2S5C8QHD1B","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1479","","image-button-response_instructions","18","143990","0.0-18.0","A1JV2S5C8QHD1B","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6483","","survey-text","19","150510","0.0-19.0-0.0","A1JV2S5C8QHD1B","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"11248","","survey-text","20","161760","0.0-20.0-0.0","A1JV2S5C8QHD1B","","","","{""Q0"":""it's calming, the colors are relaxing and comforting.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5686.800000011921","","image-slider-response","21","167451","0.0-21.0","A1JV2S5C8QHD1B","","","","","23","","","","","","","","","","","","","","","","","","","","","",""
"2706","","image-button-response","22","172458","0.0-22.0","A1JV2S5C8QHD1B","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3409","","image-button-response","23","175871","0.0-23.0","A1JV2S5C8QHD1B","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2957","","image-button-response","24","178831","0.0-24.0-0.0","A1JV2S5C8QHD1B","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1327","","image-button-response","25","180161","0.0-25.0-0.0","A1JV2S5C8QHD1B","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","181178","0.0-26.0","A1JV2S5C8QHD1B","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","23","it's calming, the colors are relaxing and comforting.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","Jack","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","0"
"9491","","survey-text","27","190679","0.0-27.0-0.0","A1JV2S5C8QHD1B","","","","{""Q0"":""I love the intensity of the colors.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4297.899999976158","","image-slider-response","28","194979","0.0-28.0","A1JV2S5C8QHD1B","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","199984","0.0-29.0","A1JV2S5C8QHD1B","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"724","","image-button-response","30","200710","0.0-30.0","A1JV2S5C8QHD1B","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1006","","image-button-response","31","201719","0.0-31.0-0.0","A1JV2S5C8QHD1B","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"816","","image-button-response","32","202538","0.0-32.0-0.0","A1JV2S5C8QHD1B","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","203558","0.0-33.0","A1JV2S5C8QHD1B","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","11","I love the intensity of the colors.","James,Alex,Kyle,Carl,John,Jack","looks too angry,-50,140,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","John","love the texture of paint,48,160,20","Carl","I can feel the artist's passion in it,45,80,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","0"
"15677","","survey-text","34","219239","0.0-34.0-0.0","A1JV2S5C8QHD1B","","","","{""Q0"":""Wow, I LOVE the blues-- it's beautiful, so peaceful.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5048.5","","image-slider-response","35","224291","0.0-35.0","A1JV2S5C8QHD1B","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"4376","","image-button-response","36","229297","0.0-36.0","A1JV2S5C8QHD1B","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1520","","image-button-response","37","230820","0.0-37.0","A1JV2S5C8QHD1B","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2777","","image-button-response","38","233601","0.0-38.0-0.0","A1JV2S5C8QHD1B","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1636","","image-button-response","39","235240","0.0-39.0-0.0","A1JV2S5C8QHD1B","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1068","","image-button-response","40","241221","0.0-39.1-0.1","A1JV2S5C8QHD1B","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","242239","0.0-40.0","A1JV2S5C8QHD1B","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","50","Wow, I LOVE the blues-- it's beautiful, so peaceful.","Mike,Sam,Ron,Carl,John,Jack","enjoy the different shades of blue,22,200,20","I can feel a rainy day from this painting,18,240,20","It looks depressing,-26,220,20","It's an alright work,15,80,20","I like the overlapping of brushes,41,160,20","I feel connected to the artist,40,120,20","Mike","enjoy the different shades of blue,22,200,20","Jack","I feel connected to the artist,40,120,20","Sam","I can feel a rainy day from this painting,18,240,20","2"
"5095","","image-button-response_instructions","42","247341","0.0-41.0","A1JV2S5C8QHD1B","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5577","","survey-likert","43","252922","0.0-42.0-0.0","A1JV2S5C8QHD1B","","","","{""Q0"":"""",""Q1"":"""",""Q2"":""""}","","","","","","","","","","","","","","","","","","","","","","",""
"10008","","survey-likert","44","264951","0.0-42.1-0.1","A1JV2S5C8QHD1B","","","","{""Q0"":"""",""Q1"":1,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"2999","","survey-likert","45","271102","0.0-42.2-0.2","A1JV2S5C8QHD1B","","","","{""Q0"":"""",""Q1"":0,""Q2"":""""}","","","","","","","","","","","","","","","","","","","","","","",""
"4606","","survey-likert","46","282721","0.0-42.3-0.3","A1JV2S5C8QHD1B","","","","{""Q0"":"""",""Q1"":0,""Q2"":0}","","","","","","","","","","","","","","","","","","","","","","",""
"3670","","survey-likert","47","288161","0.0-42.4-0.4","A1JV2S5C8QHD1B","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4381","","survey-text","48","292551","0.0-43.0-0.0","A1JV2S5C8QHD1B","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"15406","","survey-text","49","307960","0.0-44.0-0.0","A1JV2S5C8QHD1B","","","","{""Q0"":""It's lovely, reminds me of a summer night with a thunderstorm.""}","","","","","","","","","","","","","","","","","","","","","","",""
