"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"81580","external_page_harvard.html","external-html","0","81845","0.0-0.0","A1K2R6FBPUA5TQ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1871","","image-button-response","1","83717","0.0-1.0","A1K2R6FBPUA5TQ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1587","","image-button-response","2","85315","0.0-2.0-0.0","A1K2R6FBPUA5TQ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7259","","survey-text","3","92575","0.0-3.0-0.0","A1K2R6FBPUA5TQ","","","","{""Q0"":""A1K2R6FBPUA5TQ""}","","","","","","","","","","","","","","","","","","","","","","",""
"7690","","image-button-response_instructions","4","100267","0.0-4.0","A1K2R6FBPUA5TQ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11650","","image-button-response_instructions","5","111922","0.0-5.0","A1K2R6FBPUA5TQ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4029","","image-button-response_instructions","6","115956","0.0-6.0","A1K2R6FBPUA5TQ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4941","","image-button-response_instructions","7","120900","0.0-7.0","A1K2R6FBPUA5TQ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9233","","image-button-response_instructions","8","130137","0.0-8.0","A1K2R6FBPUA5TQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3630","","image-button-response_instructions","9","133771","0.0-9.0","A1K2R6FBPUA5TQ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3518","","image-button-response_instructions","10","137292","0.0-10.0","A1K2R6FBPUA5TQ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3000","","image-button-response_instructions","11","140296","0.0-11.0","A1K2R6FBPUA5TQ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6196","","image-button-response_instructions","12","146495","0.0-12.0","A1K2R6FBPUA5TQ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9121","","image-button-response_instructions","13","155619","0.0-13.0","A1K2R6FBPUA5TQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6871","","image-button-response_instructions","14","162493","0.0-14.0","A1K2R6FBPUA5TQ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
