"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"13702","external_page_harvard.html","external-html","0","13872","0.0-0.0","A1KZ0KE93WNN5O","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1924","","image-button-response","1","15798","0.0-1.0","A1KZ0KE93WNN5O","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4152","","image-button-response","2","19958","0.0-2.0-0.0","A1KZ0KE93WNN5O","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9318","","survey-text","3","29278","0.0-3.0-0.0","A1KZ0KE93WNN5O","","","","{""Q0"":""A1KZ0KE93WNN5O""}","","","","","","","","","","","","","","","","","","","","","","",""
"5941","","image-button-response_instructions","4","35222","0.0-4.0","A1KZ0KE93WNN5O","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12614","","image-button-response_instructions","5","47838","0.0-5.0","A1KZ0KE93WNN5O","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6118","","image-button-response_instructions","6","53958","0.0-6.0","A1KZ0KE93WNN5O","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6141","","image-button-response_instructions","7","60101","0.0-7.0","A1KZ0KE93WNN5O","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16918","","image-button-response_instructions","8","77021","0.0-8.0","A1KZ0KE93WNN5O","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3662","","image-button-response_instructions","9","80685","0.0-9.0","A1KZ0KE93WNN5O","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3478","","image-button-response_instructions","10","84165","0.0-10.0","A1KZ0KE93WNN5O","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2662","","image-button-response_instructions","11","86829","0.0-11.0","A1KZ0KE93WNN5O","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4478","","image-button-response_instructions","12","91309","0.0-12.0","A1KZ0KE93WNN5O","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10534","","image-button-response_instructions","13","101845","0.0-13.0","A1KZ0KE93WNN5O","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9246","","image-button-response_instructions","14","111093","0.0-14.0","A1KZ0KE93WNN5O","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4286","","image-button-response_instructions","15","115381","0.0-15.0","A1KZ0KE93WNN5O","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7726","","image-button-response_instructions","16","123109","0.0-16.0","A1KZ0KE93WNN5O","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4158","","image-button-response_instructions","17","127269","0.0-17.0","A1KZ0KE93WNN5O","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1574","","image-button-response_instructions","18","128845","0.0-18.0","A1KZ0KE93WNN5O","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8882","","survey-text","19","137757","0.0-19.0-0.0","A1KZ0KE93WNN5O","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"41286","","survey-text","20","179045","0.0-20.0-0.0","A1KZ0KE93WNN5O","","","","{""Q0"":""warm movement""}","","","","","","","","","","","","","","","","","","","","","","",""
"4484.699999928474","","image-slider-response","21","183533","0.0-21.0","A1KZ0KE93WNN5O","","","","","2","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","188538","0.0-22.0","A1KZ0KE93WNN5O","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2422","","image-button-response","23","190965","0.0-23.0","A1KZ0KE93WNN5O","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2173","","image-button-response","24","193141","0.0-24.0-0.0","A1KZ0KE93WNN5O","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"6780","","image-button-response","25","199925","0.0-25.0-0.0","A1KZ0KE93WNN5O","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
