"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5071","external_page_harvard.html","external-html","0","5168","0.0-0.0","A1NM9PXZDCCQ1E","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2882","","image-button-response","1","8058","0.0-1.0","A1NM9PXZDCCQ1E","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3216","","image-button-response","2","11294","0.0-2.0-0.0","A1NM9PXZDCCQ1E","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9308","","survey-text","3","20609","0.0-3.0-0.0","A1NM9PXZDCCQ1E","","","","{""Q0"":""A1NM9PXZDCCQ1E""}","","","","","","","","","","","","","","","","","","","","","","",""
"9350","","image-button-response_instructions","4","29968","0.0-4.0","A1NM9PXZDCCQ1E","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11473","","image-button-response_instructions","5","41446","0.0-5.0","A1NM9PXZDCCQ1E","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4029","","image-button-response_instructions","6","45480","0.0-6.0","A1NM9PXZDCCQ1E","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4293","","image-button-response_instructions","7","49778","0.0-7.0","A1NM9PXZDCCQ1E","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11926","","image-button-response_instructions","8","61707","0.0-8.0","A1NM9PXZDCCQ1E","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2765","","image-button-response_instructions","9","64477","0.0-9.0","A1NM9PXZDCCQ1E","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3182","","image-button-response_instructions","10","67665","0.0-10.0","A1NM9PXZDCCQ1E","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2522","","image-button-response_instructions","11","70190","0.0-11.0","A1NM9PXZDCCQ1E","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4970","","image-button-response_instructions","12","75165","0.0-12.0","A1NM9PXZDCCQ1E","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9051","","image-button-response_instructions","13","84221","0.0-13.0","A1NM9PXZDCCQ1E","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7306","","image-button-response_instructions","14","91531","0.0-14.0","A1NM9PXZDCCQ1E","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3529","","image-button-response_instructions","15","95066","0.0-15.0","A1NM9PXZDCCQ1E","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12413","","image-button-response_instructions","16","107483","0.0-16.0","A1NM9PXZDCCQ1E","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3399","","image-button-response_instructions","17","110886","0.0-17.0","A1NM9PXZDCCQ1E","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"45838","","image-button-response_instructions","18","156728","0.0-18.0","A1NM9PXZDCCQ1E","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5101","","survey-text","19","161880","0.0-19.0-0.0","A1NM9PXZDCCQ1E","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"17753","","survey-text","20","179639","0.0-20.0-0.0","A1NM9PXZDCCQ1E","","","","{""Q0"":""I feel the scratchiness of this conveys a strong, chaotic emotion""}","","","","","","","","","","","","","","","","","","","","","","",""
"4057.300000000745","","image-slider-response","21","183705","0.0-21.0","A1NM9PXZDCCQ1E","","","","","25","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","188718","0.0-22.0","A1NM9PXZDCCQ1E","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3498","","image-button-response","23","192223","0.0-23.0","A1NM9PXZDCCQ1E","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2682","","image-button-response","24","194915","0.0-24.0-0.0","A1NM9PXZDCCQ1E","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5050","","image-button-response","25","199977","0.0-25.0-0.0","A1NM9PXZDCCQ1E","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","201486","0.0-26.0","A1NM9PXZDCCQ1E","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","25","I feel the scratchiness of this conveys a strong, chaotic emotion","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"11609","","survey-text","27","213112","0.0-27.0-0.0","A1NM9PXZDCCQ1E","","","","{""Q0"":""the deep colors of this are very moving, gives a heavy feeling""}","","","","","","","","","","","","","","","","","","","","","","",""
"4472","","image-slider-response","28","217592","0.0-28.0","A1NM9PXZDCCQ1E","","","","","33","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","222603","0.0-29.0","A1NM9PXZDCCQ1E","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3911","","image-button-response","30","226521","0.0-30.0","A1NM9PXZDCCQ1E","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1355","","image-button-response","31","227884","0.0-31.0-0.0","A1NM9PXZDCCQ1E","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1827","","image-button-response","32","229716","0.0-32.0-0.0","A1NM9PXZDCCQ1E","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","230220","0.0-33.0","A1NM9PXZDCCQ1E","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","33","the deep colors of this are very moving, gives a heavy feeling","Allison,Ashley,Katie,Jenna,Kara,Jen","I don't have strong feelings about this,10,20,20","Idk, it is just annoying,-32,40,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I like the blocks of color arrangements,30,160,20","It reminds me of a fireplace,36,120,20","Jen","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Allison","I don't have strong feelings about this,10,20,20","0"
"27369","","survey-text","34","257601","0.0-34.0-0.0","A1NM9PXZDCCQ1E","","","","{""Q0"":""i love the lightness of this, the strokes are almost dancing""}","","","","","","","","","","","","","","","","","","","","","","",""
"4266","","image-slider-response","35","261875","0.0-35.0","A1NM9PXZDCCQ1E","","","","","32","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","266883","0.0-36.0","A1NM9PXZDCCQ1E","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2994","","image-button-response","37","269885","0.0-37.0","A1NM9PXZDCCQ1E","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4994","","image-button-response","38","274887","0.0-38.0-0.0","A1NM9PXZDCCQ1E","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"737","","image-button-response","39","275635","0.0-39.0-0.0","A1NM9PXZDCCQ1E","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","276640","0.0-40.0","A1NM9PXZDCCQ1E","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","32","i love the lightness of this, the strokes are almost dancing","Allison,Rose,Mary,Leslie,Kara,Jen","enjoy the different shades of blue,22,20,20","My daily routine, it's depressing,-20,240,20","I like the overlapping of brushes,41,220,20","It's an alright work,15,200,20","calming blue is very nice,36,160,20","I can feel a rainy day from this painting,18,120,20","Kara","calming blue is very nice,36,160,20","Rose","My daily routine, it's depressing,-20,240,20","Allison","enjoy the different shades of blue,22,20,20","0"
"3959","","image-button-response_instructions","41","280618","0.0-41.0","A1NM9PXZDCCQ1E","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11036","","survey-likert","42","291660","0.0-42.0-0.0","A1NM9PXZDCCQ1E","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"3470","","survey-text","43","295150","0.0-43.0-0.0","A1NM9PXZDCCQ1E","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"13485","","survey-text","44","308640","0.0-44.0-0.0","A1NM9PXZDCCQ1E","","","","{""Q0"":""This reminds me of vomit and ketchup""}","","","","","","","","","","","","","","","","","","","","","","",""
"3998.699999999255","","image-slider-response","45","312646","0.0-45.0","A1NM9PXZDCCQ1E","","","","","-39","","","","","","","","","","","","","","","","","","","","","",""
