"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7808","external_page_harvard.html","external-html","0","7885","0.0-0.0","A1OKFYVJTEK4BI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1825","","image-button-response","1","9711","0.0-1.0","A1OKFYVJTEK4BI","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1628","","image-button-response","2","11343","0.0-2.0-0.0","A1OKFYVJTEK4BI","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3359","","survey-text","3","14703","0.0-3.0-0.0","A1OKFYVJTEK4BI","","","","{""Q0"":""A1OKFYVJTEK4BI""}","","","","","","","","","","","","","","","","","","","","","","",""
"16293","","image-button-response_instructions","4","30999","0.0-4.0","A1OKFYVJTEK4BI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22940","","image-button-response_instructions","5","53939","0.0-5.0","A1OKFYVJTEK4BI","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10531","","image-button-response_instructions","6","64471","0.0-6.0","A1OKFYVJTEK4BI","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6106","","image-button-response_instructions","7","70579","0.0-7.0","A1OKFYVJTEK4BI","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23398","","image-button-response_instructions","8","93978","0.0-8.0","A1OKFYVJTEK4BI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5450","","image-button-response_instructions","9","99430","0.0-9.0","A1OKFYVJTEK4BI","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3619","","image-button-response_instructions","10","103050","0.0-10.0","A1OKFYVJTEK4BI","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7339","","image-button-response_instructions","11","110389","0.0-11.0","A1OKFYVJTEK4BI","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
