"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"31409","external_page_harvard.html","external-html","0","31456","0.0-0.0","A1PHDT66U6IK4Q","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2718","","image-button-response","1","34177","0.0-1.0","A1PHDT66U6IK4Q","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7633","","image-button-response","2","41819","0.0-2.0-0.0","A1PHDT66U6IK4Q","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"12292","","survey-text","3","54113","0.0-3.0-0.0","A1PHDT66U6IK4Q","","","","{""Q0"":""A1PHDT66U6IK4Q""}","","","","","","","","","","","","","","","","","","","","","","",""
"18399","","image-button-response_instructions","4","72516","0.0-4.0","A1PHDT66U6IK4Q","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"27210","","image-button-response_instructions","5","99728","0.0-5.0","A1PHDT66U6IK4Q","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12340","","image-button-response_instructions","6","112070","0.0-6.0","A1PHDT66U6IK4Q","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11220","","image-button-response_instructions","7","123291","0.0-7.0","A1PHDT66U6IK4Q","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"35523","","image-button-response_instructions","8","158815","0.0-8.0","A1PHDT66U6IK4Q","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9724","","image-button-response_instructions","9","168541","0.0-9.0","A1PHDT66U6IK4Q","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10851","","image-button-response_instructions","10","179393","0.0-10.0","A1PHDT66U6IK4Q","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5856","","image-button-response_instructions","11","185249","0.0-11.0","A1PHDT66U6IK4Q","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7060","","image-button-response_instructions","12","192311","0.0-12.0","A1PHDT66U6IK4Q","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"32671","","image-button-response_instructions","13","224983","0.0-13.0","A1PHDT66U6IK4Q","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"35999","","image-button-response_instructions","14","260983","0.0-14.0","A1PHDT66U6IK4Q","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7791","","image-button-response_instructions","15","268775","0.0-15.0","A1PHDT66U6IK4Q","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23992","","image-button-response_instructions","16","292769","0.0-16.0","A1PHDT66U6IK4Q","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4930","","image-button-response_instructions","17","297701","0.0-17.0","A1PHDT66U6IK4Q","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2849","","image-button-response_instructions","18","300551","0.0-18.0","A1PHDT66U6IK4Q","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17993","","survey-text","19","318585","0.0-19.0-0.0","A1PHDT66U6IK4Q","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"29249","","survey-text","20","347836","0.0-20.0-0.0","A1PHDT66U6IK4Q","","","","{""Q0"":""I don't like at all !""}","","","","","","","","","","","","","","","","","","","","","","",""
"7998.299999952316","","image-slider-response","21","355839","0.0-21.0","A1PHDT66U6IK4Q","","","","","-39","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","360844","0.0-22.0","A1PHDT66U6IK4Q","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
