"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"20173","external_page_harvard.html","external-html","0","20265","0.0-0.0","A1PIGZNLSQMGNW","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1140","","image-button-response","1","21406","0.0-1.0","A1PIGZNLSQMGNW","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1655","","image-button-response","2","23066","0.0-2.0-0.0","A1PIGZNLSQMGNW","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"208728","","survey-text","3","231796","0.0-3.0-0.0","A1PIGZNLSQMGNW","","","","{""Q0"":""A1PIGZNLSQMGNW""}","","","","","","","","","","","","","","","","","","","","","","",""
"9278","","image-button-response_instructions","4","241076","0.0-4.0","A1PIGZNLSQMGNW","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14893","","image-button-response_instructions","5","255969","0.0-5.0","A1PIGZNLSQMGNW","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4591","","image-button-response_instructions","6","260561","0.0-6.0","A1PIGZNLSQMGNW","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4077","","image-button-response_instructions","7","264639","0.0-7.0","A1PIGZNLSQMGNW","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12983","","image-button-response_instructions","8","277623","0.0-8.0","A1PIGZNLSQMGNW","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2677","","image-button-response_instructions","9","280302","0.0-9.0","A1PIGZNLSQMGNW","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2091","","image-button-response_instructions","10","282394","0.0-10.0","A1PIGZNLSQMGNW","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2205","","image-button-response_instructions","11","284599","0.0-11.0","A1PIGZNLSQMGNW","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5421","","image-button-response_instructions","12","290021","0.0-12.0","A1PIGZNLSQMGNW","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5563","","image-button-response_instructions","13","295586","0.0-13.0","A1PIGZNLSQMGNW","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5675","","image-button-response_instructions","14","301262","0.0-14.0","A1PIGZNLSQMGNW","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13963","","image-button-response_instructions","15","315226","0.0-15.0","A1PIGZNLSQMGNW","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4555","","image-button-response_instructions","16","319782","0.0-16.0","A1PIGZNLSQMGNW","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
