"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"21134","external_page_harvard.html","external-html","0","21213","0.0-0.0","A1Q9GPUCKQSEN9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1791","","image-button-response","1","23012","0.0-1.0","A1Q9GPUCKQSEN9","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3474","","image-button-response","2","26498","0.0-2.0-0.0","A1Q9GPUCKQSEN9","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6764","","survey-text","3","33267","0.0-3.0-0.0","A1Q9GPUCKQSEN9","","","","{""Q0"":""A1Q9GPUCKQSEN9""}","","","","","","","","","","","","","","","","","","","","","","",""
"5842","","image-button-response_instructions","4","39115","0.0-4.0","A1Q9GPUCKQSEN9","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23852","","image-button-response_instructions","5","62970","0.0-5.0","A1Q9GPUCKQSEN9","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11543","","image-button-response_instructions","6","74515","0.0-6.0","A1Q9GPUCKQSEN9","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2474","","image-button-response_instructions","7","76995","0.0-7.0","A1Q9GPUCKQSEN9","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6396","","image-button-response_instructions","8","83394","0.0-8.0","A1Q9GPUCKQSEN9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3195","","image-button-response_instructions","9","86594","0.0-9.0","A1Q9GPUCKQSEN9","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2260","","image-button-response_instructions","10","88858","0.0-10.0","A1Q9GPUCKQSEN9","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1109","","image-button-response_instructions","11","89970","0.0-11.0","A1Q9GPUCKQSEN9","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7540","","image-button-response_instructions","12","97514","0.0-12.0","A1Q9GPUCKQSEN9","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13119","","image-button-response_instructions","13","110638","0.0-13.0","A1Q9GPUCKQSEN9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3327","","image-button-response_instructions","14","113970","0.0-14.0","A1Q9GPUCKQSEN9","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5424","","image-button-response_instructions","15","119401","0.0-15.0","A1Q9GPUCKQSEN9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6613","","image-button-response_instructions","16","126020","0.0-16.0","A1Q9GPUCKQSEN9","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5842","","image-button-response_instructions","17","131865","0.0-17.0","A1Q9GPUCKQSEN9","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1764","","image-button-response_instructions","18","133633","0.0-18.0","A1Q9GPUCKQSEN9","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10283","","survey-text","19","143981","0.0-19.0-0.0","A1Q9GPUCKQSEN9","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"20274","","survey-text","20","164261","0.0-20.0-0.0","A1Q9GPUCKQSEN9","","","","{""Q0"":""This feels visceral and chaotic""}","","","","","","","","","","","","","","","","","","","","","","",""
"4194.200000000186","","image-slider-response","21","168464","0.0-21.0","A1Q9GPUCKQSEN9","","","","","29","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","173474","0.0-22.0","A1Q9GPUCKQSEN9","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"13685","","image-button-response","23","187166","0.0-23.0","A1Q9GPUCKQSEN9","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4368","","image-button-response","24","191542","0.0-24.0-0.0","A1Q9GPUCKQSEN9","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1865","","image-button-response","25","193414","0.0-25.0-0.0","A1Q9GPUCKQSEN9","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","194419","0.0-26.0","A1Q9GPUCKQSEN9","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","29","This feels visceral and chaotic","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"27790","","survey-text","27","222229","0.0-27.0-0.0","A1Q9GPUCKQSEN9","","","","{""Q0"":""This is crimson and rigid, like something I'd expect to climb""}","","","","","","","","","","","","","","","","","","","","","","",""
"3987","","image-slider-response","28","226221","0.0-28.0","A1Q9GPUCKQSEN9","","","","","17","","","","","","","","","","","","","","","","","","","","","",""
"4866","","image-button-response","29","231229","0.0-29.0","A1Q9GPUCKQSEN9","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"610","","image-button-response","30","231846","0.0-30.0","A1Q9GPUCKQSEN9","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1472","","image-button-response","31","233326","0.0-31.0-0.0","A1Q9GPUCKQSEN9","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"6137","","image-button-response","32","239469","0.0-32.0-0.0","A1Q9GPUCKQSEN9","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","240474","0.0-33.0","A1Q9GPUCKQSEN9","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","17","This is crimson and rigid, like something I'd expect to climb","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Jen","It reminds me of a fireplace,36,120,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","Kara","I like the blocks of color arrangements,30,160,20","0"
"22333","","survey-text","34","262828","0.0-34.0-0.0","A1Q9GPUCKQSEN9","","","","{""Q0"":""This is cold and triangular, it reminds me of paper airplanes""}","","","","","","","","","","","","","","","","","","","","","","",""
"4579.200000000186","","image-slider-response","35","267413","0.0-35.0","A1Q9GPUCKQSEN9","","","","","19","","","","","","","","","","","","","","","","","","","","","",""
"3957","","image-button-response","36","272419","0.0-36.0","A1Q9GPUCKQSEN9","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"213","","image-button-response","37","272637","0.0-37.0","A1Q9GPUCKQSEN9","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"987","","image-button-response","38","273629","0.0-38.0-0.0","A1Q9GPUCKQSEN9","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"801","","image-button-response","39","274437","0.0-39.0-0.0","A1Q9GPUCKQSEN9","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","275940","0.0-40.0","A1Q9GPUCKQSEN9","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","19","This is cold and triangular, it reminds me of paper airplanes","Mary,Kara,Rose,Leslie,Erika,Jen","I like the overlapping of brushes,41,220,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","It's an alright work,15,200,20","I feel connected to the artist,40,100,20","I can feel a rainy day from this painting,18,120,20","Leslie","It's an alright work,15,200,20","Erika","I feel connected to the artist,40,100,20","Jen","I can feel a rainy day from this painting,18,120,20","0"
"6355","","image-button-response_instructions","41","282316","0.0-41.0","A1Q9GPUCKQSEN9","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19901","","survey-likert","42","302222","0.0-42.0-0.0","A1Q9GPUCKQSEN9","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"5189","","survey-text","43","307439","0.0-43.0-0.0","A1Q9GPUCKQSEN9","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"24508","","survey-text","44","331952","0.0-44.0-0.0","A1Q9GPUCKQSEN9","","","","{""Q0"":""This reminds me of resin, matches, smoke""}","","","","","","","","","","","","","","","","","","","","","","",""
"3390.7000000001863","","image-slider-response","45","335349","0.0-45.0","A1Q9GPUCKQSEN9","","","","","-11","","","","","","","","","","","","","","","","","","","","","",""
"2977","","image-button-response","46","340424","0.0-46.0","A1Q9GPUCKQSEN9","img_art/15.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
