"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"15557","external_page_harvard.html","external-html","0","16005","0.0-0.0","A1QC1K71RGKZBI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3060","","image-button-response","1","19069","0.0-1.0","A1QC1K71RGKZBI","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3508","","image-button-response","2","22588","0.0-2.0-0.0","A1QC1K71RGKZBI","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6592","","survey-text","3","29185","0.0-3.0-0.0","A1QC1K71RGKZBI","","","","{""Q0"":""A1QC1K71RGKZBI""}","","","","","","","","","","","","","","","","","","","","","","",""
"8346","","image-button-response_instructions","4","37535","0.0-4.0","A1QC1K71RGKZBI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"32149","","image-button-response_instructions","5","69686","0.0-5.0","A1QC1K71RGKZBI","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5500","","image-button-response_instructions","6","75188","0.0-6.0","A1QC1K71RGKZBI","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4724","","image-button-response_instructions","7","79915","0.0-7.0","A1QC1K71RGKZBI","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7201","","image-button-response_instructions","8","87120","0.0-8.0","A1QC1K71RGKZBI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7694","","image-button-response_instructions","9","94817","0.0-9.0","A1QC1K71RGKZBI","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12106","","image-button-response_instructions","10","106926","0.0-10.0","A1QC1K71RGKZBI","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5173","","image-button-response_instructions","11","112101","0.0-11.0","A1QC1K71RGKZBI","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21989","","image-button-response_instructions","12","134092","0.0-12.0","A1QC1K71RGKZBI","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"62165","","image-button-response_instructions","13","196260","0.0-13.0","A1QC1K71RGKZBI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22293","","image-button-response_instructions","14","218556","0.0-14.0","A1QC1K71RGKZBI","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10119","","image-button-response_instructions","15","228678","0.0-15.0","A1QC1K71RGKZBI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11590","","image-button-response_instructions","16","240271","0.0-16.0","A1QC1K71RGKZBI","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7803","","image-button-response_instructions","17","248078","0.0-17.0","A1QC1K71RGKZBI","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2526","","image-button-response_instructions","18","250607","0.0-18.0","A1QC1K71RGKZBI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"29507","","survey-text","19","280167","0.0-19.0-0.0","A1QC1K71RGKZBI","","","","{""Q0"":""BUT""}","","","","","","","","","","","","","","","","","","","","","","",""
