"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"37022","external_page_harvard.html","external-html","0","37183","0.0-0.0","A1QIPM8NC37VAL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3040","","image-button-response","1","40225","0.0-1.0","A1QIPM8NC37VAL","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3360","","image-button-response","2","43593","0.0-2.0-0.0","A1QIPM8NC37VAL","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"33754","","survey-text","3","77350","0.0-3.0-0.0","A1QIPM8NC37VAL","","","","{""Q0"":""A1QIPM8NC37VAL""}","","","","","","","","","","","","","","","","","","","","","","",""
"15845","","image-button-response_instructions","4","93199","0.0-4.0","A1QIPM8NC37VAL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"34949","","image-button-response_instructions","5","128150","0.0-5.0","A1QIPM8NC37VAL","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"662","","image-button-response_instructions","6","128815","0.0-6.0","A1QIPM8NC37VAL","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21742","","image-button-response_instructions","7","150559","0.0-7.0","A1QIPM8NC37VAL","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25499","","image-button-response_instructions","8","176060","0.0-8.0","A1QIPM8NC37VAL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9899","","image-button-response_instructions","9","185963","0.0-9.0","A1QIPM8NC37VAL","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8994","","image-button-response_instructions","10","194959","0.0-10.0","A1QIPM8NC37VAL","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4740","","image-button-response_instructions","11","199701","0.0-11.0","A1QIPM8NC37VAL","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13066","","image-button-response_instructions","12","212769","0.0-12.0","A1QIPM8NC37VAL","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"26726","","image-button-response_instructions","13","239496","0.0-13.0","A1QIPM8NC37VAL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10694","","image-button-response_instructions","14","250192","0.0-14.0","A1QIPM8NC37VAL","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7622","","image-button-response_instructions","15","257816","0.0-15.0","A1QIPM8NC37VAL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10487","","image-button-response_instructions","16","268303","0.0-16.0","A1QIPM8NC37VAL","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8615","","image-button-response_instructions","17","276919","0.0-17.0","A1QIPM8NC37VAL","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2847","","image-button-response_instructions","18","279767","0.0-18.0","A1QIPM8NC37VAL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10673","","survey-text","19","290471","0.0-19.0-0.0","A1QIPM8NC37VAL","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"58621","","survey-text","20","349095","0.0-20.0-0.0","A1QIPM8NC37VAL","","","","{""Q0"":""Not a fan of abstract painting but I really like this one""}","","","","","","","","","","","","","","","","","","","","","","",""
"8468","","image-slider-response","21","357567","0.0-21.0","A1QIPM8NC37VAL","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","362572","0.0-22.0","A1QIPM8NC37VAL","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
