"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"27658","external_page_harvard.html","external-html","0","27776","0.0-0.0","A1S26U10C10581","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2462","","image-button-response","1","30240","0.0-1.0","A1S26U10C10581","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2737","","image-button-response","2","32984","0.0-2.0-0.0","A1S26U10C10581","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6598","","survey-text","3","39584","0.0-3.0-0.0","A1S26U10C10581","","","","{""Q0"":""A1S26U10C10581""}","","","","","","","","","","","","","","","","","","","","","","",""
"4325","","image-button-response_instructions","4","43911","0.0-4.0","A1S26U10C10581","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8015","","image-button-response_instructions","5","51928","0.0-5.0","A1S26U10C10581","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4227","","image-button-response_instructions","6","56157","0.0-6.0","A1S26U10C10581","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4896","","image-button-response_instructions","7","61055","0.0-7.0","A1S26U10C10581","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20734","","image-button-response_instructions","8","81790","0.0-8.0","A1S26U10C10581","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3303","","image-button-response_instructions","9","85094","0.0-9.0","A1S26U10C10581","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3221","","image-button-response_instructions","10","88316","0.0-10.0","A1S26U10C10581","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3221","","image-button-response_instructions","11","91538","0.0-11.0","A1S26U10C10581","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5715","","image-button-response_instructions","12","97254","0.0-12.0","A1S26U10C10581","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7703","","image-button-response_instructions","13","104959","0.0-13.0","A1S26U10C10581","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7063","","image-button-response_instructions","14","112023","0.0-14.0","A1S26U10C10581","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3882","","image-button-response_instructions","15","115907","0.0-15.0","A1S26U10C10581","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11140","","image-button-response_instructions","16","127048","0.0-16.0","A1S26U10C10581","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3948","","image-button-response_instructions","17","130998","0.0-17.0","A1S26U10C10581","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1397","","image-button-response_instructions","18","132397","0.0-18.0","A1S26U10C10581","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5591","","survey-text","19","138016","0.0-19.0-0.0","A1S26U10C10581","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"16701","","survey-text","20","154718","0.0-20.0-0.0","A1S26U10C10581","","","","{""Q0"":""I don't really like the brown in this art piece""}","","","","","","","","","","","","","","","","","","","","","","",""
"3612.300000011921","","image-slider-response","21","158333","0.0-21.0","A1S26U10C10581","","","","","-23","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","163339","0.0-22.0","A1S26U10C10581","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3799","","image-button-response","23","167141","0.0-23.0","A1S26U10C10581","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3808","","image-button-response","24","170953","0.0-24.0-0.0","A1S26U10C10581","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1175","","image-button-response","25","172131","0.0-25.0-0.0","A1S26U10C10581","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","173138","0.0-26.0","A1S26U10C10581","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-23","I don't really like the brown in this art piece","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","Erika","I like the sophisticated brushwork,40,100,20","Jen","It reminds me of a candy land dream I had,36,120,20","0"
"11856","","survey-text","27","185000","0.0-27.0-0.0","A1S26U10C10581","","","","{""Q0"":""I love the combination of colors and texures""}","","","","","","","","","","","","","","","","","","","","","","",""
"4496.800000011921","","image-slider-response","28","189499","0.0-28.0","A1S26U10C10581","","","","","35","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","194505","0.0-29.0","A1S26U10C10581","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4582","","image-button-response","30","199089","0.0-30.0","A1S26U10C10581","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4644","","image-button-response","31","203736","0.0-31.0-0.0","A1S26U10C10581","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2223","","image-button-response","32","205963","0.0-32.0-0.0","A1S26U10C10581","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
