"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"12064","external_page_harvard.html","external-html","0","12262","0.0-0.0","A1SDO44E0SBQ2C","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1421","","image-button-response","1","13688","0.0-1.0","A1SDO44E0SBQ2C","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1384","","image-button-response","2","15094","0.0-2.0-0.0","A1SDO44E0SBQ2C","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5684","","survey-text","3","20781","0.0-3.0-0.0","A1SDO44E0SBQ2C","","","","{""Q0"":""A1SDO44E0SBQ2C""}","","","","","","","","","","","","","","","","","","","","","","",""
"2201","","image-button-response_instructions","4","22984","0.0-4.0","A1SDO44E0SBQ2C","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8049","","image-button-response_instructions","5","31036","0.0-5.0","A1SDO44E0SBQ2C","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8270","","image-button-response_instructions","6","39307","0.0-6.0","A1SDO44E0SBQ2C","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3582","","image-button-response_instructions","7","42891","0.0-7.0","A1SDO44E0SBQ2C","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6860","","image-button-response_instructions","8","49755","0.0-8.0","A1SDO44E0SBQ2C","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2789","","image-button-response_instructions","9","52546","0.0-9.0","A1SDO44E0SBQ2C","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2752","","image-button-response_instructions","10","55298","0.0-10.0","A1SDO44E0SBQ2C","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2942","","image-button-response_instructions","11","58241","0.0-11.0","A1SDO44E0SBQ2C","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3120","","image-button-response_instructions","12","61363","0.0-12.0","A1SDO44E0SBQ2C","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"141056","","image-button-response_instructions","13","202421","0.0-13.0","A1SDO44E0SBQ2C","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"289695","","image-button-response_instructions","14","492117","0.0-14.0","A1SDO44E0SBQ2C","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2064","","image-button-response_instructions","15","494181","0.0-15.0","A1SDO44E0SBQ2C","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5455","","image-button-response_instructions","16","499637","0.0-16.0","A1SDO44E0SBQ2C","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3501","","image-button-response_instructions","17","503139","0.0-17.0","A1SDO44E0SBQ2C","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1421","","image-button-response_instructions","18","504561","0.0-18.0","A1SDO44E0SBQ2C","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7058","","survey-text","19","511671","0.0-19.0-0.0","A1SDO44E0SBQ2C","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"9345","","survey-text","20","521017","0.0-20.0-0.0","A1SDO44E0SBQ2C","","","","{""Q0"":""Looks like candy""}","","","","","","","","","","","","","","","","","","","","","","",""
"2447.300000011921","","image-slider-response","21","523467","0.0-21.0","A1SDO44E0SBQ2C","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"1959","","image-button-response","22","528475","0.0-22.0","A1SDO44E0SBQ2C","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3568","","image-button-response","23","532048","0.0-23.0","A1SDO44E0SBQ2C","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2483","","image-button-response","24","534536","0.0-24.0-0.0","A1SDO44E0SBQ2C","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"5309","","image-button-response","25","539847","0.0-25.0-0.0","A1SDO44E0SBQ2C","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","541360","0.0-26.0","A1SDO44E0SBQ2C","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","50","Looks like candy","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Jack","I like the sophisticated brushwork,40,120,20","Ben","This color reminds me of poo,-46,60,20","Alex","very creative work.,36,40,20","0"
"9362","","survey-text","27","550755","0.0-27.0-0.0","A1SDO44E0SBQ2C","","","","{""Q0"":""Very cool""}","","","","","","","","","","","","","","","","","","","","","","",""
"2229.800000011921","","image-slider-response","28","552987","0.0-28.0","A1SDO44E0SBQ2C","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"3204","","image-button-response","29","557991","0.0-29.0","A1SDO44E0SBQ2C","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"869","","image-button-response","30","558861","0.0-30.0","A1SDO44E0SBQ2C","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2132","","image-button-response","31","560995","0.0-31.0-0.0","A1SDO44E0SBQ2C","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1900","","image-button-response","32","562897","0.0-32.0-0.0","A1SDO44E0SBQ2C","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","563899","0.0-33.0","A1SDO44E0SBQ2C","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","50","Very cool","Kyle,Alex,Ben,James,John,Jack","Idk, it is just annoying,-32,180,20","I like the blocks of color arrangements,30,40,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Alex","I like the blocks of color arrangements,30,40,20","John","love the texture of paint,48,160,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","0"
"8890","","survey-text","34","572823","0.0-34.0-0.0","A1SDO44E0SBQ2C","","","","{""Q0"":""Looks like cloudy skies""}","","","","","","","","","","","","","","","","","","","","","","",""
"2455.5","","image-slider-response","35","575280","0.0-35.0","A1SDO44E0SBQ2C","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"3159","","image-button-response","36","580283","0.0-36.0","A1SDO44E0SBQ2C","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"545","","image-button-response","37","580831","0.0-37.0","A1SDO44E0SBQ2C","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1366","","image-button-response","38","582199","0.0-38.0-0.0","A1SDO44E0SBQ2C","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1874","","image-button-response","39","586705","0.0-38.1-0.1","A1SDO44E0SBQ2C","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1838","","image-button-response","40","588545","0.0-39.0-0.0","A1SDO44E0SBQ2C","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
