"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"9954","external_page_harvard.html","external-html","0","10052","0.0-0.0","A1SOWFKMH0QYUB","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1917","","image-button-response","1","11971","0.0-1.0","A1SOWFKMH0QYUB","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1261","","image-button-response","2","13235","0.0-2.0-0.0","A1SOWFKMH0QYUB","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7407","","survey-text","3","20643","0.0-3.0-0.0","A1SOWFKMH0QYUB","","","","{""Q0"":""A1SOWFKMH0QYUB""}","","","","","","","","","","","","","","","","","","","","","","",""
"4639","","image-button-response_instructions","4","25283","0.0-4.0","A1SOWFKMH0QYUB","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23295","","image-button-response_instructions","5","48579","0.0-5.0","A1SOWFKMH0QYUB","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7058","","image-button-response_instructions","6","55637","0.0-6.0","A1SOWFKMH0QYUB","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5934","","image-button-response_instructions","7","61572","0.0-7.0","A1SOWFKMH0QYUB","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7255","","image-button-response_instructions","8","68828","0.0-8.0","A1SOWFKMH0QYUB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5175","","image-button-response_instructions","9","74004","0.0-9.0","A1SOWFKMH0QYUB","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5319","","image-button-response_instructions","10","79325","0.0-10.0","A1SOWFKMH0QYUB","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3391","","image-button-response_instructions","11","82716","0.0-11.0","A1SOWFKMH0QYUB","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4831","","image-button-response_instructions","12","87548","0.0-12.0","A1SOWFKMH0QYUB","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"24767","","image-button-response_instructions","13","112316","0.0-13.0","A1SOWFKMH0QYUB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28342","","image-button-response_instructions","14","140659","0.0-14.0","A1SOWFKMH0QYUB","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8934","","image-button-response_instructions","15","149595","0.0-15.0","A1SOWFKMH0QYUB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18488","","image-button-response_instructions","16","168083","0.0-16.0","A1SOWFKMH0QYUB","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12471","","image-button-response_instructions","17","180554","0.0-17.0","A1SOWFKMH0QYUB","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3687","","image-button-response_instructions","18","184243","0.0-18.0","A1SOWFKMH0QYUB","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7430","","survey-text","19","191691","0.0-19.0-0.0","A1SOWFKMH0QYUB","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"11294","","survey-text","20","202986","0.0-20.0-0.0","A1SOWFKMH0QYUB","","","","{""Q0"":""reminds me of a field on a sunny day""}","","","","","","","","","","","","","","","","","","","","","","",""
"9398.799999952316","","image-slider-response","21","212387","0.0-21.0","A1SOWFKMH0QYUB","","","","","22","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","217395","0.0-22.0","A1SOWFKMH0QYUB","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"15103","","image-button-response","23","232499","0.0-23.0","A1SOWFKMH0QYUB","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6551","","image-button-response","24","239051","0.0-24.0-0.0","A1SOWFKMH0QYUB","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"7183","","image-button-response","25","246235","0.0-25.0-0.0","A1SOWFKMH0QYUB","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","246740","0.0-26.0","A1SOWFKMH0QYUB","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","22","reminds me of a field on a sunny day","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","Jen","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","0"
"28212","","survey-text","27","274955","0.0-27.0-0.0","A1SOWFKMH0QYUB","","","","{""Q0"":""bold colors - dramatic""}","","","","","","","","","","","","","","","","","","","","","","",""
"4590.600000023842","","image-slider-response","28","279547","0.0-28.0","A1SOWFKMH0QYUB","","","","","23","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","284549","0.0-29.0","A1SOWFKMH0QYUB","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"541","","image-button-response","30","285091","0.0-30.0","A1SOWFKMH0QYUB","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4167","","image-button-response","31","289259","0.0-31.0-0.0","A1SOWFKMH0QYUB","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1702","","image-button-response","32","290964","0.0-32.0-0.0","A1SOWFKMH0QYUB","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","291967","0.0-33.0","A1SOWFKMH0QYUB","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","23","bold colors - dramatic","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","Jen","It reminds me of a fireplace,36,120,20","0"
"8086","","survey-text","34","300059","0.0-34.0-0.0","A1SOWFKMH0QYUB","","","","{""Q0"":""Icy cold and lovely""}","","","","","","","","","","","","","","","","","","","","","","",""
"6318.5","","image-slider-response","35","306379","0.0-35.0","A1SOWFKMH0QYUB","","","","","29","","","","","","","","","","","","","","","","","","","","","",""
"4167","","image-button-response","36","311390","0.0-36.0","A1SOWFKMH0QYUB","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1810","","image-button-response","37","313203","0.0-37.0","A1SOWFKMH0QYUB","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3231","","image-button-response","38","316435","0.0-38.0-0.0","A1SOWFKMH0QYUB","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6895","","image-button-response","39","323331","0.0-39.0-0.0","A1SOWFKMH0QYUB","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2695","","image-button-response","40","330523","0.0-39.1-0.1","A1SOWFKMH0QYUB","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","332031","0.0-40.0","A1SOWFKMH0QYUB","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","29","Icy cold and lovely","Mary,Kara,Rose,Leslie,Erika,Jen","I like the overlapping of brushes,41,220,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","It's an alright work,15,200,20","I feel connected to the artist,40,100,20","I can feel a rainy day from this painting,18,120,20","Erika","I feel connected to the artist,40,100,20","Mary","I like the overlapping of brushes,41,220,20","Kara","calming blue is very nice,36,160,20","2"
"12889","","image-button-response_instructions","42","344923","0.0-41.0","A1SOWFKMH0QYUB","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23479","","survey-likert","43","368404","0.0-42.0-0.0","A1SOWFKMH0QYUB","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4675","","survey-text","44","373083","0.0-43.0-0.0","A1SOWFKMH0QYUB","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"37591","","survey-text","45","410674","0.0-44.0-0.0","A1SOWFKMH0QYUB","","","","{""Q0"":""interesting  work that seems like a magazine collage""}","","","","","","","","","","","","","","","","","","","","","","",""
"5878.800000011921","","image-slider-response","46","416554","0.0-45.0","A1SOWFKMH0QYUB","","","","","6","","","","","","","","","","","","","","","","","","","","","",""
"4911","","image-button-response","47","421586","0.0-46.0","A1SOWFKMH0QYUB","img_art/12.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1069","","image-button-response","48","422659","0.0-47.0","A1SOWFKMH0QYUB","img_art/12.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2320","","image-button-response","49","424979","0.0-48.0-0.0","A1SOWFKMH0QYUB","img_art/12.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4438","","image-button-response","50","429419","0.0-49.0-0.0","A1SOWFKMH0QYUB","img_art/12.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
