"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"532680","external_page_harvard.html","external-html","0","532792","0.0-0.0","A1SRQ63M2VV6QP","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060","","image-button-response","1","534858","0.0-1.0","A1SRQ63M2VV6QP","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4432","","image-button-response","2","539303","0.0-2.0-0.0","A1SRQ63M2VV6QP","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8884","","survey-text","3","548191","0.0-3.0-0.0","A1SRQ63M2VV6QP","","","","{""Q0"":""A1SRQ63M2VV6QP""}","","","","","","","","","","","","","","","","","","","","","","",""
"73566","","image-button-response_instructions","4","621761","0.0-4.0","A1SRQ63M2VV6QP","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"61222","","image-button-response_instructions","5","682986","0.0-5.0","A1SRQ63M2VV6QP","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10652","","image-button-response_instructions","6","693642","0.0-6.0","A1SRQ63M2VV6QP","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12514","","image-button-response_instructions","7","706159","0.0-7.0","A1SRQ63M2VV6QP","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13102","","image-button-response_instructions","8","719263","0.0-8.0","A1SRQ63M2VV6QP","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"402923","","image-button-response_instructions","9","1122189","0.0-9.0","A1SRQ63M2VV6QP","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5926","","image-button-response_instructions","10","1128117","0.0-10.0","A1SRQ63M2VV6QP","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5901","","image-button-response_instructions","11","1134022","0.0-11.0","A1SRQ63M2VV6QP","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21577","","image-button-response_instructions","12","1155603","0.0-12.0","A1SRQ63M2VV6QP","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
