"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"10589","external_page_harvard.html","external-html","0","10671","0.0-0.0","A1T0ND039EWAVV","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1769","","image-button-response","1","12444","0.0-1.0","A1T0ND039EWAVV","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1872","","image-button-response","2","14325","0.0-2.0-0.0","A1T0ND039EWAVV","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"11402","","survey-text","3","25730","0.0-3.0-0.0","A1T0ND039EWAVV","","","","{""Q0"":""A1T0ND039EWAVV""}","","","","","","","","","","","","","","","","","","","","","","",""
"3556","","image-button-response_instructions","4","29290","0.0-4.0","A1T0ND039EWAVV","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12501","","image-button-response_instructions","5","41795","0.0-5.0","A1T0ND039EWAVV","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5915","","image-button-response_instructions","6","47712","0.0-6.0","A1T0ND039EWAVV","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2879","","image-button-response_instructions","7","50593","0.0-7.0","A1T0ND039EWAVV","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"846","","image-button-response_instructions","8","51441","0.0-8.0","A1T0ND039EWAVV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1804","","image-button-response_instructions","9","53247","0.0-9.0","A1T0ND039EWAVV","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"937","","image-button-response_instructions","10","54186","0.0-10.0","A1T0ND039EWAVV","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"757","","image-button-response_instructions","11","54944","0.0-11.0","A1T0ND039EWAVV","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5388","","image-button-response_instructions","12","60333","0.0-12.0","A1T0ND039EWAVV","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1271","","image-button-response_instructions","13","61607","0.0-13.0","A1T0ND039EWAVV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3384","","image-button-response_instructions","14","64993","0.0-14.0","A1T0ND039EWAVV","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
