"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"93628","external_page_harvard.html","external-html","0","93871","0.0-0.0","A1T21AFJP4COSR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2371","","image-button-response","1","96247","0.0-1.0","A1T21AFJP4COSR","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2352","","image-button-response","2","98604","0.0-2.0-0.0","A1T21AFJP4COSR","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"12435","","survey-text","3","111040","0.0-3.0-0.0","A1T21AFJP4COSR","","","","{""Q0"":""A1T21AFJP4COSR""}","","","","","","","","","","","","","","","","","","","","","","",""
"7287","","image-button-response_instructions","4","118330","0.0-4.0","A1T21AFJP4COSR","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"40048","","image-button-response_instructions","5","158379","0.0-5.0","A1T21AFJP4COSR","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12214","","image-button-response_instructions","6","170595","0.0-6.0","A1T21AFJP4COSR","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19254","","image-button-response_instructions","7","189849","0.0-7.0","A1T21AFJP4COSR","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"42566","","image-button-response_instructions","8","232416","0.0-8.0","A1T21AFJP4COSR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5646","","image-button-response_instructions","9","238064","0.0-9.0","A1T21AFJP4COSR","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5296","","image-button-response_instructions","10","243362","0.0-10.0","A1T21AFJP4COSR","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5586","","image-button-response_instructions","11","248950","0.0-11.0","A1T21AFJP4COSR","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20560","","image-button-response_instructions","12","269511","0.0-12.0","A1T21AFJP4COSR","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"131821","","image-button-response_instructions","13","401333","0.0-13.0","A1T21AFJP4COSR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15176","","image-button-response_instructions","14","416510","0.0-14.0","A1T21AFJP4COSR","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11584","","image-button-response_instructions","15","428095","0.0-15.0","A1T21AFJP4COSR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17186","","image-button-response_instructions","16","445282","0.0-16.0","A1T21AFJP4COSR","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12818","","image-button-response_instructions","17","458101","0.0-17.0","A1T21AFJP4COSR","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3646","","image-button-response_instructions","18","461749","0.0-18.0","A1T21AFJP4COSR","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15279","","survey-text","19","477058","0.0-19.0-0.0","A1T21AFJP4COSR","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"90529","","survey-text","20","567588","0.0-20.0-0.0","A1T21AFJP4COSR","","","","{""Q0"":""This makes me feel nostalgic, reminds me of playing in the tall grass as a child. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"11409.799999952316","","image-slider-response","21","579001","0.0-21.0","A1T21AFJP4COSR","","","","","26","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","584022","0.0-22.0","A1T21AFJP4COSR","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"10593","","image-button-response","23","594620","0.0-23.0","A1T21AFJP4COSR","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"23712","","image-button-response","24","618333","0.0-24.0-0.0","A1T21AFJP4COSR","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"8921","","image-button-response","25","627258","0.0-25.0-0.0","A1T21AFJP4COSR","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","628779","0.0-26.0","A1T21AFJP4COSR","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","26","This makes me feel nostalgic, reminds me of playing in the tall grass as a child. ","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"69011","","survey-text","27","697802","0.0-27.0-0.0","A1T21AFJP4COSR","","","","{""Q0"":""I love the colors but somehow it feels heavy and kinda sad""}","","","","","","","","","","","","","","","","","","","","","","",""
"7472.5","","image-slider-response","28","705276","0.0-28.0","A1T21AFJP4COSR","","","","","10","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","710288","0.0-29.0","A1T21AFJP4COSR","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"15672","","image-button-response","30","725963","0.0-30.0","A1T21AFJP4COSR","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4466","","image-button-response","31","730431","0.0-31.0-0.0","A1T21AFJP4COSR","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"12786","","image-button-response","32","743220","0.0-32.0-0.0","A1T21AFJP4COSR","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","744227","0.0-33.0","A1T21AFJP4COSR","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","10","I love the colors but somehow it feels heavy and kinda sad","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Jen","It reminds me of a fireplace,36,120,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","Kara","I like the blocks of color arrangements,30,160,20","0"
"39358","","survey-text","34","783591","0.0-34.0-0.0","A1T21AFJP4COSR","","","","{""Q0"":""this doesnt do a lot for me its boring altho I like the different shades of blue""}","","","","","","","","","","","","","","","","","","","","","","",""
"11094","","image-slider-response","35","794687","0.0-35.0","A1T21AFJP4COSR","","","","","-1","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","799691","0.0-36.0","A1T21AFJP4COSR","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"264","","image-button-response","37","799959","0.0-37.0","A1T21AFJP4COSR","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6132","","image-button-response","38","806093","0.0-38.0-0.0","A1T21AFJP4COSR","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"15444","","image-button-response","39","821540","0.0-39.0-0.0","A1T21AFJP4COSR","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","822053","0.0-40.0","A1T21AFJP4COSR","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","-1","this doesnt do a lot for me its boring altho I like the different shades of blue","Mary,Kara,Rose,Leslie,Erika,Jen","I like the overlapping of brushes,41,220,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","It's an alright work,15,200,20","I feel connected to the artist,40,100,20","I can feel a rainy day from this painting,18,120,20","Kara","calming blue is very nice,36,160,20","Jen","I can feel a rainy day from this painting,18,120,20","Leslie","It's an alright work,15,200,20","0"
"12692","","image-button-response_instructions","41","834749","0.0-41.0","A1T21AFJP4COSR","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20543","","survey-likert","42","855295","0.0-42.0-0.0","A1T21AFJP4COSR","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"9868","","survey-text","43","865168","0.0-43.0-0.0","A1T21AFJP4COSR","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"51183","","survey-text","44","916352","0.0-44.0-0.0","A1T21AFJP4COSR","","","","{""Q0"":""I absolutely love the color and I am intrigued with the style.""}","","","","","","","","","","","","","","","","","","","","","","",""
"19157.899999976158","","image-slider-response","45","935512","0.0-45.0","A1T21AFJP4COSR","","","","","41","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","940556","0.0-46.0","A1T21AFJP4COSR","img_art/25.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3888","","image-button-response","47","944447","0.0-47.0","A1T21AFJP4COSR","img_art/25.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3931","","image-button-response","48","948379","0.0-48.0-0.0","A1T21AFJP4COSR","img_art/25.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7931","","image-button-response","49","956313","0.0-49.0-0.0","A1T21AFJP4COSR","img_art/25.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","956834","0.0-50.0","A1T21AFJP4COSR","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/25.jpg","41","I absolutely love the color and I am intrigued with the style.","Margaret,Alexandra,Jenna,Sydney,Erika,Paige","love the color and the contrast of the black on teal,50,100,20","This is too dark and creepy. I also hate the color,-30,60,20","beautiful in a primitive way,10,360,20","This piece gives me a lot of questions which I kind of like.,10,320,20","Very cryptic and ancient,36,100,20","reminds me of ancient history which makes me happy,40,60,20","Jenna","beautiful in a primitive way,10,360,20","Margaret","love the color and the contrast of the black on teal,50,100,20","Sydney","This piece gives me a lot of questions which I kind of like.,10,320,20","0"
"51291","","survey-text","51","1008133","0.0-51.0-0.0","A1T21AFJP4COSR","","","","{""Q0"":""interesting I feel like its telling a story almost about street art""}","","","","","","","","","","","","","","","","","","","","","","",""
"6002.700000047684","","image-slider-response","52","1014137","0.0-52.0","A1T21AFJP4COSR","","","","","8","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","53","1019168","0.0-53.0","A1T21AFJP4COSR","img_art/29.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"23060","","image-button-response","54","1042232","0.0-54.0","A1T21AFJP4COSR","img_art/29.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"5674","","image-button-response","55","1047907","0.0-55.0-0.0","A1T21AFJP4COSR","img_art/29.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4559","","image-button-response","56","1052469","0.0-56.0-0.0","A1T21AFJP4COSR","img_art/29.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","57","1053488","0.0-57.0","A1T21AFJP4COSR","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","2","img_art/29.jpg","8","interesting I feel like its telling a story almost about street art","Margaret,Samantha,Jenna,Sydney,Michaela,Jasmine","this does nothing for me. hate the colors. hate the design,-50,100,20","I love this things almost hidden in it like paint brush and other details,50,140,20","risks well taken. the brush is hilarious. feels like an artist's frustration, which is relatable.,50,360,20","I like that the colors are toned down even though they're everywhere.,5,320,20","Like a crime scene. It's neat and different,30,260,20","I like the usage of blacks and greys in this,8,340,20","Michaela","Like a crime scene. It's neat and different,30,260,20","Samantha","I love this things almost hidden in it like paint brush and other details,50,140,20","Jenna","risks well taken. the brush is hilarious. feels like an artist's frustration, which is relatable.,50,360,20","0"
"81228","","survey-text","58","1134731","0.0-58.0-0.0","A1T21AFJP4COSR","","","","{""Q0"":""I feel like its a dark twisted version of alice in wonderland, I think its genius but I also kind of hate it.""}","","","","","","","","","","","","","","","","","","","","","","",""
"10103.5","","image-slider-response","59","1144837","0.0-59.0","A1T21AFJP4COSR","","","","","-3","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","60","1149842","0.0-60.0","A1T21AFJP4COSR","img_art/16.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7578","","image-button-response","61","1157422","0.0-61.0","A1T21AFJP4COSR","img_art/16.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7383","","image-button-response","62","1164808","0.0-62.0-0.0","A1T21AFJP4COSR","img_art/16.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"16292","","image-button-response","63","1181102","0.0-63.0-0.0","A1T21AFJP4COSR","img_art/16.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
