"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"13398","external_page_harvard.html","external-html","0","13513","0.0-0.0","A1UDOSYE75OYYI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1417","","image-button-response","1","14934","0.0-1.0","A1UDOSYE75OYYI","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1829","","image-button-response","2","16797","0.0-2.0-0.0","A1UDOSYE75OYYI","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6140","","survey-text","3","22940","0.0-3.0-0.0","A1UDOSYE75OYYI","","","","{""Q0"":""A1UDOSYE75OYYI""}","","","","","","","","","","","","","","","","","","","","","","",""
"6254","","image-button-response_instructions","4","29196","0.0-4.0","A1UDOSYE75OYYI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16754","","image-button-response_instructions","5","45953","0.0-5.0","A1UDOSYE75OYYI","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5537","","image-button-response_instructions","6","51492","0.0-6.0","A1UDOSYE75OYYI","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5020","","image-button-response_instructions","7","56514","0.0-7.0","A1UDOSYE75OYYI","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7487","","image-button-response_instructions","8","64002","0.0-8.0","A1UDOSYE75OYYI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3483","","image-button-response_instructions","9","67487","0.0-9.0","A1UDOSYE75OYYI","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2821","","image-button-response_instructions","10","70309","0.0-10.0","A1UDOSYE75OYYI","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5167","","image-button-response_instructions","11","75477","0.0-11.0","A1UDOSYE75OYYI","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5275","","image-button-response_instructions","12","80753","0.0-12.0","A1UDOSYE75OYYI","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"68483","","image-button-response_instructions","13","149237","0.0-13.0","A1UDOSYE75OYYI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23049","","image-button-response_instructions","14","172288","0.0-14.0","A1UDOSYE75OYYI","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
