"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"44057","external_page_harvard.html","external-html","0","44142","0.0-0.0","A1UZN21EAN1HZ4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2178","","image-button-response","1","46322","0.0-1.0","A1UZN21EAN1HZ4","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2393","","image-button-response","2","48719","0.0-2.0-0.0","A1UZN21EAN1HZ4","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4027","","survey-text","3","52747","0.0-3.0-0.0","A1UZN21EAN1HZ4","","","","{""Q0"":""A1UZN21EAN1HZ4""}","","","","","","","","","","","","","","","","","","","","","","",""
"7666","","image-button-response_instructions","4","60414","0.0-4.0","A1UZN21EAN1HZ4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14634","","image-button-response_instructions","5","75049","0.0-5.0","A1UZN21EAN1HZ4","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6040","","image-button-response_instructions","6","81091","0.0-6.0","A1UZN21EAN1HZ4","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6889","","image-button-response_instructions","7","87981","0.0-7.0","A1UZN21EAN1HZ4","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22791","","image-button-response_instructions","8","110773","0.0-8.0","A1UZN21EAN1HZ4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5040","","image-button-response_instructions","9","115814","0.0-9.0","A1UZN21EAN1HZ4","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
