"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"16408","external_page_harvard.html","external-html","0","16521","0.0-0.0","A1VE6VNQJO0U88","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2683","","image-button-response","1","19219","0.0-1.0","A1VE6VNQJO0U88","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3304","","image-button-response","2","22539","0.0-2.0-0.0","A1VE6VNQJO0U88","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10280","","survey-text","3","32819","0.0-3.0-0.0","A1VE6VNQJO0U88","","","","{""Q0"":""A1VE6VNQJO0U88""}","","","","","","","","","","","","","","","","","","","","","","",""
"25218","","image-button-response_instructions","4","58037","0.0-4.0","A1VE6VNQJO0U88","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"52878","","image-button-response_instructions","5","110915","0.0-5.0","A1VE6VNQJO0U88","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11977","","image-button-response_instructions","6","122892","0.0-6.0","A1VE6VNQJO0U88","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10353","","image-button-response_instructions","7","133245","0.0-7.0","A1VE6VNQJO0U88","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12284","","image-button-response_instructions","8","145529","0.0-8.0","A1VE6VNQJO0U88","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9903","","image-button-response_instructions","9","155432","0.0-9.0","A1VE6VNQJO0U88","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8345","","image-button-response_instructions","10","163777","0.0-10.0","A1VE6VNQJO0U88","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6186","","image-button-response_instructions","11","169979","0.0-11.0","A1VE6VNQJO0U88","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15947","","image-button-response_instructions","12","185926","0.0-12.0","A1VE6VNQJO0U88","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"39136","","image-button-response_instructions","13","225062","0.0-13.0","A1VE6VNQJO0U88","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"30601","","image-button-response_instructions","14","255663","0.0-14.0","A1VE6VNQJO0U88","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19947","","image-button-response_instructions","15","275610","0.0-15.0","A1VE6VNQJO0U88","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"40014","","image-button-response_instructions","16","315624","0.0-16.0","A1VE6VNQJO0U88","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25031","","image-button-response_instructions","17","340655","0.0-17.0","A1VE6VNQJO0U88","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3703","","image-button-response_instructions","18","344358","0.0-18.0","A1VE6VNQJO0U88","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20481","","survey-text","19","364890","0.0-19.0-0.0","A1VE6VNQJO0U88","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"22182","","survey-text","20","387087","0.0-20.0-0.0","A1VE6VNQJO0U88","","","","{""Q0"":""too confusing and redundant""}","","","","","","","","","","","","","","","","","","","","","","",""
"27182","","image-slider-response","21","414269","0.0-21.0","A1VE6VNQJO0U88","","","","","-45","","","","","","","","","","","","","","","","","","","","","",""
"3551","","image-button-response","22","419279","0.0-22.0","A1VE6VNQJO0U88","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"18736","","image-button-response","23","438018","0.0-23.0","A1VE6VNQJO0U88","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4151","","image-button-response","24","442201","0.0-24.0-0.0","A1VE6VNQJO0U88","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"25802","","image-button-response","25","468003","0.0-25.0-0.0","A1VE6VNQJO0U88","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","468504","0.0-26.0","A1VE6VNQJO0U88","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-45","too confusing and redundant","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Beth","This color reminds me of poo,-46,60,20","0"
