"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5929","external_page_harvard.html","external-html","0","6066","0.0-0.0","A1VIDXC2Z3KSCJ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1303","","image-button-response","1","7380","0.0-1.0","A1VIDXC2Z3KSCJ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1167","","image-button-response","2","8574","0.0-2.0-0.0","A1VIDXC2Z3KSCJ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3693","","survey-text","3","12277","0.0-3.0-0.0","A1VIDXC2Z3KSCJ","","","","{""Q0"":""A1VIDXC2Z3KSCJ""}","","","","","","","","","","","","","","","","","","","","","","",""
"5408","","image-button-response_instructions","4","17699","0.0-4.0","A1VIDXC2Z3KSCJ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8979","","image-button-response_instructions","5","26686","0.0-5.0","A1VIDXC2Z3KSCJ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7028","","image-button-response_instructions","6","33722","0.0-6.0","A1VIDXC2Z3KSCJ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5379","","image-button-response_instructions","7","39113","0.0-7.0","A1VIDXC2Z3KSCJ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28797","","image-button-response_instructions","8","67919","0.0-8.0","A1VIDXC2Z3KSCJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4831","","image-button-response_instructions","9","72758","0.0-9.0","A1VIDXC2Z3KSCJ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1399","","image-button-response_instructions","10","74165","0.0-10.0","A1VIDXC2Z3KSCJ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1710","","image-button-response_instructions","11","75882","0.0-11.0","A1VIDXC2Z3KSCJ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
