"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"12791","external_page_harvard.html","external-html","0","14310","0.0-0.0","A1W850QN9RK019","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7308","","image-button-response","1","21623","0.0-1.0","A1W850QN9RK019","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3274","","image-button-response","2","24910","0.0-2.0-0.0","A1W850QN9RK019","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4492","","survey-text","3","29405","0.0-3.0-0.0","A1W850QN9RK019","","","","{""Q0"":""A1W850QN9RK019""}","","","","","","","","","","","","","","","","","","","","","","",""
"5052","","image-button-response_instructions","4","34461","0.0-4.0","A1W850QN9RK019","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"276366","","image-button-response_instructions","5","310829","0.0-5.0","A1W850QN9RK019","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7527","","image-button-response_instructions","6","318357","0.0-6.0","A1W850QN9RK019","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5078","","image-button-response_instructions","7","323437","0.0-7.0","A1W850QN9RK019","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8598","","image-button-response_instructions","8","332037","0.0-8.0","A1W850QN9RK019","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18656","","image-button-response_instructions","9","350694","0.0-9.0","A1W850QN9RK019","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"587423","","image-button-response_instructions","10","938119","0.0-10.0","A1W850QN9RK019","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3485","","image-button-response_instructions","11","941605","0.0-11.0","A1W850QN9RK019","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6007","","image-button-response_instructions","12","947613","0.0-12.0","A1W850QN9RK019","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6695","","image-button-response_instructions","13","954309","0.0-13.0","A1W850QN9RK019","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18495","","image-button-response_instructions","14","972806","0.0-14.0","A1W850QN9RK019","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6247","","image-button-response_instructions","15","979054","0.0-15.0","A1W850QN9RK019","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
