"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"15925","external_page_harvard.html","external-html","0","16030","0.0-0.0","A1XRWOK00HK1J4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1766","","image-button-response","1","17804","0.0-1.0","A1XRWOK00HK1J4","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2345","","image-button-response","2","20166","0.0-2.0-0.0","A1XRWOK00HK1J4","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4772","","survey-text","3","24959","0.0-3.0-0.0","A1XRWOK00HK1J4","","","","{""Q0"":""A1XRWOK00HK1J4""}","","","","","","","","","","","","","","","","","","","","","","",""
"11159","","image-button-response_instructions","4","36125","0.0-4.0","A1XRWOK00HK1J4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20892","","image-button-response_instructions","5","57021","0.0-5.0","A1XRWOK00HK1J4","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10364","","image-button-response_instructions","6","67390","0.0-6.0","A1XRWOK00HK1J4","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16750","","image-button-response_instructions","7","84143","0.0-7.0","A1XRWOK00HK1J4","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"26933","","image-button-response_instructions","8","111078","0.0-8.0","A1XRWOK00HK1J4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7861","","image-button-response_instructions","9","118945","0.0-9.0","A1XRWOK00HK1J4","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4940","","image-button-response_instructions","10","123888","0.0-10.0","A1XRWOK00HK1J4","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
