"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5361","external_page_harvard.html","external-html","0","5414","0.0-0.0","A1ZE52NWZPN85P","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1500","","image-button-response","1","6915","0.0-1.0","A1ZE52NWZPN85P","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1280","","image-button-response","2","8200","0.0-2.0-0.0","A1ZE52NWZPN85P","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"1890","","survey-text","3","10091","0.0-3.0-0.0","A1ZE52NWZPN85P","","","","{""Q0"":""A1ZE52NWZPN85P""}","","","","","","","","","","","","","","","","","","","","","","",""
"5076","","image-button-response_instructions","4","15167","0.0-4.0","A1ZE52NWZPN85P","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3698","","image-button-response_instructions","5","18867","0.0-5.0","A1ZE52NWZPN85P","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2364","","image-button-response_instructions","6","21233","0.0-6.0","A1ZE52NWZPN85P","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"32838","","image-button-response_instructions","7","54071","0.0-7.0","A1ZE52NWZPN85P","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3221","","image-button-response_instructions","8","57293","0.0-8.0","A1ZE52NWZPN85P","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1759","","image-button-response_instructions","9","59052","0.0-9.0","A1ZE52NWZPN85P","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1813","","image-button-response_instructions","10","60866","0.0-10.0","A1ZE52NWZPN85P","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1765","","image-button-response_instructions","11","62633","0.0-11.0","A1ZE52NWZPN85P","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2639","","image-button-response_instructions","12","65273","0.0-12.0","A1ZE52NWZPN85P","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4381","","image-button-response_instructions","13","69654","0.0-13.0","A1ZE52NWZPN85P","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4889","","image-button-response_instructions","14","74545","0.0-14.0","A1ZE52NWZPN85P","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1486","","image-button-response_instructions","15","76031","0.0-15.0","A1ZE52NWZPN85P","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3455","","image-button-response_instructions","16","79487","0.0-16.0","A1ZE52NWZPN85P","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1595","","image-button-response_instructions","17","81082","0.0-17.0","A1ZE52NWZPN85P","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"599","","image-button-response_instructions","18","81683","0.0-18.0","A1ZE52NWZPN85P","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2914","","survey-text","19","84619","0.0-19.0-0.0","A1ZE52NWZPN85P","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"6718","","survey-text","20","91337","0.0-20.0-0.0","A1ZE52NWZPN85P","","","","{""Q0"":""it's boring""}","","","","","","","","","","","","","","","","","","","","","","",""
"1889.5","","image-slider-response","21","93229","0.0-21.0","A1ZE52NWZPN85P","","","","","-26","","","","","","","","","","","","","","","","","","","","","",""
"3352","","image-button-response","22","98232","0.0-22.0","A1ZE52NWZPN85P","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"327","","image-button-response","23","98561","0.0-23.0","A1ZE52NWZPN85P","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1400","","image-button-response","24","99963","0.0-24.0-0.0","A1ZE52NWZPN85P","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1788","","image-button-response","25","101753","0.0-25.0-0.0","A1ZE52NWZPN85P","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","102255","0.0-26.0","A1ZE52NWZPN85P","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-26","it's boring","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","Ben","This color reminds me of poo,-46,60,20","Daniel","It looks like a murder scene.,-48,100,20","0"
"10042","","survey-text","27","112301","0.0-27.0-0.0","A1ZE52NWZPN85P","","","","{""Q0"":""nonsense""}","","","","","","","","","","","","","","","","","","","","","","",""
"2388.5","","image-slider-response","28","114690","0.0-28.0","A1ZE52NWZPN85P","","","","","-29","","","","","","","","","","","","","","","","","","","","","",""
"3462","","image-button-response","29","119694","0.0-29.0","A1ZE52NWZPN85P","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"236","","image-button-response","30","119931","0.0-30.0","A1ZE52NWZPN85P","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"909","","image-button-response","31","120842","0.0-31.0-0.0","A1ZE52NWZPN85P","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1158","","image-button-response","32","122001","0.0-32.0-0.0","A1ZE52NWZPN85P","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","123018","0.0-33.0","A1ZE52NWZPN85P","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","-29","nonsense","Adam,John,Ben,James,Daniel,Kyle","too much color,-18,20,20","love the texture of paint,48,160,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","Ben","meaningless painting,-45,60,20","Kyle","Idk, it is just annoying,-32,180,20","James","looks too angry,-50,140,20","0"
