"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"11496","external_page_harvard.html","external-html","0","11592","0.0-0.0","A207MWA5U0GWA5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2366","","image-button-response","1","13964","0.0-1.0","A207MWA5U0GWA5","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1891","","image-button-response","2","15867","0.0-2.0-0.0","A207MWA5U0GWA5","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7339","","survey-text","3","23211","0.0-3.0-0.0","A207MWA5U0GWA5","","","","{""Q0"":""A207MWA5U0GWA5""}","","","","","","","","","","","","","","","","","","","","","","",""
"7387","","image-button-response_instructions","4","30604","0.0-4.0","A207MWA5U0GWA5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"37731","","image-button-response_instructions","5","68338","0.0-5.0","A207MWA5U0GWA5","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12108","","image-button-response_instructions","6","80450","0.0-6.0","A207MWA5U0GWA5","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9165","","image-button-response_instructions","7","89617","0.0-7.0","A207MWA5U0GWA5","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6253","","image-button-response_instructions","8","95873","0.0-8.0","A207MWA5U0GWA5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6197","","image-button-response_instructions","9","102073","0.0-9.0","A207MWA5U0GWA5","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4253","","image-button-response_instructions","10","106329","0.0-10.0","A207MWA5U0GWA5","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3285","","image-button-response_instructions","11","109617","0.0-11.0","A207MWA5U0GWA5","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5885","","image-button-response_instructions","12","115505","0.0-12.0","A207MWA5U0GWA5","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15165","","image-button-response_instructions","13","130673","0.0-13.0","A207MWA5U0GWA5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8573","","image-button-response_instructions","14","139249","0.0-14.0","A207MWA5U0GWA5","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3548","","image-button-response_instructions","15","142801","0.0-15.0","A207MWA5U0GWA5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5262","","image-button-response_instructions","16","148065","0.0-16.0","A207MWA5U0GWA5","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13173","","image-button-response_instructions","17","161240","0.0-17.0","A207MWA5U0GWA5","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2388","","image-button-response_instructions","18","163632","0.0-18.0","A207MWA5U0GWA5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13334","","survey-text","19","177040","0.0-19.0-0.0","A207MWA5U0GWA5","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
