"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4896","external_page_harvard.html","external-html","0","5053","0.0-0.0","A20S6YBD2VKCZU","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3740","","image-button-response","1","8795","0.0-1.0","A20S6YBD2VKCZU","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1313","","image-button-response","2","10114","0.0-2.0-0.0","A20S6YBD2VKCZU","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5214","","survey-text","3","15329","0.0-3.0-0.0","A20S6YBD2VKCZU","","","","{""Q0"":""A20S6YBD2VKCZU""}","","","","","","","","","","","","","","","","","","","","","","",""
"5261","","image-button-response_instructions","4","20593","0.0-4.0","A20S6YBD2VKCZU","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17548","","image-button-response_instructions","5","38142","0.0-5.0","A20S6YBD2VKCZU","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8302","","image-button-response_instructions","6","46444","0.0-6.0","A20S6YBD2VKCZU","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3933","","image-button-response_instructions","7","50380","0.0-7.0","A20S6YBD2VKCZU","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6532","","image-button-response_instructions","8","56915","0.0-8.0","A20S6YBD2VKCZU","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5141","","image-button-response_instructions","9","62058","0.0-9.0","A20S6YBD2VKCZU","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2079","","image-button-response_instructions","10","64138","0.0-10.0","A20S6YBD2VKCZU","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2231","","image-button-response_instructions","11","66370","0.0-11.0","A20S6YBD2VKCZU","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"50598","","image-button-response_instructions","12","116970","0.0-12.0","A20S6YBD2VKCZU","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9045","","image-button-response_instructions","13","126017","0.0-13.0","A20S6YBD2VKCZU","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28754","","image-button-response_instructions","14","154772","0.0-14.0","A20S6YBD2VKCZU","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4278","","image-button-response_instructions","15","159051","0.0-15.0","A20S6YBD2VKCZU","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13413","","image-button-response_instructions","16","172465","0.0-16.0","A20S6YBD2VKCZU","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12837","","image-button-response_instructions","17","185303","0.0-17.0","A20S6YBD2VKCZU","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2799","","image-button-response_instructions","18","188104","0.0-18.0","A20S6YBD2VKCZU","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12089","","survey-text","19","200229","0.0-19.0-0.0","A20S6YBD2VKCZU","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"20579","","survey-text","20","220810","0.0-20.0-0.0","A20S6YBD2VKCZU","","","","{""Q0"":""Very soothing abstraction.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3372.5999999940395","","image-slider-response","21","224186","0.0-21.0","A20S6YBD2VKCZU","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","229193","0.0-22.0","A20S6YBD2VKCZU","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"891","","image-button-response","23","230089","0.0-23.0","A20S6YBD2VKCZU","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1989","","image-button-response","24","232081","0.0-24.0-0.0","A20S6YBD2VKCZU","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3011","","image-button-response","25","235097","0.0-25.0-0.0","A20S6YBD2VKCZU","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","236102","0.0-26.0","A20S6YBD2VKCZU","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","50","Very soothing abstraction.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"21590","","survey-text","27","257701","0.0-27.0-0.0","A20S6YBD2VKCZU","","","","{""Q0"":""I love bold and textured art.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2429.4000000059605","","image-slider-response","28","260132","0.0-28.0","A20S6YBD2VKCZU","","","","","49","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","265136","0.0-29.0","A20S6YBD2VKCZU","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"704","","image-button-response","30","265844","0.0-30.0","A20S6YBD2VKCZU","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1589","","image-button-response","31","267435","0.0-31.0-0.0","A20S6YBD2VKCZU","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3181","","image-button-response","32","270619","0.0-32.0-0.0","A20S6YBD2VKCZU","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","272121","0.0-33.0","A20S6YBD2VKCZU","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","49","I love bold and textured art.","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Jen","It reminds me of a fireplace,36,120,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","0"
"31576","","survey-text","34","303702","0.0-34.0-0.0","A20S6YBD2VKCZU","","","","{""Q0"":""The contrast of blues gives a wintery vibe when viewing.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2093.6000000089407","","image-slider-response","35","305797","0.0-35.0","A20S6YBD2VKCZU","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"3325","","image-button-response","36","310800","0.0-36.0","A20S6YBD2VKCZU","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"763","","image-button-response","37","311565","0.0-37.0","A20S6YBD2VKCZU","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"662","","image-button-response","38","312229","0.0-38.0-0.0","A20S6YBD2VKCZU","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"494","","image-button-response","39","312725","0.0-39.0-0.0","A20S6YBD2VKCZU","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","314228","0.0-40.0","A20S6YBD2VKCZU","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","50","The contrast of blues gives a wintery vibe when viewing.","Mary,Kara,Rose,Leslie,Erika,Jen","I like the overlapping of brushes,41,220,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","It's an alright work,15,200,20","I feel connected to the artist,40,100,20","I can feel a rainy day from this painting,18,120,20","Erika","I feel connected to the artist,40,100,20","Kara","calming blue is very nice,36,160,20","Mary","I like the overlapping of brushes,41,220,20","0"
"3332","","image-button-response_instructions","41","317572","0.0-41.0","A20S6YBD2VKCZU","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15548","","survey-likert","42","333122","0.0-42.0-0.0","A20S6YBD2VKCZU","","","","{""Q0"":"""",""Q1"":0,""Q2"":0}","","","","","","","","","","","","","","","","","","","","","","",""
"3718","","survey-likert","43","341720","0.0-42.1-0.1","A20S6YBD2VKCZU","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"6425","","survey-text","44","348151","0.0-43.0-0.0","A20S6YBD2VKCZU","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"17507","","survey-text","45","365660","0.0-44.0-0.0","A20S6YBD2VKCZU","","","","{""Q0"":""Wonderful, masterful!""}","","","","","","","","","","","","","","","","","","","","","","",""
"1813.9000000059605","","image-slider-response","46","367476","0.0-45.0","A20S6YBD2VKCZU","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","47","372529","0.0-46.0","A20S6YBD2VKCZU","img_art/29.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"783","","image-button-response","48","373315","0.0-47.0","A20S6YBD2VKCZU","img_art/29.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2174","","image-button-response","49","375491","0.0-48.0-0.0","A20S6YBD2VKCZU","img_art/29.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"997","","image-button-response","50","376491","0.0-49.0-0.0","A20S6YBD2VKCZU","img_art/29.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","51","376994","0.0-50.0","A20S6YBD2VKCZU","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/29.jpg","50","Wonderful, masterful!","Meghan,Rebecca,Andrea,Victoria,Gabriela,Margaret","feels random and not thoughtout,-37,220,20","love the texture, i don't know, i just really like it (and the paintbrush adds a nice touch),44,100,20","Bottomless pit and prison. Feels like its saying time is precious.,11,240,20","makes me think of destruction,-20,400,20","I like that it looks like a scene from perhaps a failed painted project,10,140,20","this does nothing for me. hate the colors. hate the design,-50,100,20","Rebecca","love the texture, i don't know, i just really like it (and the paintbrush adds a nice touch),44,100,20","Andrea","Bottomless pit and prison. Feels like its saying time is precious.,11,240,20","Gabriela","I like that it looks like a scene from perhaps a failed painted project,10,140,20","1"
"16409","","survey-text","52","393408","0.0-51.0-0.0","A20S6YBD2VKCZU","","","","{""Q0"":""Dreamy, yet bright and clear.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4061.5999999940395","","image-slider-response","53","397471","0.0-52.0","A20S6YBD2VKCZU","","","","","47","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","54","402474","0.0-53.0","A20S6YBD2VKCZU","img_art/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1131","","image-button-response","55","403607","0.0-54.0","A20S6YBD2VKCZU","img_art/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
