"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"51272","external_page_harvard.html","external-html","0","51452","0.0-0.0","A2137K4XEU12TI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2406","","image-button-response","1","53860","0.0-1.0","A2137K4XEU12TI","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2658","","image-button-response","2","56524","0.0-2.0-0.0","A2137K4XEU12TI","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6836","","survey-text","3","63362","0.0-3.0-0.0","A2137K4XEU12TI","","","","{""Q0"":""A2137K4XEU12TI""}","","","","","","","","","","","","","","","","","","","","","","",""
"28025","","image-button-response_instructions","4","91390","0.0-4.0","A2137K4XEU12TI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13024","","image-button-response_instructions","5","104415","0.0-5.0","A2137K4XEU12TI","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4428","","image-button-response_instructions","6","108844","0.0-6.0","A2137K4XEU12TI","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8131","","image-button-response_instructions","7","116976","0.0-7.0","A2137K4XEU12TI","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10834","","image-button-response_instructions","8","127812","0.0-8.0","A2137K4XEU12TI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2942","","image-button-response_instructions","9","130756","0.0-9.0","A2137K4XEU12TI","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
