"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"12652","external_page_harvard.html","external-html","0","12767","0.0-0.0","A219VCQZADQ45W","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2633","","image-button-response","1","15402","0.0-1.0","A219VCQZADQ45W","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2156","","image-button-response","2","17562","0.0-2.0-0.0","A219VCQZADQ45W","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"16735","","survey-text","3","34298","0.0-3.0-0.0","A219VCQZADQ45W","","","","{""Q0"":""A219VCQZADQ45W""}","","","","","","","","","","","","","","","","","","","","","","",""
"4962","","image-button-response_instructions","4","39262","0.0-4.0","A219VCQZADQ45W","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"51836","","image-button-response_instructions","5","91098","0.0-5.0","A219VCQZADQ45W","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12999","","image-button-response_instructions","6","104098","0.0-6.0","A219VCQZADQ45W","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10110","","image-button-response_instructions","7","114210","0.0-7.0","A219VCQZADQ45W","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17760","","image-button-response_instructions","8","131970","0.0-8.0","A219VCQZADQ45W","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5092","","image-button-response_instructions","9","137062","0.0-9.0","A219VCQZADQ45W","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1947","","image-button-response_instructions","10","139010","0.0-10.0","A219VCQZADQ45W","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2075","","image-button-response_instructions","11","141086","0.0-11.0","A219VCQZADQ45W","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4783","","image-button-response_instructions","12","145870","0.0-12.0","A219VCQZADQ45W","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5411","","image-button-response_instructions","13","151282","0.0-13.0","A219VCQZADQ45W","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3759","","image-button-response_instructions","14","155042","0.0-14.0","A219VCQZADQ45W","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1835","","image-button-response_instructions","15","156878","0.0-15.0","A219VCQZADQ45W","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7859","","image-button-response_instructions","16","164738","0.0-16.0","A219VCQZADQ45W","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5607","","image-button-response_instructions","17","170346","0.0-17.0","A219VCQZADQ45W","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1811","","image-button-response_instructions","18","172158","0.0-18.0","A219VCQZADQ45W","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11954","","survey-text","19","184130","0.0-19.0-0.0","A219VCQZADQ45W","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"23818","","survey-text","20","207950","0.0-20.0-0.0","A219VCQZADQ45W","","","","{""Q0"":""looks like child's play""}","","","","","","","","","","","","","","","","","","","","","","",""
"3326.199999809265","","image-slider-response","21","211278","0.0-21.0","A219VCQZADQ45W","","","","","-16","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","216281","0.0-22.0","A219VCQZADQ45W","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2931","","image-button-response","23","219215","0.0-23.0","A219VCQZADQ45W","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2941","","image-button-response","24","222158","0.0-24.0-0.0","A219VCQZADQ45W","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"8486","","image-button-response","25","230646","0.0-25.0-0.0","A219VCQZADQ45W","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","232149","0.0-26.0","A219VCQZADQ45W","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-16","looks like child's play","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Beth","This color reminds me of poo,-46,60,20","0"
"36414","","survey-text","27","268573","0.0-27.0-0.0","A219VCQZADQ45W","","","","{""Q0"":""somewhat interesting but not that great""}","","","","","","","","","","","","","","","","","","","","","","",""
"6135","","image-slider-response","28","274709","0.0-28.0","A219VCQZADQ45W","","","","","-10","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","279721","0.0-29.0","A219VCQZADQ45W","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7226","","image-button-response","30","286949","0.0-30.0","A219VCQZADQ45W","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
