"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"192593","external_page_harvard.html","external-html","0","192722","0.0-0.0","A21HYG0E8SK3ZZ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1782","","image-button-response","1","194505","0.0-1.0","A21HYG0E8SK3ZZ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1316","","image-button-response","2","195826","0.0-2.0-0.0","A21HYG0E8SK3ZZ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6947","","survey-text","3","202776","0.0-3.0-0.0","A21HYG0E8SK3ZZ","","","","{""Q0"":""A21HYG0E8SK3ZZ""}","","","","","","","","","","","","","","","","","","","","","","",""
"69292","","image-button-response_instructions","4","272073","0.0-4.0","A21HYG0E8SK3ZZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6307","","image-button-response_instructions","5","278382","0.0-5.0","A21HYG0E8SK3ZZ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3399","","image-button-response_instructions","6","281783","0.0-6.0","A21HYG0E8SK3ZZ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2868","","image-button-response_instructions","7","284653","0.0-7.0","A21HYG0E8SK3ZZ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7963","","image-button-response_instructions","8","292616","0.0-8.0","A21HYG0E8SK3ZZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2257","","image-button-response_instructions","9","294874","0.0-9.0","A21HYG0E8SK3ZZ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3207","","image-button-response_instructions","10","298083","0.0-10.0","A21HYG0E8SK3ZZ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3317","","image-button-response_instructions","11","301402","0.0-11.0","A21HYG0E8SK3ZZ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3969","","image-button-response_instructions","12","305373","0.0-12.0","A21HYG0E8SK3ZZ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
