"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"15470","external_page_harvard.html","external-html","0","15612","0.0-0.0","A23G1L7KYHK9F2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1198","","image-button-response","1","16812","0.0-1.0","A23G1L7KYHK9F2","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1147","","image-button-response","2","17964","0.0-2.0-0.0","A23G1L7KYHK9F2","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2302","","survey-text","3","20267","0.0-3.0-0.0","A23G1L7KYHK9F2","","","","{""Q0"":""A23G1L7KYHK9F2""}","","","","","","","","","","","","","","","","","","","","","","",""
"3348","","image-button-response_instructions","4","23618","0.0-4.0","A23G1L7KYHK9F2","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16843","","image-button-response_instructions","5","40462","0.0-5.0","A23G1L7KYHK9F2","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2506","","image-button-response_instructions","6","42970","0.0-6.0","A23G1L7KYHK9F2","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"45535","","image-button-response_instructions","7","88506","0.0-7.0","A23G1L7KYHK9F2","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6584","","image-button-response_instructions","8","95092","0.0-8.0","A23G1L7KYHK9F2","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3339","","image-button-response_instructions","9","98432","0.0-9.0","A23G1L7KYHK9F2","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
