"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8960","external_page_harvard.html","external-html","0","9053","0.0-0.0","A25N802S4J344I","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2119","","image-button-response","1","11173","0.0-1.0","A25N802S4J344I","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"5927","","image-button-response","2","17105","0.0-2.0-0.0","A25N802S4J344I","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5168","","survey-text","3","22275","0.0-3.0-0.0","A25N802S4J344I","","","","{""Q0"":""A25N802S4J344I""}","","","","","","","","","","","","","","","","","","","","","","",""
"9403","","image-button-response_instructions","4","31681","0.0-4.0","A25N802S4J344I","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"41865","","image-button-response_instructions","5","73546","0.0-5.0","A25N802S4J344I","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14244","","image-button-response_instructions","6","87792","0.0-6.0","A25N802S4J344I","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10765","","image-button-response_instructions","7","98558","0.0-7.0","A25N802S4J344I","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28958","","image-button-response_instructions","8","127518","0.0-8.0","A25N802S4J344I","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6262","","image-button-response_instructions","9","133782","0.0-9.0","A25N802S4J344I","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6647","","image-button-response_instructions","10","140430","0.0-10.0","A25N802S4J344I","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5545","","image-button-response_instructions","11","145976","0.0-11.0","A25N802S4J344I","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11649","","image-button-response_instructions","12","157626","0.0-12.0","A25N802S4J344I","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25228","","image-button-response_instructions","13","182855","0.0-13.0","A25N802S4J344I","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20980","","image-button-response_instructions","14","203837","0.0-14.0","A25N802S4J344I","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"29852","","image-button-response_instructions","15","233689","0.0-15.0","A25N802S4J344I","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10185","","image-button-response_instructions","16","243875","0.0-16.0","A25N802S4J344I","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5748","","image-button-response_instructions","17","249623","0.0-17.0","A25N802S4J344I","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2474","","image-button-response_instructions","18","252097","0.0-18.0","A25N802S4J344I","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8280","","survey-text","19","260403","0.0-19.0-0.0","A25N802S4J344I","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"38688","","survey-text","20","299092","0.0-20.0-0.0","A25N802S4J344I","","","","{""Q0"":""I dislike the color combinations.""}","","","","","","","","","","","","","","","","","","","","","","",""
"16455.69999999972","","image-slider-response","21","315550","0.0-21.0","A25N802S4J344I","","","","","-23","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","320557","0.0-22.0","A25N802S4J344I","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"18052","","image-button-response","23","338612","0.0-23.0","A25N802S4J344I","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"17624","","image-button-response","24","356238","0.0-24.0-0.0","A25N802S4J344I","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4246","","image-button-response","25","360486","0.0-25.0-0.0","A25N802S4J344I","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1027","","image-button-response","26","386316","0.0-25.1-0.1","A25N802S4J344I","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","387322","0.0-26.0","A25N802S4J344I","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-23","I dislike the color combinations.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Ben","This color reminds me of poo,-46,60,20","Adam","Seems like doodles,-20,20,20","Daniel","It looks like a murder scene.,-48,100,20","2"
"39130","","survey-text","28","426460","0.0-27.0-0.0","A25N802S4J344I","","","","{""Q0"":""Interesting textures and colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"6419.600000000093","","image-slider-response","29","432881","0.0-28.0","A25N802S4J344I","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","30","437896","0.0-29.0","A25N802S4J344I","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6492","","image-button-response","31","444389","0.0-30.0","A25N802S4J344I","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"32295","","image-button-response","32","476685","0.0-31.0-0.0","A25N802S4J344I","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"10400","","image-button-response","33","487088","0.0-32.0-0.0","A25N802S4J344I","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","487590","0.0-33.0","A25N802S4J344I","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","13","Interesting textures and colors","Adam,John,Ben,James,Daniel,Kyle","too much color,-18,20,20","love the texture of paint,48,160,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","John","love the texture of paint,48,160,20","James","looks too angry,-50,140,20","Daniel","One of my pet peevs,-48,100,20","2"
"55370","","survey-text","35","542967","0.0-34.0-0.0","A25N802S4J344I","","","","{""Q0"":""the colors do a good job of conveying emotions""}","","","","","","","","","","","","","","","","","","","","","","",""
"5168.299999999814","","image-slider-response","36","548137","0.0-35.0","A25N802S4J344I","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","37","553151","0.0-36.0","A25N802S4J344I","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3203","","image-button-response","38","556357","0.0-37.0","A25N802S4J344I","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1694","","image-button-response","39","558053","0.0-38.0-0.0","A25N802S4J344I","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"9694","","image-button-response","40","567749","0.0-39.0-0.0","A25N802S4J344I","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","569251","0.0-40.0","A25N802S4J344I","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","13","the colors do a good job of conveying emotions","Ron,John,Mike,James,Daniel,Sam","It looks depressing,-26,220,20","I like the overlapping of brushes,41,160,20","enjoy the different shades of blue,22,200,20","My worst nightmare,-42,140,20","looks like a murder room,-35,100,20","I can feel a rainy day from this painting,18,240,20","John","I like the overlapping of brushes,41,160,20","Mike","enjoy the different shades of blue,22,200,20","Sam","I can feel a rainy day from this painting,18,240,20","2"
"8614","","image-button-response_instructions","42","577873","0.0-41.0","A25N802S4J344I","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"43837","","survey-likert","43","621712","0.0-42.0-0.0","A25N802S4J344I","","","","{""Q0"":"""",""Q1"":"""",""Q2"":""""}","","","","","","","","","","","","","","","","","","","","","","",""
"10023","","survey-likert","44","637130","0.0-42.1-0.1","A25N802S4J344I","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"5933","","survey-text","45","643067","0.0-43.0-0.0","A25N802S4J344I","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"57583","","survey-text","46","700651","0.0-44.0-0.0","A25N802S4J344I","","","","{""Q0"":""this needs colors to get attention""}","","","","","","","","","","","","","","","","","","","","","","",""
"22014.100000000093","","image-slider-response","47","722667","0.0-45.0","A25N802S4J344I","","","","","-3","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","48","727694","0.0-46.0","A25N802S4J344I","img_art/10.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"13194","","image-button-response","49","740890","0.0-47.0","A25N802S4J344I","img_art/10.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2432","","image-button-response","50","743324","0.0-48.0-0.0","A25N802S4J344I","img_art/10.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3272","","image-button-response","51","746598","0.0-49.0-0.0","A25N802S4J344I","img_art/10.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","52","747599","0.0-50.0","A25N802S4J344I","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","1","img_art/10.jpg","-3","this needs colors to get attention","David,Mark,Alexis,Joseph,Jacob,Shawn","I can't really tell what this is suppose to represent, but overall I don't like the design.,-20,340,20","Kraken, and I love it.,39,80,20","It looks like a sea monster overtaking a ship,21,140,20","The loop type thing reminds me of interconnectedness and life and hope.,12,220,20","I feel like this has a cool concept behind it.,11,340,20","Don't like the colorblock but the lines are nice,-20,100,20","Joseph","The loop type thing reminds me of interconnectedness and life and hope.,12,220,20","Jacob","I feel like this has a cool concept behind it.,11,340,20","Shawn","Don't like the colorblock but the lines are nice,-20,100,20","3"
"33174","","survey-text","53","780781","0.0-51.0-0.0","A25N802S4J344I","","","","{""Q0"":""looks like a cityscape at night""}","","","","","","","","","","","","","","","","","","","","","","",""
"5790.200000000186","","image-slider-response","54","786572","0.0-52.0","A25N802S4J344I","","","","","23","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","55","791581","0.0-53.0","A25N802S4J344I","img_art/11.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3747","","image-button-response","56","795331","0.0-54.0","A25N802S4J344I","img_art/11.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"11212","","image-button-response","57","806545","0.0-55.0-0.0","A25N802S4J344I","img_art/11.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"8364","","image-button-response","58","814910","0.0-56.0-0.0","A25N802S4J344I","img_art/11.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","59","815912","0.0-57.0","A25N802S4J344I","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","2","img_art/11.jpg","23","looks like a cityscape at night","Spencer,Andrew,Nathan,Joseph,Jacob,Shawn","Even with the colors, it is dreary to me,-32,120,20","It's a really cool painting, but it reminds me of bad traffic,-20,160,20","Reminds me of some of post-apocalyptic view of street lights or maybe a city,30,200,20","I like that it could be train tracks, or telephone wires, etc. It's always a means of getting from a to b.,15,220,20","This looks cool, and definitely comes to life in a way,36,340,20","Like the movement but not the background colors.,21,100,20","Andrew","It's a really cool painting, but it reminds me of bad traffic,-20,160,20","Jacob","This looks cool, and definitely comes to life in a way,36,340,20","Nathan","Reminds me of some of post-apocalyptic view of street lights or maybe a city,30,200,20","3"
"53165","","survey-text","60","869084","0.0-58.0-0.0","A25N802S4J344I","","","","{""Q0"":""very textural and interesting colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"7818.199999999721","","image-slider-response","61","876904","0.0-59.0","A25N802S4J344I","","","","","-5","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","62","881908","0.0-60.0","A25N802S4J344I","img_art/7.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
