"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"12723","external_page_harvard.html","external-html","0","13287","0.0-0.0","A25Q1FKANAEYNH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1388","","image-button-response","1","14677","0.0-1.0","A25Q1FKANAEYNH","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1977","","image-button-response","2","16661","0.0-2.0-0.0","A25Q1FKANAEYNH","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10269","","survey-text","3","26933","0.0-3.0-0.0","A25Q1FKANAEYNH","","","","{""Q0"":""A25Q1FKANAEYNH""}","","","","","","","","","","","","","","","","","","","","","","",""
"4053","","image-button-response_instructions","4","30989","0.0-4.0","A25Q1FKANAEYNH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7229","","image-button-response_instructions","5","38221","0.0-5.0","A25Q1FKANAEYNH","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3062","","image-button-response_instructions","6","41284","0.0-6.0","A25Q1FKANAEYNH","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2439","","image-button-response_instructions","7","43725","0.0-7.0","A25Q1FKANAEYNH","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4526","","image-button-response_instructions","8","48253","0.0-8.0","A25Q1FKANAEYNH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3340","","image-button-response_instructions","9","51596","0.0-9.0","A25Q1FKANAEYNH","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3326","","image-button-response_instructions","10","54924","0.0-10.0","A25Q1FKANAEYNH","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3678","","image-button-response_instructions","11","58604","0.0-11.0","A25Q1FKANAEYNH","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4751","","image-button-response_instructions","12","63356","0.0-12.0","A25Q1FKANAEYNH","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1302","","image-button-response_instructions","13","64660","0.0-13.0","A25Q1FKANAEYNH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1510","","image-button-response_instructions","14","66172","0.0-14.0","A25Q1FKANAEYNH","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7982","","image-button-response_instructions","15","74156","0.0-15.0","A25Q1FKANAEYNH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"39015","","image-button-response_instructions","16","113172","0.0-16.0","A25Q1FKANAEYNH","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1663","","image-button-response_instructions","17","114836","0.0-17.0","A25Q1FKANAEYNH","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1038","","image-button-response_instructions","18","115877","0.0-18.0","A25Q1FKANAEYNH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9442","","survey-text","19","125372","0.0-19.0-0.0","A25Q1FKANAEYNH","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"7166","","survey-text","20","132540","0.0-20.0-0.0","A25Q1FKANAEYNH","","","","{""Q0"":""looks like a mess""}","","","","","","","","","","","","","","","","","","","","","","",""
"8312.89999999851","","image-slider-response","21","140868","0.0-21.0","A25Q1FKANAEYNH","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","145874","0.0-22.0","A25Q1FKANAEYNH","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"10441","","image-button-response","23","156318","0.0-23.0","A25Q1FKANAEYNH","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4164","","image-button-response","24","160485","0.0-24.0-0.0","A25Q1FKANAEYNH","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3804","","image-button-response","25","164293","0.0-25.0-0.0","A25Q1FKANAEYNH","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","165296","0.0-26.0","A25Q1FKANAEYNH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-50","looks like a mess","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Ben","This color reminds me of poo,-46,60,20","Adam","Seems like doodles,-20,20,20","0"
"12949","","survey-text","27","178251","0.0-27.0-0.0","A25Q1FKANAEYNH","","","","{""Q0"":""I don't see what's special ""}","","","","","","","","","","","","","","","","","","","","","","",""
"3598.10000000149","","image-slider-response","28","181852","0.0-28.0","A25Q1FKANAEYNH","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"3845","","image-button-response","29","186855","0.0-29.0","A25Q1FKANAEYNH","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339","","image-button-response","30","188197","0.0-30.0","A25Q1FKANAEYNH","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"565","","image-button-response","31","188764","0.0-31.0-0.0","A25Q1FKANAEYNH","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1205","","image-button-response","32","189972","0.0-32.0-0.0","A25Q1FKANAEYNH","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","190473","0.0-33.0","A25Q1FKANAEYNH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-50","I don't see what's special ","Adam,John,Ben,James,Daniel,Kyle","too much color,-18,20,20","love the texture of paint,48,160,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","James","looks too angry,-50,140,20","Daniel","One of my pet peevs,-48,100,20","Ben","meaningless painting,-45,60,20","0"
"10236","","survey-text","34","200716","0.0-34.0-0.0","A25Q1FKANAEYNH","","","","{""Q0"":""oooopss I spill the paint""}","","","","","","","","","","","","","","","","","","","","","","",""
"3565.39999999851","","image-slider-response","35","204284","0.0-35.0","A25Q1FKANAEYNH","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"2829","","image-button-response","36","209287","0.0-36.0","A25Q1FKANAEYNH","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3154","","image-button-response","37","212444","0.0-37.0","A25Q1FKANAEYNH","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2581","","image-button-response","38","215028","0.0-38.0-0.0","A25Q1FKANAEYNH","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2221","","image-button-response","39","217252","0.0-39.0-0.0","A25Q1FKANAEYNH","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","218254","0.0-40.0","A25Q1FKANAEYNH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","-50","oooopss I spill the paint","Mike,Ron,Ben,James,Daniel,Sam","enjoy the different shades of blue,22,200,20","It looks depressing,-26,220,20","This thing gives me anxiety,-41,60,20","My worst nightmare,-42,140,20","looks like a murder room,-35,100,20","I can feel a rainy day from this painting,18,240,20","Daniel","looks like a murder room,-35,100,20","Ben","This thing gives me anxiety,-41,60,20","James","My worst nightmare,-42,140,20","0"
"4960","","image-button-response_instructions","41","223220","0.0-41.0","A25Q1FKANAEYNH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17797","","survey-likert","42","241020","0.0-42.0-0.0","A25Q1FKANAEYNH","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"8473","","survey-text","43","249500","0.0-43.0-0.0","A25Q1FKANAEYNH","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"17741","","survey-text","44","267243","0.0-44.0-0.0","A25Q1FKANAEYNH","","","","{""Q0"":""looks like someone spilled the paint""}","","","","","","","","","","","","","","","","","","","","","","",""
"3710","","image-slider-response","45","270955","0.0-45.0","A25Q1FKANAEYNH","","","","","-42","","","","","","","","","","","","","","","","","","","","","",""
"3293","","image-button-response","46","275991","0.0-46.0","A25Q1FKANAEYNH","img_art/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"627","","image-button-response","47","276620","0.0-47.0","A25Q1FKANAEYNH","img_art/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"854","","image-button-response","48","277476","0.0-48.0-0.0","A25Q1FKANAEYNH","img_art/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3278","","image-button-response","49","280756","0.0-49.0-0.0","A25Q1FKANAEYNH","img_art/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","281259","0.0-50.0","A25Q1FKANAEYNH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/1.jpg","-42","looks like someone spilled the paint","Miguel,Carlos,Gabriel,Logan,Grant,Patrick","Doesn't represent anything in particular.,-47,160,20","Colors are pleasant, but feels incredibly generic.,9,80,20","this ones alright,10,160,20","looks like an earlier painting. I wish I gave it -20 but oh well,21,360,20","The use of reds, blues, and yellows together reminds me of fire. Very interesting to look at.,40,200,20","I feel uneasy looking at this,-41,280,20","Carlos","Colors are pleasant, but feels incredibly generic.,9,80,20","Miguel","Doesn't represent anything in particular.,-47,160,20","Patrick","I feel uneasy looking at this,-41,280,20","0"
"22668","","survey-text","51","303932","0.0-51.0-0.0","A25Q1FKANAEYNH","","","","{""Q0"":""beautiful child art""}","","","","","","","","","","","","","","","","","","","","","","",""
"4549.5","","image-slider-response","52","308484","0.0-52.0","A25Q1FKANAEYNH","","","","","5","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","53","313487","0.0-53.0","A25Q1FKANAEYNH","img_art/27.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2162","","image-button-response","54","315652","0.0-54.0","A25Q1FKANAEYNH","img_art/27.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3230","","image-button-response","55","318884","0.0-55.0-0.0","A25Q1FKANAEYNH","img_art/27.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1533","","image-button-response","56","320421","0.0-56.0-0.0","A25Q1FKANAEYNH","img_art/27.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","57","321423","0.0-57.0","A25Q1FKANAEYNH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","2","img_art/27.jpg","5","beautiful child art","Miguel,Carlos,Robert,Taylor,Peter,Patrick","Adult contemporary painting with child.,-33,160,20","The green lines disrupt the image in an unpleasant and hurried way.,-30,80,20","The black sketchy over the colors doesn't fit.,-4,360,20","Looks like a child added his own interpretation with a black marker.,-5,200,20","Calming sky , relaxing,23,320,20","Not cohesive design,-31,280,20","Miguel","Adult contemporary painting with child.,-33,160,20","Carlos","The green lines disrupt the image in an unpleasant and hurried way.,-30,80,20","Patrick","Not cohesive design,-31,280,20","0"
"18471","","survey-text","58","339900","0.0-58.0-0.0","A25Q1FKANAEYNH","","","","{""Q0"":""my child drew this for me""}","","","","","","","","","","","","","","","","","","","","","","",""
