"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"391611","external_page_harvard.html","external-html","0","391711","0.0-0.0","A25X755IRWK2U5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1666","","image-button-response","1","393379","0.0-1.0","A25X755IRWK2U5","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2240","","image-button-response","2","395627","0.0-2.0-0.0","A25X755IRWK2U5","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5482","","survey-text","3","401111","0.0-3.0-0.0","A25X755IRWK2U5","","","","{""Q0"":""A25X755IRWK2U5""}","","","","","","","","","","","","","","","","","","","","","","",""
"7524","","image-button-response_instructions","4","408637","0.0-4.0","A25X755IRWK2U5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10208","","image-button-response_instructions","5","418846","0.0-5.0","A25X755IRWK2U5","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2663","","image-button-response_instructions","6","421510","0.0-6.0","A25X755IRWK2U5","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6803","","image-button-response_instructions","7","428315","0.0-7.0","A25X755IRWK2U5","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6501","","image-button-response_instructions","8","434817","0.0-8.0","A25X755IRWK2U5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5393","","image-button-response_instructions","9","440211","0.0-9.0","A25X755IRWK2U5","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2885","","image-button-response_instructions","10","443097","0.0-10.0","A25X755IRWK2U5","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2337","","image-button-response_instructions","11","445435","0.0-11.0","A25X755IRWK2U5","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6831","","image-button-response_instructions","12","452267","0.0-12.0","A25X755IRWK2U5","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12900","","image-button-response_instructions","13","465169","0.0-13.0","A25X755IRWK2U5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10113","","image-button-response_instructions","14","475283","0.0-14.0","A25X755IRWK2U5","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5882","","image-button-response_instructions","15","481167","0.0-15.0","A25X755IRWK2U5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11607","","image-button-response_instructions","16","492774","0.0-16.0","A25X755IRWK2U5","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2899","","image-button-response_instructions","17","495675","0.0-17.0","A25X755IRWK2U5","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1939","","image-button-response_instructions","18","497615","0.0-18.0","A25X755IRWK2U5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
