"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8677","external_page_harvard.html","external-html","0","8764","0.0-0.0","A26ZENZ5G8AEGM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2673","","image-button-response","1","11440","0.0-1.0","A26ZENZ5G8AEGM","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4601","","image-button-response","2","16047","0.0-2.0-0.0","A26ZENZ5G8AEGM","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8317","","survey-text","3","24369","0.0-3.0-0.0","A26ZENZ5G8AEGM","","","","{""Q0"":""A26ZENZ5G8AEGM""}","","","","","","","","","","","","","","","","","","","","","","",""
"11442","","image-button-response_instructions","4","35815","0.0-4.0","A26ZENZ5G8AEGM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21183","","image-button-response_instructions","5","57000","0.0-5.0","A26ZENZ5G8AEGM","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6405","","image-button-response_instructions","6","63408","0.0-6.0","A26ZENZ5G8AEGM","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4670","","image-button-response_instructions","7","68079","0.0-7.0","A26ZENZ5G8AEGM","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7438","","image-button-response_instructions","8","75518","0.0-8.0","A26ZENZ5G8AEGM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4928","","image-button-response_instructions","9","80448","0.0-9.0","A26ZENZ5G8AEGM","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4133","","image-button-response_instructions","10","84584","0.0-10.0","A26ZENZ5G8AEGM","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3261","","image-button-response_instructions","11","87848","0.0-11.0","A26ZENZ5G8AEGM","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
