"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"260627","external_page_harvard.html","external-html","0","260704","0.0-0.0","A27OXXF9NU2UZH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","","image-button-response","1","262706","0.0-1.0","A27OXXF9NU2UZH","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026","","image-button-response","2","264737","0.0-2.0-0.0","A27OXXF9NU2UZH","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9252","","survey-text","3","273992","0.0-3.0-0.0","A27OXXF9NU2UZH","","","","{""Q0"":""A27OXXF9NU2UZH""}","","","","","","","","","","","","","","","","","","","","","","",""
"4598","","image-button-response_instructions","4","278592","0.0-4.0","A27OXXF9NU2UZH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11591","","image-button-response_instructions","5","290184","0.0-5.0","A27OXXF9NU2UZH","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7241","","image-button-response_instructions","6","297427","0.0-6.0","A27OXXF9NU2UZH","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3308","","image-button-response_instructions","7","300744","0.0-7.0","A27OXXF9NU2UZH","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5612","","image-button-response_instructions","8","306358","0.0-8.0","A27OXXF9NU2UZH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5708","","image-button-response_instructions","9","312068","0.0-9.0","A27OXXF9NU2UZH","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2489","","image-button-response_instructions","10","314558","0.0-10.0","A27OXXF9NU2UZH","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2054","","image-button-response_instructions","11","316613","0.0-11.0","A27OXXF9NU2UZH","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5870","","image-button-response_instructions","12","322484","0.0-12.0","A27OXXF9NU2UZH","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12335","","image-button-response_instructions","13","334820","0.0-13.0","A27OXXF9NU2UZH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6880","","image-button-response_instructions","14","341702","0.0-14.0","A27OXXF9NU2UZH","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4360","","image-button-response_instructions","15","346064","0.0-15.0","A27OXXF9NU2UZH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8862","","image-button-response_instructions","16","354927","0.0-16.0","A27OXXF9NU2UZH","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4744","","image-button-response_instructions","17","359672","0.0-17.0","A27OXXF9NU2UZH","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2801","","image-button-response_instructions","18","362474","0.0-18.0","A27OXXF9NU2UZH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7310","","survey-text","19","369807","0.0-19.0-0.0","A27OXXF9NU2UZH","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"16596","","survey-text","20","386406","0.0-20.0-0.0","A27OXXF9NU2UZH","","","","{""Q0"":""Looks like a windy field""}","","","","","","","","","","","","","","","","","","","","","","",""
"9341.900000035763","","image-slider-response","21","395750","0.0-21.0","A27OXXF9NU2UZH","","","","","-13","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","400754","0.0-22.0","A27OXXF9NU2UZH","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"16101","","image-button-response","23","416858","0.0-23.0","A27OXXF9NU2UZH","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
