"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"16348","external_page_harvard.html","external-html","0","16440","0.0-0.0","A29DF24JS60P35","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9430","","image-button-response","1","25874","0.0-1.0","A29DF24JS60P35","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3550","","image-button-response","2","29433","0.0-2.0-0.0","A29DF24JS60P35","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"12517","","survey-text","3","41953","0.0-3.0-0.0","A29DF24JS60P35","","","","{""Q0"":""A29DF24JS60P35""}","","","","","","","","","","","","","","","","","","","","","","",""
"18169","","image-button-response_instructions","4","60126","0.0-4.0","A29DF24JS60P35","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"34873","","image-button-response_instructions","5","95002","0.0-5.0","A29DF24JS60P35","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10277","","image-button-response_instructions","6","105281","0.0-6.0","A29DF24JS60P35","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21217","","image-button-response_instructions","7","126500","0.0-7.0","A29DF24JS60P35","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13824","","image-button-response_instructions","8","140326","0.0-8.0","A29DF24JS60P35","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6048","","image-button-response_instructions","9","146377","0.0-9.0","A29DF24JS60P35","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
