"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"22724","external_page_harvard.html","external-html","0","22875","0.0-0.0","A29HNN7SWL3N31","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3183","","image-button-response","1","26060","0.0-1.0","A29HNN7SWL3N31","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1862","","image-button-response","2","27932","0.0-2.0-0.0","A29HNN7SWL3N31","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4360","","survey-text","3","32292","0.0-3.0-0.0","A29HNN7SWL3N31","","","","{""Q0"":""A29HNN7SWL3N31""}","","","","","","","","","","","","","","","","","","","","","","",""
"6213","","image-button-response_instructions","4","38507","0.0-4.0","A29HNN7SWL3N31","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"239796","","image-button-response_instructions","5","278310","0.0-5.0","A29HNN7SWL3N31","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6952","","image-button-response_instructions","6","285264","0.0-6.0","A29HNN7SWL3N31","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11689","","image-button-response_instructions","7","296958","0.0-7.0","A29HNN7SWL3N31","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"67127","","image-button-response_instructions","8","364089","0.0-8.0","A29HNN7SWL3N31","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14716","","image-button-response_instructions","9","378805","0.0-9.0","A29HNN7SWL3N31","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6374","","image-button-response_instructions","10","385188","0.0-10.0","A29HNN7SWL3N31","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3631","","image-button-response_instructions","11","388831","0.0-11.0","A29HNN7SWL3N31","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4392","","image-button-response_instructions","12","393224","0.0-12.0","A29HNN7SWL3N31","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1766","","image-button-response_instructions","13","394990","0.0-13.0","A29HNN7SWL3N31","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"63321","","image-button-response_instructions","14","458312","0.0-14.0","A29HNN7SWL3N31","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"362105","","image-button-response_instructions","15","820418","0.0-15.0","A29HNN7SWL3N31","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6120","","image-button-response_instructions","16","826539","0.0-16.0","A29HNN7SWL3N31","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4623","","image-button-response_instructions","17","831168","0.0-17.0","A29HNN7SWL3N31","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2703","","image-button-response_instructions","18","833877","0.0-18.0","A29HNN7SWL3N31","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9681","","survey-text","19","843588","0.0-19.0-0.0","A29HNN7SWL3N31","","","","{""Q0"":""BUT""}","","","","","","","","","","","","","","","","","","","","","","",""
"15852","","survey-text","20","886327","0.0-19.1-0.1","A29HNN7SWL3N31","","","","{""Q0"":""BUT""}","","","","","","","","","","","","","","","","","","","","","","",""
"5467","","survey-text","21","896935","0.0-19.2-0.2","A29HNN7SWL3N31","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
