"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6809","external_page_harvard.html","external-html","0","6894","0.0-0.0","A2AMAU5O7O3AWX","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1252","","image-button-response","1","8149","0.0-1.0","A2AMAU5O7O3AWX","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1515","","image-button-response","2","9673","0.0-2.0-0.0","A2AMAU5O7O3AWX","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"35828","","survey-text","3","45506","0.0-3.0-0.0","A2AMAU5O7O3AWX","","","","{""Q0"":""A2AMAU5O7O3AWX""}","","","","","","","","","","","","","","","","","","","","","","",""
"5297","","image-button-response_instructions","4","50807","0.0-4.0","A2AMAU5O7O3AWX","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11781","","image-button-response_instructions","5","62591","0.0-5.0","A2AMAU5O7O3AWX","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7319","","image-button-response_instructions","6","69913","0.0-6.0","A2AMAU5O7O3AWX","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7692","","image-button-response_instructions","7","77608","0.0-7.0","A2AMAU5O7O3AWX","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16092","","image-button-response_instructions","8","93702","0.0-8.0","A2AMAU5O7O3AWX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2020","","image-button-response_instructions","9","95725","0.0-9.0","A2AMAU5O7O3AWX","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2937","","image-button-response_instructions","10","98665","0.0-10.0","A2AMAU5O7O3AWX","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2745","","image-button-response_instructions","11","101412","0.0-11.0","A2AMAU5O7O3AWX","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"85560","","image-button-response_instructions","12","186975","0.0-12.0","A2AMAU5O7O3AWX","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9356","","image-button-response_instructions","13","196335","0.0-13.0","A2AMAU5O7O3AWX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7226","","image-button-response_instructions","14","203563","0.0-14.0","A2AMAU5O7O3AWX","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3977","","image-button-response_instructions","15","207543","0.0-15.0","A2AMAU5O7O3AWX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12388","","image-button-response_instructions","16","219934","0.0-16.0","A2AMAU5O7O3AWX","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2085","","image-button-response_instructions","17","222021","0.0-17.0","A2AMAU5O7O3AWX","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1169","","image-button-response_instructions","18","223192","0.0-18.0","A2AMAU5O7O3AWX","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3787","","survey-text","19","227015","0.0-19.0-0.0","A2AMAU5O7O3AWX","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"17582","","survey-text","20","244599","0.0-20.0-0.0","A2AMAU5O7O3AWX","","","","{""Q0"":""I like the brushstrokes but I do not like the colors because they look harsh.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4963.29999999702","","image-slider-response","21","249567","0.0-21.0","A2AMAU5O7O3AWX","","","","","-15","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","254581","0.0-22.0","A2AMAU5O7O3AWX","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"5607","","image-button-response","23","260192","0.0-23.0","A2AMAU5O7O3AWX","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2752","","image-button-response","24","262949","0.0-24.0-0.0","A2AMAU5O7O3AWX","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5782","","image-button-response","25","268736","0.0-25.0-0.0","A2AMAU5O7O3AWX","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","270242","0.0-26.0","A2AMAU5O7O3AWX","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-15","I like the brushstrokes but I do not like the colors because they look harsh.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Jen","It reminds me of a candy land dream I had,36,120,20","0"
