"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6323","external_page_harvard.html","external-html","0","6455","0.0-0.0","A2BF7JF6NROA0T","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1814","","image-button-response","1","8271","0.0-1.0","A2BF7JF6NROA0T","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1382","","image-button-response","2","9660","0.0-2.0-0.0","A2BF7JF6NROA0T","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2921","","survey-text","3","12585","0.0-3.0-0.0","A2BF7JF6NROA0T","","","","{""Q0"":""A2BF7JF6NROA0T""}","","","","","","","","","","","","","","","","","","","","","","",""
"3548","","image-button-response_instructions","4","16137","0.0-4.0","A2BF7JF6NROA0T","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8137","","image-button-response_instructions","5","24276","0.0-5.0","A2BF7JF6NROA0T","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2374","","image-button-response_instructions","6","26653","0.0-6.0","A2BF7JF6NROA0T","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2140","","image-button-response_instructions","7","28795","0.0-7.0","A2BF7JF6NROA0T","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2602","","image-button-response_instructions","8","31400","0.0-8.0","A2BF7JF6NROA0T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3012","","image-button-response_instructions","9","34414","0.0-9.0","A2BF7JF6NROA0T","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1482","","image-button-response_instructions","10","35898","0.0-10.0","A2BF7JF6NROA0T","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2115","","image-button-response_instructions","11","38014","0.0-11.0","A2BF7JF6NROA0T","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2103","","image-button-response_instructions","12","40122","0.0-12.0","A2BF7JF6NROA0T","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4237","","image-button-response_instructions","13","44361","0.0-13.0","A2BF7JF6NROA0T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2453","","image-button-response_instructions","14","46816","0.0-14.0","A2BF7JF6NROA0T","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1632","","image-button-response_instructions","15","48449","0.0-15.0","A2BF7JF6NROA0T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4930","","image-button-response_instructions","16","53381","0.0-16.0","A2BF7JF6NROA0T","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1787","","image-button-response_instructions","17","55169","0.0-17.0","A2BF7JF6NROA0T","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1577","","image-button-response_instructions","18","56748","0.0-18.0","A2BF7JF6NROA0T","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3343","","survey-text","19","60124","0.0-19.0-0.0","A2BF7JF6NROA0T","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"24410","","survey-text","20","84538","0.0-20.0-0.0","A2BF7JF6NROA0T","","","","{""Q0"":""The colors are fun and interesting. I feel calm and happy. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"3648.9000000953674","","image-slider-response","21","88190","0.0-21.0","A2BF7JF6NROA0T","","","","","45","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","93196","0.0-22.0","A2BF7JF6NROA0T","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"5639","","image-button-response","23","98838","0.0-23.0","A2BF7JF6NROA0T","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
