"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"166901","external_page_harvard.html","external-html","0","166944","0.0-0.0","A2BK9RMC0NOIH8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2933","","image-button-response","1","169879","0.0-1.0","A2BK9RMC0NOIH8","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2460","","image-button-response","2","172344","0.0-2.0-0.0","A2BK9RMC0NOIH8","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7688","","survey-text","3","180034","0.0-3.0-0.0","A2BK9RMC0NOIH8","","","","{""Q0"":""A2BK9RMC0NOIH8""}","","","","","","","","","","","","","","","","","","","","","","",""
"7789","","image-button-response_instructions","4","187824","0.0-4.0","A2BK9RMC0NOIH8","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20513","","image-button-response_instructions","5","208339","0.0-5.0","A2BK9RMC0NOIH8","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9349","","image-button-response_instructions","6","217688","0.0-6.0","A2BK9RMC0NOIH8","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9933","","image-button-response_instructions","7","227623","0.0-7.0","A2BK9RMC0NOIH8","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16276","","image-button-response_instructions","8","243899","0.0-8.0","A2BK9RMC0NOIH8","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5075","","image-button-response_instructions","9","248976","0.0-9.0","A2BK9RMC0NOIH8","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7469","","image-button-response_instructions","10","256445","0.0-10.0","A2BK9RMC0NOIH8","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4470","","image-button-response_instructions","11","260917","0.0-11.0","A2BK9RMC0NOIH8","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9134","","image-button-response_instructions","12","270051","0.0-12.0","A2BK9RMC0NOIH8","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14685","","image-button-response_instructions","13","284737","0.0-13.0","A2BK9RMC0NOIH8","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10936","","image-button-response_instructions","14","295675","0.0-14.0","A2BK9RMC0NOIH8","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7705","","image-button-response_instructions","15","303381","0.0-15.0","A2BK9RMC0NOIH8","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11956","","image-button-response_instructions","16","315339","0.0-16.0","A2BK9RMC0NOIH8","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7276","","image-button-response_instructions","17","322616","0.0-17.0","A2BK9RMC0NOIH8","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3265","","image-button-response_instructions","18","325881","0.0-18.0","A2BK9RMC0NOIH8","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9896","","survey-text","19","335795","0.0-19.0-0.0","A2BK9RMC0NOIH8","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"42056","","survey-text","20","377853","0.0-20.0-0.0","A2BK9RMC0NOIH8","","","","{""Q0"":""The colors remind me of graffiti.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6159","","image-slider-response","21","384014","0.0-21.0","A2BK9RMC0NOIH8","","","","","-1","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","389027","0.0-22.0","A2BK9RMC0NOIH8","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"12962","","image-button-response","23","401992","0.0-23.0","A2BK9RMC0NOIH8","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3022","","image-button-response","24","405017","0.0-24.0-0.0","A2BK9RMC0NOIH8","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3999","","image-button-response","25","409018","0.0-25.0-0.0","A2BK9RMC0NOIH8","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1113","","image-button-response","26","415989","0.0-25.1-0.1","A2BK9RMC0NOIH8","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
