"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"69924","external_page_harvard.html","external-html","0","70097","0.0-0.0","A2CAMVV9YNUA5O","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2301","","image-button-response","1","72399","0.0-1.0","A2CAMVV9YNUA5O","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4045","","image-button-response","2","76448","0.0-2.0-0.0","A2CAMVV9YNUA5O","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"15538","","survey-text","3","91991","0.0-3.0-0.0","A2CAMVV9YNUA5O","","","","{""Q0"":""A2CAMVV9YNUA5O""}","","","","","","","","","","","","","","","","","","","","","","",""
"24164","","image-button-response_instructions","4","116158","0.0-4.0","A2CAMVV9YNUA5O","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"60657","","image-button-response_instructions","5","176817","0.0-5.0","A2CAMVV9YNUA5O","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6956","","image-button-response_instructions","6","183776","0.0-6.0","A2CAMVV9YNUA5O","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6396","","image-button-response_instructions","7","190174","0.0-7.0","A2CAMVV9YNUA5O","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6690","","image-button-response_instructions","8","196867","0.0-8.0","A2CAMVV9YNUA5O","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7641","","image-button-response_instructions","9","204511","0.0-9.0","A2CAMVV9YNUA5O","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5191","","image-button-response_instructions","10","209705","0.0-10.0","A2CAMVV9YNUA5O","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6995","","image-button-response_instructions","11","216702","0.0-11.0","A2CAMVV9YNUA5O","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8254","","image-button-response_instructions","12","224959","0.0-12.0","A2CAMVV9YNUA5O","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28879","","image-button-response_instructions","13","253841","0.0-13.0","A2CAMVV9YNUA5O","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"37908","","image-button-response_instructions","14","291750","0.0-14.0","A2CAMVV9YNUA5O","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28804","","image-button-response_instructions","15","320557","0.0-15.0","A2CAMVV9YNUA5O","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"27165","","image-button-response_instructions","16","347722","0.0-16.0","A2CAMVV9YNUA5O","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11730","","image-button-response_instructions","17","359454","0.0-17.0","A2CAMVV9YNUA5O","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3366","","image-button-response_instructions","18","362822","0.0-18.0","A2CAMVV9YNUA5O","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10960","","survey-text","19","373800","0.0-19.0-0.0","A2CAMVV9YNUA5O","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"39269","","survey-text","20","413071","0.0-20.0-0.0","A2CAMVV9YNUA5O","","","","{""Q0"":""This art reminds me of late spring when the grass isn't quite green yet, but the flowers are blooming and the sun is out. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"5404","","image-slider-response","21","418480","0.0-21.0","A2CAMVV9YNUA5O","","","","","34","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","423497","0.0-22.0","A2CAMVV9YNUA5O","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"10273","","image-button-response","23","433773","0.0-23.0","A2CAMVV9YNUA5O","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2515","","image-button-response","24","436291","0.0-24.0-0.0","A2CAMVV9YNUA5O","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"15354","","image-button-response","25","451646","0.0-25.0-0.0","A2CAMVV9YNUA5O","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","453157","0.0-26.0","A2CAMVV9YNUA5O","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","34","This art reminds me of late spring when the grass isn't quite green yet, but the flowers are blooming and the sun is out. ","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"28008","","survey-text","27","481171","0.0-27.0-0.0","A2CAMVV9YNUA5O","","","","{""Q0"":""This reminds me of a house burning down with the smoke surrounding it. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"4134.799999952316","","image-slider-response","28","485307","0.0-28.0","A2CAMVV9YNUA5O","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","490309","0.0-29.0","A2CAMVV9YNUA5O","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2863","","image-button-response","30","493174","0.0-30.0","A2CAMVV9YNUA5O","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3626","","image-button-response","31","496800","0.0-31.0-0.0","A2CAMVV9YNUA5O","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2104","","image-button-response","32","498905","0.0-32.0-0.0","A2CAMVV9YNUA5O","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","499422","0.0-33.0","A2CAMVV9YNUA5O","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","13","This reminds me of a house burning down with the smoke surrounding it. ","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Jen","It reminds me of a fireplace,36,120,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","0"
"22945","","survey-text","34","522372","0.0-34.0-0.0","A2CAMVV9YNUA5O","","","","{""Q0"":""This reminds me of birds migrating to the South for wnter. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"6236","","image-slider-response","35","528610","0.0-35.0","A2CAMVV9YNUA5O","","","","","39","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","533617","0.0-36.0","A2CAMVV9YNUA5O","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"5269","","image-button-response","37","538890","0.0-37.0","A2CAMVV9YNUA5O","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"946","","image-button-response","38","539841","0.0-38.0-0.0","A2CAMVV9YNUA5O","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3563","","image-button-response","39","543409","0.0-39.0-0.0","A2CAMVV9YNUA5O","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
