"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"12617","external_page_harvard.html","external-html","0","12721","0.0-0.0","A2CS67AX8RPJUB","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"257991","","image-button-response","1","270718","0.0-1.0","A2CS67AX8RPJUB","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2773","","image-button-response","2","273503","0.0-2.0-0.0","A2CS67AX8RPJUB","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5254","","survey-text","3","278761","0.0-3.0-0.0","A2CS67AX8RPJUB","","","","{""Q0"":""A2CS67AX8RPJUB""}","","","","","","","","","","","","","","","","","","","","","","",""
"11457","","image-button-response_instructions","4","290227","0.0-4.0","A2CS67AX8RPJUB","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20710","","image-button-response_instructions","5","310942","0.0-5.0","A2CS67AX8RPJUB","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10307","","image-button-response_instructions","6","321253","0.0-6.0","A2CS67AX8RPJUB","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"41819","","image-button-response_instructions","7","363076","0.0-7.0","A2CS67AX8RPJUB","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"37585","","image-button-response_instructions","8","400665","0.0-8.0","A2CS67AX8RPJUB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2934","","image-button-response_instructions","9","403603","0.0-9.0","A2CS67AX8RPJUB","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3089","","image-button-response_instructions","10","406697","0.0-10.0","A2CS67AX8RPJUB","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1271","","image-button-response_instructions","11","407973","0.0-11.0","A2CS67AX8RPJUB","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"124235","","image-button-response_instructions","12","532212","0.0-12.0","A2CS67AX8RPJUB","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17524","","image-button-response_instructions","13","549741","0.0-13.0","A2CS67AX8RPJUB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11672","","image-button-response_instructions","14","561418","0.0-14.0","A2CS67AX8RPJUB","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11349","","image-button-response_instructions","15","572772","0.0-15.0","A2CS67AX8RPJUB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25971","","image-button-response_instructions","16","598747","0.0-16.0","A2CS67AX8RPJUB","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7108","","image-button-response_instructions","17","605859","0.0-17.0","A2CS67AX8RPJUB","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"117498","","image-button-response_instructions","18","723361","0.0-18.0","A2CS67AX8RPJUB","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6907","","survey-text","19","730324","0.0-19.0-0.0","A2CS67AX8RPJUB","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"33007","","survey-text","20","763337","0.0-20.0-0.0","A2CS67AX8RPJUB","","","","{""Q0"":""It looks like a field of flowers that are blowing in the wind. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"4331.399999976158","","image-slider-response","21","767678","0.0-21.0","A2CS67AX8RPJUB","","","","","24","","","","","","","","","","","","","","","","","","","","","",""
