"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8787","external_page_harvard.html","external-html","0","9029","0.0-0.0","A2E3LKD3ELOED6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1837","","image-button-response","1","10871","0.0-1.0","A2E3LKD3ELOED6","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016","","image-button-response","2","12901","0.0-2.0-0.0","A2E3LKD3ELOED6","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7107","","survey-text","3","20012","0.0-3.0-0.0","A2E3LKD3ELOED6","","","","{""Q0"":""A2E3LKD3ELOED6""}","","","","","","","","","","","","","","","","","","","","","","",""
"6372","","image-button-response_instructions","4","26389","0.0-4.0","A2E3LKD3ELOED6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11568","","image-button-response_instructions","5","37962","0.0-5.0","A2E3LKD3ELOED6","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4092","","image-button-response_instructions","6","42056","0.0-6.0","A2E3LKD3ELOED6","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2944","","image-button-response_instructions","7","45003","0.0-7.0","A2E3LKD3ELOED6","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6856","","image-button-response_instructions","8","51863","0.0-8.0","A2E3LKD3ELOED6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4576","","image-button-response_instructions","9","56443","0.0-9.0","A2E3LKD3ELOED6","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3243","","image-button-response_instructions","10","59688","0.0-10.0","A2E3LKD3ELOED6","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3244","","image-button-response_instructions","11","62936","0.0-11.0","A2E3LKD3ELOED6","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7873","","image-button-response_instructions","12","70812","0.0-12.0","A2E3LKD3ELOED6","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13134","","image-button-response_instructions","13","83948","0.0-13.0","A2E3LKD3ELOED6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13950","","image-button-response_instructions","14","97901","0.0-14.0","A2E3LKD3ELOED6","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4775","","image-button-response_instructions","15","102680","0.0-15.0","A2E3LKD3ELOED6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
