"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"21506","external_page_harvard.html","external-html","0","21575","0.0-0.0","A2EK1HDV4I4GSK","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1568","","image-button-response","1","23145","0.0-1.0","A2EK1HDV4I4GSK","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2524","","image-button-response","2","25675","0.0-2.0-0.0","A2EK1HDV4I4GSK","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"22193","","survey-text","3","47871","0.0-3.0-0.0","A2EK1HDV4I4GSK","","","","{""Q0"":""A2EK1HDV4I4GSK""}","","","","","","","","","","","","","","","","","","","","","","",""
"20042","","image-button-response_instructions","4","67915","0.0-4.0","A2EK1HDV4I4GSK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"53718","","image-button-response_instructions","5","121635","0.0-5.0","A2EK1HDV4I4GSK","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6175","","image-button-response_instructions","6","127812","0.0-6.0","A2EK1HDV4I4GSK","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9349","","image-button-response_instructions","7","137162","0.0-7.0","A2EK1HDV4I4GSK","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13769","","image-button-response_instructions","8","150932","0.0-8.0","A2EK1HDV4I4GSK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4461","","image-button-response_instructions","9","155394","0.0-9.0","A2EK1HDV4I4GSK","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5743","","image-button-response_instructions","10","161138","0.0-10.0","A2EK1HDV4I4GSK","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4613","","image-button-response_instructions","11","165751","0.0-11.0","A2EK1HDV4I4GSK","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6033","","image-button-response_instructions","12","171786","0.0-12.0","A2EK1HDV4I4GSK","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13338","","image-button-response_instructions","13","185125","0.0-13.0","A2EK1HDV4I4GSK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15980","","image-button-response_instructions","14","201107","0.0-14.0","A2EK1HDV4I4GSK","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7085","","image-button-response_instructions","15","208194","0.0-15.0","A2EK1HDV4I4GSK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12288","","image-button-response_instructions","16","220484","0.0-16.0","A2EK1HDV4I4GSK","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7568","","image-button-response_instructions","17","228054","0.0-17.0","A2EK1HDV4I4GSK","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2019","","image-button-response_instructions","18","230074","0.0-18.0","A2EK1HDV4I4GSK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19949","","survey-text","19","250047","0.0-19.0-0.0","A2EK1HDV4I4GSK","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"29842","","survey-text","20","279891","0.0-20.0-0.0","A2EK1HDV4I4GSK","","","","{""Q0"":""Looks like a 5 year lods finger painting.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4933.29999999702","","image-slider-response","21","284827","0.0-21.0","A2EK1HDV4I4GSK","","","","","-32","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","289830","0.0-22.0","A2EK1HDV4I4GSK","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2565","","image-button-response","23","292398","0.0-23.0","A2EK1HDV4I4GSK","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3861","","image-button-response","24","296261","0.0-24.0-0.0","A2EK1HDV4I4GSK","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"12769","","image-button-response","25","309033","0.0-25.0-0.0","A2EK1HDV4I4GSK","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2033","","image-button-response","26","316212","0.0-25.1-0.1","A2EK1HDV4I4GSK","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","317217","0.0-26.0","A2EK1HDV4I4GSK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-32","Looks like a 5 year lods finger painting.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Adam","Seems like doodles,-20,20,20","Carl","very calming artwork,42,80,20","2"
"27496","","survey-text","28","344716","0.0-27.0-0.0","A2EK1HDV4I4GSK","","","","{""Q0"":""The artist was high.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3106.39999999851","","image-slider-response","29","347825","0.0-28.0","A2EK1HDV4I4GSK","","","","","-15","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","30","352828","0.0-29.0","A2EK1HDV4I4GSK","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3695","","image-button-response","31","356525","0.0-30.0","A2EK1HDV4I4GSK","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2514","","image-button-response","32","359041","0.0-31.0-0.0","A2EK1HDV4I4GSK","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1714","","image-button-response","33","360757","0.0-32.0-0.0","A2EK1HDV4I4GSK","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2067","","image-button-response","34","365267","0.0-32.1-0.1","A2EK1HDV4I4GSK","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","35","366773","0.0-33.0","A2EK1HDV4I4GSK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","-15","The artist was high.","Adam,James,John,Carl,Daniel,Kyle","too much color,-18,20,20","looks too angry,-50,140,20","love the texture of paint,48,160,20","I can feel the artist's passion in it,45,80,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","Kyle","Idk, it is just annoying,-32,180,20","Carl","I can feel the artist's passion in it,45,80,20","James","looks too angry,-50,140,20","4"
"17468","","survey-text","36","384246","0.0-34.0-0.0","A2EK1HDV4I4GSK","","","","{""Q0"":""That's a loof blue.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3634.10000000149","","image-slider-response","37","387882","0.0-35.0","A2EK1HDV4I4GSK","","","","","9","","","","","","","","","","","","","","","","","","","","","",""
"4140","","image-button-response","38","392884","0.0-36.0","A2EK1HDV4I4GSK","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022","","image-button-response","39","394908","0.0-37.0","A2EK1HDV4I4GSK","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3716","","image-button-response","40","398626","0.0-38.0-0.0","A2EK1HDV4I4GSK","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"11147","","image-button-response","41","409776","0.0-39.0-0.0","A2EK1HDV4I4GSK","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","42","411280","0.0-40.0","A2EK1HDV4I4GSK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","9","That's a loof blue.","Mike,James,Sam,Carl,Ron,Kyle","enjoy the different shades of blue,22,200,20","My worst nightmare,-42,140,20","I can feel a rainy day from this painting,18,240,20","It's an alright work,15,80,20","It looks depressing,-26,220,20","It looks like a playground for bats,-36,180,20","Sam","I can feel a rainy day from this painting,18,240,20","Kyle","It looks like a playground for bats,-36,180,20","Mike","enjoy the different shades of blue,22,200,20","4"
"8723","","image-button-response_instructions","43","420008","0.0-41.0","A2EK1HDV4I4GSK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17216","","survey-likert","44","437226","0.0-42.0-0.0","A2EK1HDV4I4GSK","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
