"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4361","external_page_harvard.html","external-html","0","4399","0.0-0.0","A2EVY60IK9QPMJ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1173","","image-button-response","1","5575","0.0-1.0","A2EVY60IK9QPMJ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1183","","image-button-response","2","6768","0.0-2.0-0.0","A2EVY60IK9QPMJ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7255","","survey-text","3","14027","0.0-3.0-0.0","A2EVY60IK9QPMJ","","","","{""Q0"":""A2EVY60IK9QPMJ""}","","","","","","","","","","","","","","","","","","","","","","",""
"2005","","image-button-response_instructions","4","16036","0.0-4.0","A2EVY60IK9QPMJ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1978","","image-button-response_instructions","5","18017","0.0-5.0","A2EVY60IK9QPMJ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8916","","image-button-response_instructions","6","26935","0.0-6.0","A2EVY60IK9QPMJ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9876","","image-button-response_instructions","7","36812","0.0-7.0","A2EVY60IK9QPMJ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20639","","image-button-response_instructions","8","57453","0.0-8.0","A2EVY60IK9QPMJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3548","","image-button-response_instructions","9","61002","0.0-9.0","A2EVY60IK9QPMJ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2346","","image-button-response_instructions","10","63350","0.0-10.0","A2EVY60IK9QPMJ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1940","","image-button-response_instructions","11","65293","0.0-11.0","A2EVY60IK9QPMJ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2110","","image-button-response_instructions","12","67405","0.0-12.0","A2EVY60IK9QPMJ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8254","","image-button-response_instructions","13","75661","0.0-13.0","A2EVY60IK9QPMJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6795","","image-button-response_instructions","14","82459","0.0-14.0","A2EVY60IK9QPMJ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4971","","image-button-response_instructions","15","87433","0.0-15.0","A2EVY60IK9QPMJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9878","","image-button-response_instructions","16","97313","0.0-16.0","A2EVY60IK9QPMJ","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3174","","image-button-response_instructions","17","100489","0.0-17.0","A2EVY60IK9QPMJ","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1523","","image-button-response_instructions","18","102013","0.0-18.0","A2EVY60IK9QPMJ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
