"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"18428","external_page_harvard.html","external-html","0","18488","0.0-0.0","A2FGKKWP33DFWS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2305","","image-button-response","1","20794","0.0-1.0","A2FGKKWP33DFWS","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2139","","image-button-response","2","22938","0.0-2.0-0.0","A2FGKKWP33DFWS","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4688","","survey-text","3","27627","0.0-3.0-0.0","A2FGKKWP33DFWS","","","","{""Q0"":""A2FGKKWP33DFWS""}","","","","","","","","","","","","","","","","","","","","","","",""
"2796","","image-button-response_instructions","4","30425","0.0-4.0","A2FGKKWP33DFWS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1321","","image-button-response_instructions","5","31747","0.0-5.0","A2FGKKWP33DFWS","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"773","","image-button-response_instructions","6","32521","0.0-6.0","A2FGKKWP33DFWS","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1989","","image-button-response_instructions","7","34511","0.0-7.0","A2FGKKWP33DFWS","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1417","","image-button-response_instructions","8","35929","0.0-8.0","A2FGKKWP33DFWS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1003","","image-button-response_instructions","9","36933","0.0-9.0","A2FGKKWP33DFWS","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"867","","image-button-response_instructions","10","37801","0.0-10.0","A2FGKKWP33DFWS","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"869","","image-button-response_instructions","11","38671","0.0-11.0","A2FGKKWP33DFWS","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2409","","image-button-response_instructions","12","41081","0.0-12.0","A2FGKKWP33DFWS","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1945","","image-button-response_instructions","13","43027","0.0-13.0","A2FGKKWP33DFWS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1529","","image-button-response_instructions","14","44557","0.0-14.0","A2FGKKWP33DFWS","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1653","","image-button-response_instructions","15","46211","0.0-15.0","A2FGKKWP33DFWS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2218","","image-button-response_instructions","16","48429","0.0-16.0","A2FGKKWP33DFWS","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3387","","image-button-response_instructions","17","51817","0.0-17.0","A2FGKKWP33DFWS","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10467","","image-button-response_instructions","18","62285","0.0-18.0","A2FGKKWP33DFWS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"29984","","survey-text","19","92293","0.0-19.0-0.0","A2FGKKWP33DFWS","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"37578","","survey-text","20","129873","0.0-20.0-0.0","A2FGKKWP33DFWS","","","","{""Q0"":""it is using somewhat basic colors and is boring""}","","","","","","","","","","","","","","","","","","","","","","",""
"9871.199999988079","","image-slider-response","21","139747","0.0-21.0","A2FGKKWP33DFWS","","","","","-13","","","","","","","","","","","","","","","","","","","","","",""
