"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6464","external_page_harvard.html","external-html","0","6603","0.0-0.0","A2FJYDSAE26ILV","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1434","","image-button-response","1","8040","0.0-1.0","A2FJYDSAE26ILV","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1141","","image-button-response","2","9192","0.0-2.0-0.0","A2FJYDSAE26ILV","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2838","","survey-text","3","12032","0.0-3.0-0.0","A2FJYDSAE26ILV","","","","{""Q0"":""A2FJYDSAE26ILV""}","","","","","","","","","","","","","","","","","","","","","","",""
"4045","","image-button-response_instructions","4","16080","0.0-4.0","A2FJYDSAE26ILV","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12141","","image-button-response_instructions","5","28224","0.0-5.0","A2FJYDSAE26ILV","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7749","","image-button-response_instructions","6","35976","0.0-6.0","A2FJYDSAE26ILV","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4557","","image-button-response_instructions","7","40538","0.0-7.0","A2FJYDSAE26ILV","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20418","","image-button-response_instructions","8","60959","0.0-8.0","A2FJYDSAE26ILV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4141","","image-button-response_instructions","9","65103","0.0-9.0","A2FJYDSAE26ILV","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3102","","image-button-response_instructions","10","68207","0.0-10.0","A2FJYDSAE26ILV","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3109","","image-button-response_instructions","11","71319","0.0-11.0","A2FJYDSAE26ILV","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9654","","image-button-response_instructions","12","80976","0.0-12.0","A2FJYDSAE26ILV","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11580","","image-button-response_instructions","13","92560","0.0-13.0","A2FJYDSAE26ILV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10757","","image-button-response_instructions","14","103320","0.0-14.0","A2FJYDSAE26ILV","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5516","","image-button-response_instructions","15","108840","0.0-15.0","A2FJYDSAE26ILV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12492","","image-button-response_instructions","16","121335","0.0-16.0","A2FJYDSAE26ILV","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3591","","image-button-response_instructions","17","124928","0.0-17.0","A2FJYDSAE26ILV","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3805","","image-button-response_instructions","18","128735","0.0-18.0","A2FJYDSAE26ILV","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5219","","survey-text","19","133991","0.0-19.0-0.0","A2FJYDSAE26ILV","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"28796","","survey-text","20","162792","0.0-20.0-0.0","A2FJYDSAE26ILV","","","","{""Q0"":""It looks like cotton candy, but in painting form.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6171.4000000059605","","image-slider-response","21","168968","0.0-21.0","A2FJYDSAE26ILV","","","","","15","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","173974","0.0-22.0","A2FJYDSAE26ILV","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6510","","image-button-response","23","180489","0.0-23.0","A2FJYDSAE26ILV","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4386","","image-button-response","24","184880","0.0-24.0-0.0","A2FJYDSAE26ILV","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2522","","image-button-response","25","187409","0.0-25.0-0.0","A2FJYDSAE26ILV","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","188913","0.0-26.0","A2FJYDSAE26ILV","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","15","It looks like cotton candy, but in painting form.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"19519","","survey-text","27","208439","0.0-27.0-0.0","A2FJYDSAE26ILV","","","","{""Q0"":""Not professional, looks thrown together.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4700.200000017881","","image-slider-response","28","213143","0.0-28.0","A2FJYDSAE26ILV","","","","","-25","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","218147","0.0-29.0","A2FJYDSAE26ILV","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"857","","image-button-response","30","219008","0.0-30.0","A2FJYDSAE26ILV","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4132","","image-button-response","31","223145","0.0-31.0-0.0","A2FJYDSAE26ILV","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"6466","","image-button-response","32","229617","0.0-32.0-0.0","A2FJYDSAE26ILV","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","231121","0.0-33.0","A2FJYDSAE26ILV","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","-25","Not professional, looks thrown together.","Allison,Jenna,Katie,Dora,Kara,Jen","I don't have strong feelings about this,10,20,20","One of my pet peevs,-48,140,20","too much color!,-28,180,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","It reminds me of a fireplace,36,120,20","Dora","looks too angry,-50,80,20","Jen","It reminds me of a fireplace,36,120,20","Katie","too much color!,-28,180,20","0"
"13480","","survey-text","34","244608","0.0-34.0-0.0","A2FJYDSAE26ILV","","","","{""Q0"":""Arctic ice, in painting form. This is nice.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6148.0999999940395","","image-slider-response","35","250759","0.0-35.0","A2FJYDSAE26ILV","","","","","40","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","255764","0.0-36.0","A2FJYDSAE26ILV","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1433","","image-button-response","37","257201","0.0-37.0","A2FJYDSAE26ILV","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1507","","image-button-response","38","258713","0.0-38.0-0.0","A2FJYDSAE26ILV","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1010","","image-button-response","39","259728","0.0-39.0-0.0","A2FJYDSAE26ILV","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","260731","0.0-40.0","A2FJYDSAE26ILV","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","40","Arctic ice, in painting form. This is nice.","Leslie,Rose,Katie,Dora,Mary,Jen","It's an alright work,15,200,20","My daily routine, it's depressing,-20,240,20","It looks depressing,-26,180,20","My worst nightmare,-42,80,20","I like the overlapping of brushes,41,220,20","I can feel a rainy day from this painting,18,120,20","Mary","I like the overlapping of brushes,41,220,20","Jen","I can feel a rainy day from this painting,18,120,20","Leslie","It's an alright work,15,200,20","0"
"7164","","image-button-response_instructions","41","267903","0.0-41.0","A2FJYDSAE26ILV","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8597","","survey-likert","42","276504","0.0-42.0-0.0","A2FJYDSAE26ILV","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
