"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"10327","external_page_harvard.html","external-html","0","10401","0.0-0.0","A2G7XPM051Q1XB","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2876","","image-button-response","1","13277","0.0-1.0","A2G7XPM051Q1XB","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1422","","image-button-response","2","14703","0.0-2.0-0.0","A2G7XPM051Q1XB","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5554","","survey-text","3","20259","0.0-3.0-0.0","A2G7XPM051Q1XB","","","","{""Q0"":""A2G7XPM051Q1XB""}","","","","","","","","","","","","","","","","","","","","","","",""
"21791","","image-button-response_instructions","4","42052","0.0-4.0","A2G7XPM051Q1XB","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28588","","image-button-response_instructions","5","70640","0.0-5.0","A2G7XPM051Q1XB","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8243","","image-button-response_instructions","6","78884","0.0-6.0","A2G7XPM051Q1XB","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"24991","","image-button-response_instructions","7","103877","0.0-7.0","A2G7XPM051Q1XB","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17622","","image-button-response_instructions","8","121499","0.0-8.0","A2G7XPM051Q1XB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4417","","image-button-response_instructions","9","125917","0.0-9.0","A2G7XPM051Q1XB","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3078","","image-button-response_instructions","10","128995","0.0-10.0","A2G7XPM051Q1XB","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3867","","image-button-response_instructions","11","132863","0.0-11.0","A2G7XPM051Q1XB","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22171","","image-button-response_instructions","12","155035","0.0-12.0","A2G7XPM051Q1XB","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20637","","image-button-response_instructions","13","175673","0.0-13.0","A2G7XPM051Q1XB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6978","","image-button-response_instructions","14","182651","0.0-14.0","A2G7XPM051Q1XB","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4327","","image-button-response_instructions","15","186979","0.0-15.0","A2G7XPM051Q1XB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21487","","image-button-response_instructions","16","208467","0.0-16.0","A2G7XPM051Q1XB","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6388","","image-button-response_instructions","17","214855","0.0-17.0","A2G7XPM051Q1XB","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3580","","image-button-response_instructions","18","218435","0.0-18.0","A2G7XPM051Q1XB","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9269","","survey-text","19","227721","0.0-19.0-0.0","A2G7XPM051Q1XB","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
