"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"59455","external_page_harvard.html","external-html","0","59681","0.0-0.0","A2GJBE6D4GIADZ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2326","","image-button-response","1","62010","0.0-1.0","A2GJBE6D4GIADZ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3205","","image-button-response","2","65225","0.0-2.0-0.0","A2GJBE6D4GIADZ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6323","","survey-text","3","71551","0.0-3.0-0.0","A2GJBE6D4GIADZ","","","","{""Q0"":""A2GJBE6D4GIADZ""}","","","","","","","","","","","","","","","","","","","","","","",""
"6123","","image-button-response_instructions","4","77680","0.0-4.0","A2GJBE6D4GIADZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"65338","","image-button-response_instructions","5","143021","0.0-5.0","A2GJBE6D4GIADZ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14149","","image-button-response_instructions","6","157172","0.0-6.0","A2GJBE6D4GIADZ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5310","","image-button-response_instructions","7","162484","0.0-7.0","A2GJBE6D4GIADZ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9326","","image-button-response_instructions","8","171813","0.0-8.0","A2GJBE6D4GIADZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7858","","image-button-response_instructions","9","179672","0.0-9.0","A2GJBE6D4GIADZ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6489","","image-button-response_instructions","10","186163","0.0-10.0","A2GJBE6D4GIADZ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
