"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"1104105","external_page_harvard.html","external-html","0","1104206","0.0-0.0","A2GZNOA5CIVKUB","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1879","","image-button-response","1","1106095","0.0-1.0","A2GZNOA5CIVKUB","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616","","image-button-response","2","1107724","0.0-2.0-0.0","A2GZNOA5CIVKUB","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5781","","survey-text","3","1113509","0.0-3.0-0.0","A2GZNOA5CIVKUB","","","","{""Q0"":""A2GZNOA5CIVKUB""}","","","","","","","","","","","","","","","","","","","","","","",""
"4697","","image-button-response_instructions","4","1118212","0.0-4.0","A2GZNOA5CIVKUB","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11193","","image-button-response_instructions","5","1129409","0.0-5.0","A2GZNOA5CIVKUB","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3329","","image-button-response_instructions","6","1132745","0.0-6.0","A2GZNOA5CIVKUB","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2428","","image-button-response_instructions","7","1135179","0.0-7.0","A2GZNOA5CIVKUB","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2152","","image-button-response_instructions","8","1137336","0.0-8.0","A2GZNOA5CIVKUB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2651","","image-button-response_instructions","9","1139991","0.0-9.0","A2GZNOA5CIVKUB","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"988","","image-button-response_instructions","10","1140987","0.0-10.0","A2GZNOA5CIVKUB","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1266","","image-button-response_instructions","11","1142256","0.0-11.0","A2GZNOA5CIVKUB","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1129","","image-button-response_instructions","12","1143389","0.0-12.0","A2GZNOA5CIVKUB","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1513","","image-button-response_instructions","13","1144905","0.0-13.0","A2GZNOA5CIVKUB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1180","","image-button-response_instructions","14","1146089","0.0-14.0","A2GZNOA5CIVKUB","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"623","","image-button-response_instructions","15","1146716","0.0-15.0","A2GZNOA5CIVKUB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5084","","image-button-response_instructions","16","1151804","0.0-16.0","A2GZNOA5CIVKUB","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1141","","image-button-response_instructions","17","1152947","0.0-17.0","A2GZNOA5CIVKUB","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1305","","image-button-response_instructions","18","1154255","0.0-18.0","A2GZNOA5CIVKUB","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4124","","survey-text","19","1158456","0.0-19.0-0.0","A2GZNOA5CIVKUB","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"19257","","survey-text","20","1177720","0.0-20.0-0.0","A2GZNOA5CIVKUB","","","","{""Q0"":""Not extremely colorful.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3661.100000000559","","image-slider-response","21","1181392","0.0-21.0","A2GZNOA5CIVKUB","","","","","-29","","","","","","","","","","","","","","","","","","","","","",""
"3758","","image-button-response","22","1186404","0.0-22.0","A2GZNOA5CIVKUB","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1270","","image-button-response","23","1187683","0.0-23.0","A2GZNOA5CIVKUB","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"598","","image-button-response","24","1188287","0.0-24.0-0.0","A2GZNOA5CIVKUB","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"591","","image-button-response","25","1188889","0.0-25.0-0.0","A2GZNOA5CIVKUB","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","1190398","0.0-26.0","A2GZNOA5CIVKUB","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-29","Not extremely colorful.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Erika","I like the sophisticated brushwork,40,100,20","Jen","It reminds me of a candy land dream I had,36,120,20","0"
"12142","","survey-text","27","1202560","0.0-27.0-0.0","A2GZNOA5CIVKUB","","","","{""Q0"":""Scary dark colors.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3438.7000000001863","","image-slider-response","28","1206004","0.0-28.0","A2GZNOA5CIVKUB","","","","","-28","","","","","","","","","","","","","","","","","","","","","",""
"3104","","image-button-response","29","1211014","0.0-29.0","A2GZNOA5CIVKUB","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1051","","image-button-response","30","1212069","0.0-30.0","A2GZNOA5CIVKUB","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"631","","image-button-response","31","1212705","0.0-31.0-0.0","A2GZNOA5CIVKUB","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"539","","image-button-response","32","1213251","0.0-32.0-0.0","A2GZNOA5CIVKUB","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","1214759","0.0-33.0","A2GZNOA5CIVKUB","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","-28","Scary dark colors.","Jenna,Kara,Katie,Dora,Erika,Jen","One of my pet peevs,-48,140,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","looks too angry,-50,80,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Katie","too much color!,-28,180,20","Kara","I like the blocks of color arrangements,30,160,20","Jenna","One of my pet peevs,-48,140,20","0"
"13013","","survey-text","34","1227789","0.0-34.0-0.0","A2GZNOA5CIVKUB","","","","{""Q0"":""Way too messy and sad blue.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2985.5","","image-slider-response","35","1230779","0.0-35.0","A2GZNOA5CIVKUB","","","","","-25","","","","","","","","","","","","","","","","","","","","","",""
"4465","","image-button-response","36","1235787","0.0-36.0","A2GZNOA5CIVKUB","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"775","","image-button-response","37","1236567","0.0-37.0","A2GZNOA5CIVKUB","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"563","","image-button-response","38","1237139","0.0-38.0-0.0","A2GZNOA5CIVKUB","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"506","","image-button-response","39","1237655","0.0-39.0-0.0","A2GZNOA5CIVKUB","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","1238659","0.0-40.0","A2GZNOA5CIVKUB","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","-25","Way too messy and sad blue.","Jenna,Kara,Katie,Leslie,Mary,Rose","looks like a murder room,-35,140,20","calming blue is very nice,36,160,20","It looks depressing,-26,180,20","It's an alright work,15,200,20","I like the overlapping of brushes,41,220,20","My daily routine, it's depressing,-20,240,20","Rose","My daily routine, it's depressing,-20,240,20","Mary","I like the overlapping of brushes,41,220,20","Leslie","It's an alright work,15,200,20","0"
"4666","","image-button-response_instructions","41","1243342","0.0-41.0","A2GZNOA5CIVKUB","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12054","","survey-likert","42","1255404","0.0-42.0-0.0","A2GZNOA5CIVKUB","","","","{""Q0"":"""",""Q1"":0,""Q2"":0}","","","","","","","","","","","","","","","","","","","","","","",""
"3081","","survey-likert","43","1259903","0.0-42.1-0.1","A2GZNOA5CIVKUB","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"5109","","survey-text","44","1265033","0.0-43.0-0.0","A2GZNOA5CIVKUB","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"20036","","survey-text","45","1285076","0.0-44.0-0.0","A2GZNOA5CIVKUB","","","","{""Q0"":""Very weird and makes no sense. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"2963.300000000745","","image-slider-response","46","1288047","0.0-45.0","A2GZNOA5CIVKUB","","","","","-42","","","","","","","","","","","","","","","","","","","","","",""
"3919","","image-button-response","47","1293126","0.0-46.0","A2GZNOA5CIVKUB","img_art/16.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1094","","image-button-response","48","1294230","0.0-47.0","A2GZNOA5CIVKUB","img_art/16.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1001","","image-button-response","49","1295236","0.0-48.0-0.0","A2GZNOA5CIVKUB","img_art/16.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"661","","image-button-response","50","1295904","0.0-49.0-0.0","A2GZNOA5CIVKUB","img_art/16.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","51","1296408","0.0-50.0","A2GZNOA5CIVKUB","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/16.jpg","-42","Very weird and makes no sense. ","Cynthia,Kylie,Brittany,Kathryn,Claire,Kimberly","Dreamy and chaotic,-9,320,20","Mixed feelings. Warm and comfy yet somewhat violent. A stark contrast,0,300,20","Kind of dull, colors and drawings are not really interesting.,0,40,20","I see something that is supposed to be comforting but it's been discarded and lost.,-20,140,20","the materials used are interesting,30,260,20","Weird and creepy,-30,260,20","Brittany","Kind of dull, colors and drawings are not really interesting.,0,40,20","Kathryn","I see something that is supposed to be comforting but it's been discarded and lost.,-20,140,20","Claire","the materials used are interesting,30,260,20","1"
"5914","","survey-text","52","1302334","0.0-51.0-0.0","A2GZNOA5CIVKUB","","","","{""Q0"":""Way too chaotic. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"3302","","image-slider-response","53","1305647","0.0-52.0","A2GZNOA5CIVKUB","","","","","-30","","","","","","","","","","","","","","","","","","","","","",""
"2039","","image-button-response","54","1310654","0.0-53.0","A2GZNOA5CIVKUB","img_art/19.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"710","","image-button-response","55","1311375","0.0-54.0","A2GZNOA5CIVKUB","img_art/19.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"983","","image-button-response","56","1312365","0.0-55.0-0.0","A2GZNOA5CIVKUB","img_art/19.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2237","","image-button-response","57","1314608","0.0-56.0-0.0","A2GZNOA5CIVKUB","img_art/19.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","58","1315614","0.0-57.0","A2GZNOA5CIVKUB","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","2","img_art/19.jpg","-30","Way too chaotic. ","Andrea,Mackenzie,Brittany,Kathryn,Claire,Mariah","Feels like a cafe in Paris.,35,240,20","Shapes give it a feeling of being crowded,-18,20,20","It looks too much of a rough sketch. Don't really enjoy looking at it.,-9,40,20","This one feels pretty neutral. Like a window into someone's life, one person in a bustling metropolis.,0,140,20","way too much going on,-33,260,20","I like the watercolor and colors, do not like the deconstructed city scene feel.,0,140,20","Brittany","It looks too much of a rough sketch. Don't really enjoy looking at it.,-9,40,20","Mackenzie","Shapes give it a feeling of being crowded,-18,20,20","Andrea","Feels like a cafe in Paris.,35,240,20","1"
"6887","","survey-text","59","1322518","0.0-58.0-0.0","A2GZNOA5CIVKUB","","","","{""Q0"":""This is scary and haunting. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"3585.2000000001863","","image-slider-response","60","1326110","0.0-59.0","A2GZNOA5CIVKUB","","","","","-40","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","61","1331120","0.0-60.0","A2GZNOA5CIVKUB","img_art/25.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1126","","image-button-response","62","1332251","0.0-61.0","A2GZNOA5CIVKUB","img_art/25.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"611","","image-button-response","63","1332874","0.0-62.0-0.0","A2GZNOA5CIVKUB","img_art/25.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"809","","image-button-response","64","1333693","0.0-63.0-0.0","A2GZNOA5CIVKUB","img_art/25.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
