"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"21959","external_page_harvard.html","external-html","0","22028","0.0-0.0","A2HC9549CZAKNN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783","","image-button-response","1","23812","0.0-1.0","A2HC9549CZAKNN","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1922","","image-button-response","2","25737","0.0-2.0-0.0","A2HC9549CZAKNN","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2614","","survey-text","3","28352","0.0-3.0-0.0","A2HC9549CZAKNN","","","","{""Q0"":""A2HC9549CZAKNN""}","","","","","","","","","","","","","","","","","","","","","","",""
"57081","","image-button-response_instructions","4","85435","0.0-4.0","A2HC9549CZAKNN","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6977","","image-button-response_instructions","5","92412","0.0-5.0","A2HC9549CZAKNN","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2822","","image-button-response_instructions","6","95236","0.0-6.0","A2HC9549CZAKNN","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4541","","image-button-response_instructions","7","99777","0.0-7.0","A2HC9549CZAKNN","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7263","","image-button-response_instructions","8","107041","0.0-8.0","A2HC9549CZAKNN","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1780","","image-button-response_instructions","9","108821","0.0-9.0","A2HC9549CZAKNN","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2273","","image-button-response_instructions","10","111096","0.0-10.0","A2HC9549CZAKNN","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15780","","image-button-response_instructions","11","126876","0.0-11.0","A2HC9549CZAKNN","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4605","","image-button-response_instructions","12","131481","0.0-12.0","A2HC9549CZAKNN","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5612","","image-button-response_instructions","13","137094","0.0-13.0","A2HC9549CZAKNN","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4979","","image-button-response_instructions","14","142073","0.0-14.0","A2HC9549CZAKNN","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
