"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"207443","external_page_harvard.html","external-html","0","207572","0.0-0.0","A2I3IM3RJO2OL0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2813","","image-button-response","1","210387","0.0-1.0","A2I3IM3RJO2OL0","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5495","","image-button-response","2","215890","0.0-2.0-0.0","A2I3IM3RJO2OL0","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"11329","","survey-text","3","227222","0.0-3.0-0.0","A2I3IM3RJO2OL0","","","","{""Q0"":""A2I3IM3RJO2OL0""}","","","","","","","","","","","","","","","","","","","","","","",""
"31913","","image-button-response_instructions","4","259139","0.0-4.0","A2I3IM3RJO2OL0","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"29496","","image-button-response_instructions","5","288638","0.0-5.0","A2I3IM3RJO2OL0","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16970","","image-button-response_instructions","6","305611","0.0-6.0","A2I3IM3RJO2OL0","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14098","","image-button-response_instructions","7","319712","0.0-7.0","A2I3IM3RJO2OL0","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10091","","image-button-response_instructions","8","329805","0.0-8.0","A2I3IM3RJO2OL0","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6388","","image-button-response_instructions","9","336195","0.0-9.0","A2I3IM3RJO2OL0","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17254","","image-button-response_instructions","10","353451","0.0-10.0","A2I3IM3RJO2OL0","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8767","","image-button-response_instructions","11","362220","0.0-11.0","A2I3IM3RJO2OL0","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17728","","image-button-response_instructions","12","379950","0.0-12.0","A2I3IM3RJO2OL0","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20892","","image-button-response_instructions","13","400844","0.0-13.0","A2I3IM3RJO2OL0","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"24430","","image-button-response_instructions","14","425276","0.0-14.0","A2I3IM3RJO2OL0","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7808","","image-button-response_instructions","15","433086","0.0-15.0","A2I3IM3RJO2OL0","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16008","","image-button-response_instructions","16","449096","0.0-16.0","A2I3IM3RJO2OL0","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9314","","image-button-response_instructions","17","458412","0.0-17.0","A2I3IM3RJO2OL0","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4626","","image-button-response_instructions","18","463040","0.0-18.0","A2I3IM3RJO2OL0","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9696","","survey-text","19","472778","0.0-19.0-0.0","A2I3IM3RJO2OL0","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"18935","","survey-text","20","491716","0.0-20.0-0.0","A2I3IM3RJO2OL0","","","","{""Q0"":""This art looks somewhat messy.""}","","","","","","","","","","","","","","","","","","","","","","",""
"8697.600000023842","","image-slider-response","21","500421","0.0-21.0","A2I3IM3RJO2OL0","","","","","-18","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","505427","0.0-22.0","A2I3IM3RJO2OL0","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"9953","","image-button-response","23","515383","0.0-23.0","A2I3IM3RJO2OL0","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"7332","","image-button-response","24","522719","0.0-24.0-0.0","A2I3IM3RJO2OL0","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"13328","","image-button-response","25","536051","0.0-25.0-0.0","A2I3IM3RJO2OL0","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","536562","0.0-26.0","A2I3IM3RJO2OL0","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-18","This art looks somewhat messy.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Jen","It reminds me of a candy land dream I had,36,120,20","0"
"32139","","survey-text","27","568714","0.0-27.0-0.0","A2I3IM3RJO2OL0","","","","{""Q0"":""It looks like old rusted pieces in a factory""}","","","","","","","","","","","","","","","","","","","","","","",""
"8259.899999976158","","image-slider-response","28","576979","0.0-28.0","A2I3IM3RJO2OL0","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","581984","0.0-29.0","A2I3IM3RJO2OL0","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"10188","","image-button-response","30","592177","0.0-30.0","A2I3IM3RJO2OL0","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"16736","","image-button-response","31","608917","0.0-31.0-0.0","A2I3IM3RJO2OL0","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3174","","image-button-response","32","641287","0.0-31.1-0.1","A2I3IM3RJO2OL0","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2209","","image-button-response","33","643499","0.0-32.0-0.0","A2I3IM3RJO2OL0","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","644502","0.0-33.0","A2I3IM3RJO2OL0","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","11","It looks like old rusted pieces in a factory","Jenna,Ashley,Katie,Dora,Kara,Jen","One of my pet peevs,-48,140,20","Idk, it is just annoying,-32,40,20","too much color!,-28,180,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Jen","It reminds me of a fireplace,36,120,20","Ashley","Idk, it is just annoying,-32,40,20","2"
"28315","","survey-text","35","672830","0.0-34.0-0.0","A2I3IM3RJO2OL0","","","","{""Q0"":""It reminds me of walking on lake ice.""}","","","","","","","","","","","","","","","","","","","","","","",""
"8681.5","","image-slider-response","36","681515","0.0-35.0","A2I3IM3RJO2OL0","","","","","34","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","37","686519","0.0-36.0","A2I3IM3RJO2OL0","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"872","","image-button-response","38","687395","0.0-37.0","A2I3IM3RJO2OL0","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"8491","","image-button-response","39","695889","0.0-38.0-0.0","A2I3IM3RJO2OL0","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"9111","","image-button-response","40","705004","0.0-39.0-0.0","A2I3IM3RJO2OL0","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
