"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"688212","external_page_harvard.html","external-html","0","688883","0.0-0.0","A2JM1IVEZCXX3U","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1270","","image-button-response","1","690155","0.0-1.0","A2JM1IVEZCXX3U","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2384","","image-button-response","2","692545","0.0-2.0-0.0","A2JM1IVEZCXX3U","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5936","","survey-text","3","698483","0.0-3.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""A2JM1IVEZCXX3U""}","","","","","","","","","","","","","","","","","","","","","","",""
"2437","","image-button-response_instructions","4","700921","0.0-4.0","A2JM1IVEZCXX3U","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"53031","","image-button-response_instructions","5","753952","0.0-5.0","A2JM1IVEZCXX3U","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3309","","image-button-response_instructions","6","757262","0.0-6.0","A2JM1IVEZCXX3U","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5125","","image-button-response_instructions","7","762388","0.0-7.0","A2JM1IVEZCXX3U","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2254","","image-button-response_instructions","8","764644","0.0-8.0","A2JM1IVEZCXX3U","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3301","","image-button-response_instructions","9","767946","0.0-9.0","A2JM1IVEZCXX3U","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1661","","image-button-response_instructions","10","769608","0.0-10.0","A2JM1IVEZCXX3U","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1371","","image-button-response_instructions","11","770980","0.0-11.0","A2JM1IVEZCXX3U","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2965","","image-button-response_instructions","12","773946","0.0-12.0","A2JM1IVEZCXX3U","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9333","","image-button-response_instructions","13","783280","0.0-13.0","A2JM1IVEZCXX3U","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4775","","image-button-response_instructions","14","788056","0.0-14.0","A2JM1IVEZCXX3U","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3987","","image-button-response_instructions","15","792045","0.0-15.0","A2JM1IVEZCXX3U","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"250319","","image-button-response_instructions","16","1042366","0.0-16.0","A2JM1IVEZCXX3U","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1749","","image-button-response_instructions","17","1044116","0.0-17.0","A2JM1IVEZCXX3U","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1012","","image-button-response_instructions","18","1045128","0.0-18.0","A2JM1IVEZCXX3U","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3661","","survey-text","19","1048813","0.0-19.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"6250","","survey-text","20","1055065","0.0-20.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""looks like diarrhea""}","","","","","","","","","","","","","","","","","","","","","","",""
"3696","","image-slider-response","21","1058766","0.0-21.0","A2JM1IVEZCXX3U","","","","","-49","","","","","","","","","","","","","","","","","","","","","",""
"2387","","image-button-response","22","1063770","0.0-22.0","A2JM1IVEZCXX3U","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2689","","image-button-response","23","1066461","0.0-23.0","A2JM1IVEZCXX3U","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1334","","image-button-response","24","1067796","0.0-24.0-0.0","A2JM1IVEZCXX3U","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1956","","image-button-response","25","1069755","0.0-25.0-0.0","A2JM1IVEZCXX3U","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","1070758","0.0-26.0","A2JM1IVEZCXX3U","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-49","looks like diarrhea","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Adam","Seems like doodles,-20,20,20","Ben","This color reminds me of poo,-46,60,20","0"
"4195","","survey-text","27","1074960","0.0-27.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""murder scene""}","","","","","","","","","","","","","","","","","","","","","","",""
"3308.7000000476837","","image-slider-response","28","1078270","0.0-28.0","A2JM1IVEZCXX3U","","","","","-38","","","","","","","","","","","","","","","","","","","","","",""
"4048","","image-button-response","29","1083273","0.0-29.0","A2JM1IVEZCXX3U","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"731","","image-button-response","30","1084007","0.0-30.0","A2JM1IVEZCXX3U","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1847","","image-button-response","31","1085854","0.0-31.0-0.0","A2JM1IVEZCXX3U","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1122","","image-button-response","32","1086978","0.0-32.0-0.0","A2JM1IVEZCXX3U","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","1087482","0.0-33.0","A2JM1IVEZCXX3U","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-38","murder scene","Adam,John,Ben,James,Daniel,Kyle","too much color,-18,20,20","love the texture of paint,48,160,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","Daniel","One of my pet peevs,-48,100,20","Ben","meaningless painting,-45,60,20","Adam","too much color,-18,20,20","0"
"5994","","survey-text","34","1093486","0.0-34.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""looks like a mess""}","","","","","","","","","","","","","","","","","","","","","","",""
"3536.9000000953674","","image-slider-response","35","1097026","0.0-35.0","A2JM1IVEZCXX3U","","","","","-9","","","","","","","","","","","","","","","","","","","","","",""
"3269","","image-button-response","36","1102029","0.0-36.0","A2JM1IVEZCXX3U","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1230","","image-button-response","37","1103262","0.0-37.0","A2JM1IVEZCXX3U","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1598","","image-button-response","38","1104862","0.0-38.0-0.0","A2JM1IVEZCXX3U","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1523","","image-button-response","39","1106386","0.0-39.0-0.0","A2JM1IVEZCXX3U","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","1106889","0.0-40.0","A2JM1IVEZCXX3U","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","-9","looks like a mess","Adam,Ron,Ben,Mike,Daniel,Sam","My daily routine, it's depressing,-20,20,20","It looks depressing,-26,220,20","This thing gives me anxiety,-41,60,20","enjoy the different shades of blue,22,200,20","looks like a murder room,-35,100,20","I can feel a rainy day from this painting,18,240,20","Mike","enjoy the different shades of blue,22,200,20","Daniel","looks like a murder room,-35,100,20","Ben","This thing gives me anxiety,-41,60,20","0"
"120582","","image-button-response_instructions","41","1227474","0.0-41.0","A2JM1IVEZCXX3U","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6979","","survey-likert","42","1234454","0.0-42.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"2449","","survey-text","43","1236910","0.0-43.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"5679","","survey-text","44","1242590","0.0-44.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""positively vomitous""}","","","","","","","","","","","","","","","","","","","","","","",""
"2725.399999976158","","image-slider-response","45","1245318","0.0-45.0","A2JM1IVEZCXX3U","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"3626","","image-button-response","46","1250343","0.0-46.0","A2JM1IVEZCXX3U","img_art/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2043","","image-button-response","47","1252390","0.0-47.0","A2JM1IVEZCXX3U","img_art/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2461","","image-button-response","48","1254852","0.0-48.0-0.0","A2JM1IVEZCXX3U","img_art/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2550","","image-button-response","49","1257404","0.0-49.0-0.0","A2JM1IVEZCXX3U","img_art/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","1258906","0.0-50.0","A2JM1IVEZCXX3U","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","1","img_art/2.jpg","-50","positively vomitous","Mitchell,Grant,Jordan,Garrett,Bradley,Seth","Dependence. Things relying on each other. Caring,-4,180,20","The colors are entirely unappealing and very unpleasant to look at.,-20,200,20","Reminds me of my baby brother,11,160,20","I like this picture a little because the colors make it look a little vibrant.,10,180,20","I'm not fond of the colors in this one.,-33,300,20","I think I see people sitting in lawn chairs in a circle watching an event. Not really sure so I rated it lower.,-35,60,20","Grant","The colors are entirely unappealing and very unpleasant to look at.,-20,200,20","Bradley","I'm not fond of the colors in this one.,-33,300,20","Jordan","Reminds me of my baby brother,11,160,20","0"
"8635","","survey-text","51","1267548","0.0-51.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""its a bit chunky looking""}","","","","","","","","","","","","","","","","","","","","","","",""
"2828.600000023842","","image-slider-response","52","1270380","0.0-52.0","A2JM1IVEZCXX3U","","","","","-5","","","","","","","","","","","","","","","","","","","","","",""
"4251","","image-button-response","53","1275383","0.0-53.0","A2JM1IVEZCXX3U","img_art/24.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"835","","image-button-response","54","1276220","0.0-54.0","A2JM1IVEZCXX3U","img_art/24.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2879","","image-button-response","55","1279100","0.0-55.0-0.0","A2JM1IVEZCXX3U","img_art/24.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1059","","image-button-response","56","1280160","0.0-56.0-0.0","A2JM1IVEZCXX3U","img_art/24.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","57","1281662","0.0-57.0","A2JM1IVEZCXX3U","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","2","img_art/24.jpg","-5","its a bit chunky looking","Cameron,Grant,Jordan,Jorge,Bradley,Jeremy","Mountain stream pineapple texture?,30,60,20","The colors look nice, but the painting bores me.,-20,200,20","Beautiful waterfall I like waterfalls,39,160,20","Interested in visiting this place,18,180,20","Hmm. Don't know what to make of this one.,1,300,20","somewhat happy. I like the colors,38,60,20","Cameron","Mountain stream pineapple texture?,30,60,20","Grant","The colors look nice, but the painting bores me.,-20,200,20","Bradley","Hmm. Don't know what to make of this one.,1,300,20","0"
"55824","","survey-text","58","1337494","0.0-58.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""actually interesting""}","","","","","","","","","","","","","","","","","","","","","","",""
"2499.100000023842","","image-slider-response","59","1339996","0.0-59.0","A2JM1IVEZCXX3U","","","","","14","","","","","","","","","","","","","","","","","","","","","",""
"1859","","image-button-response","60","1344998","0.0-60.0","A2JM1IVEZCXX3U","img_art/27.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1376","","image-button-response","61","1346376","0.0-61.0","A2JM1IVEZCXX3U","img_art/27.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2685","","image-button-response","62","1349063","0.0-62.0-0.0","A2JM1IVEZCXX3U","img_art/27.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1460","","image-button-response","63","1350524","0.0-63.0-0.0","A2JM1IVEZCXX3U","img_art/27.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","64","1351526","0.0-64.0","A2JM1IVEZCXX3U","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","3","img_art/27.jpg","14","actually interesting","Cameron,Grant,Gregory,Ethan,Bradley,Cody","Like it, autumn colors, trees and foliage scene.,25,60,20","This feels like I'm looking at a child's scribbles.,-27,200,20","Don't like the mix of green with the warmer colors,-15,220,20","I like the layer upon layer of different mediums used here.,21,120,20","Yikes. I think I made this in kindergarten.,-20,300,20","Not sure how I feel about this. Messy, even for art. But good colors.,0,180,20","Bradley","Yikes. I think I made this in kindergarten.,-20,300,20","Cody","Not sure how I feel about this. Messy, even for art. But good colors.,0,180,20","Grant","This feels like I'm looking at a child's scribbles.,-27,200,20","0"
"5636","","survey-text","65","1357168","0.0-65.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""serial killer says what?""}","","","","","","","","","","","","","","","","","","","","","","",""
"3969.3000000715256","","image-slider-response","66","1361140","0.0-66.0","A2JM1IVEZCXX3U","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"3732","","image-button-response","67","1366144","0.0-67.0","A2JM1IVEZCXX3U","img_art/16.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2141","","image-button-response","68","1368289","0.0-68.0","A2JM1IVEZCXX3U","img_art/16.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"931","","image-button-response","69","1369222","0.0-69.0-0.0","A2JM1IVEZCXX3U","img_art/16.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1552","","image-button-response","70","1370777","0.0-70.0-0.0","A2JM1IVEZCXX3U","img_art/16.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","71","1371778","0.0-71.0","A2JM1IVEZCXX3U","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","4","img_art/16.jpg","-50","serial killer says what?","Colton,Grant,Justin,Dakota,Bradley,Cody","the materials used are interesting,30,220,20","This is making me feel nervous in an enjoyable way.,20,200,20","Kind of dull, colors and drawings are not really interesting.,0,280,20","depressing and confrontational,-9,280,20","This feels like there's some kind of pedofile thing going on here.,-50,300,20","Kind of creepyyyyyy,-41,180,20","Bradley","This feels like there's some kind of pedofile thing going on here.,-50,300,20","Justin","Kind of dull, colors and drawings are not really interesting.,0,280,20","Cody","Kind of creepyyyyyy,-41,180,20","0"
"19402","","survey-text","72","1391190","0.0-72.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""looks like jizz stains""}","","","","","","","","","","","","","","","","","","","","","","",""
"5406.900000095367","","image-slider-response","73","1396600","0.0-73.0","A2JM1IVEZCXX3U","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","74","1401602","0.0-74.0","A2JM1IVEZCXX3U","img_art/23.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2216","","image-button-response","75","1403820","0.0-75.0","A2JM1IVEZCXX3U","img_art/23.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1538","","image-button-response","76","1405362","0.0-76.0-0.0","A2JM1IVEZCXX3U","img_art/23.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1922","","image-button-response","77","1407286","0.0-77.0-0.0","A2JM1IVEZCXX3U","img_art/23.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","78","1408788","0.0-78.0","A2JM1IVEZCXX3U","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","5","img_art/23.jpg","-50","looks like jizz stains","Bryce,Stephen,Justin,Luke,Bradley,Cody","So beautiful with the white accents.,50,20,20","Solid colors but the white throws it off for me.,4,140,20","The white paint through the middle really draws the eye.,30,280,20","makes me happy and want to dance,43,20,20","I like the contrast and the bright colors in this one.,6,300,20","Love the use of colors and light,50,180,20","Justin","The white paint through the middle really draws the eye.,30,280,20","Stephen","Solid colors but the white throws it off for me.,4,140,20","Bradley","I like the contrast and the bright colors in this one.,6,300,20","0"
"2797","","survey-text","79","1411611","0.0-79.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""sky""}","","","","","","","","","","","","","","","","","","","","","","",""
"7035","","survey-text","80","1418648","0.0-80.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""very interesting shapes""}","","","","","","","","","","","","","","","","","","","","","","",""
"3113.899999976158","","image-slider-response","81","1421766","0.0-81.0","A2JM1IVEZCXX3U","","","","","10","","","","","","","","","","","","","","","","","","","","","",""
"1990","","image-button-response","82","1426769","0.0-82.0","A2JM1IVEZCXX3U","img_art/11.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3795","","image-button-response","83","1430568","0.0-83.0","A2JM1IVEZCXX3U","img_art/11.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"920","","image-button-response","84","1431490","0.0-84.0-0.0","A2JM1IVEZCXX3U","img_art/11.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1242","","image-button-response","85","1432734","0.0-85.0-0.0","A2JM1IVEZCXX3U","img_art/11.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","86","1433735","0.0-86.0","A2JM1IVEZCXX3U","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","6","img_art/11.jpg","10","very interesting shapes","Adam,Stephen,Justin,Peter,Bradley,Dustin","Kind of reminds me of DNA.,9,40,20","Very good use of colors,44,140,20","It reminds me of telephone wires.,1,280,20","Smoggy, oily, industrial. Don't like,1,320,20","WOW!  I love how the ships and the seas become one in this piece.,50,300,20","Dark and dreary. Makes me think of rain/water. I see grey clouds and high waves. Looks unsettling.,-20,20,20","Adam","Kind of reminds me of DNA.,9,40,20","Dustin","Dark and dreary. Makes me think of rain/water. I see grey clouds and high waves. Looks unsettling.,-20,20,20","Justin","It reminds me of telephone wires.,1,280,20","0"
"10815","","survey-text","87","1444559","0.0-87.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""it looks unfinished""}","","","","","","","","","","","","","","","","","","","","","","",""
"27735.600000023842","","image-slider-response","88","1472297","0.0-88.0","A2JM1IVEZCXX3U","","","","","-21","","","","","","","","","","","","","","","","","","","","","",""
"4056","","image-button-response","89","1477300","0.0-89.0","A2JM1IVEZCXX3U","img_art/15.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"810","","image-button-response","90","1478114","0.0-90.0","A2JM1IVEZCXX3U","img_art/15.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1960","","image-button-response","91","1480076","0.0-91.0-0.0","A2JM1IVEZCXX3U","img_art/15.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2287","","image-button-response","92","1482366","0.0-92.0-0.0","A2JM1IVEZCXX3U","img_art/15.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","93","1483368","0.0-93.0","A2JM1IVEZCXX3U","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","7","img_art/15.jpg","-21","it looks unfinished","Adam,Timothy,Justin,Kevin,Charles,Dustin","Eyes hunt for the blue in the black.,5,40,20","This painting gives a calm vibe but no stronger emotions than that,10,240,20","Color scheme and design are rather boring.,-10,280,20","Weird fuzzball bush.,22,320,20","it looks like lavender,10,100,20","Too much black. I see weeds or dead/dying flowers.,-40,20,20","Kevin","Weird fuzzball bush.,22,320,20","Dustin","Too much black. I see weeds or dead/dying flowers.,-40,20,20","Justin","Color scheme and design are rather boring.,-10,280,20","0"
"5110","","survey-text","94","1488482","0.0-94.0-0.0","A2JM1IVEZCXX3U","","","","{""Q0"":""dali-esque almost""}","","","","","","","","","","","","","","","","","","","","","","",""
"3584.100000023842","","image-slider-response","95","1492067","0.0-95.0","A2JM1IVEZCXX3U","","","","","24","","","","","","","","","","","","","","","","","","","","","",""
"4678","","image-button-response","96","1497070","0.0-96.0","A2JM1IVEZCXX3U","img_art/19.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1869","","image-button-response","97","1498942","0.0-97.0","A2JM1IVEZCXX3U","img_art/19.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2837","","image-button-response","98","1501780","0.0-98.0-0.0","A2JM1IVEZCXX3U","img_art/19.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1206","","image-button-response","99","1502988","0.0-99.0-0.0","A2JM1IVEZCXX3U","img_art/19.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","100","1503990","0.0-100.0","A2JM1IVEZCXX3U","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","8","img_art/19.jpg","24","dali-esque almost","Devon,Jacob,Justin,Kevin,Malik,Dustin","this looks like a busy city lifestyle,24,400,20","Vibrant and colorful,13,340,20","It looks too much of a rough sketch. Don't really enjoy looking at it.,-9,280,20","Thats a lazy town,-8,320,20","Very dreamlike,26,40,20","Too busy, makes me anxious and frustrated. Lots of movement in the brush strokes.,-9,20,20","Malik","Very dreamlike,26,40,20","Kevin","Thats a lazy town,-8,320,20","Devon","this looks like a busy city lifestyle,24,400,20","0"
