"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"11891","external_page_harvard.html","external-html","0","11981","0.0-0.0","A2JQI1SDHK32T6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1713","","image-button-response","1","13696","0.0-1.0","A2JQI1SDHK32T6","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2711","","image-button-response","2","16414","0.0-2.0-0.0","A2JQI1SDHK32T6","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10309","","survey-text","3","26725","0.0-3.0-0.0","A2JQI1SDHK32T6","","","","{""Q0"":""A2JQI1SDHK32T6""}","","","","","","","","","","","","","","","","","","","","","","",""
"13289","","image-button-response_instructions","4","40015","0.0-4.0","A2JQI1SDHK32T6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23511","","image-button-response_instructions","5","63527","0.0-5.0","A2JQI1SDHK32T6","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8107","","image-button-response_instructions","6","71635","0.0-6.0","A2JQI1SDHK32T6","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8409","","image-button-response_instructions","7","80046","0.0-7.0","A2JQI1SDHK32T6","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7234","","image-button-response_instructions","8","87281","0.0-8.0","A2JQI1SDHK32T6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5650","","image-button-response_instructions","9","92933","0.0-9.0","A2JQI1SDHK32T6","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5179","","image-button-response_instructions","10","98114","0.0-10.0","A2JQI1SDHK32T6","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2389","","image-button-response_instructions","11","100505","0.0-11.0","A2JQI1SDHK32T6","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5067","","image-button-response_instructions","12","105574","0.0-12.0","A2JQI1SDHK32T6","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10126","","image-button-response_instructions","13","115701","0.0-13.0","A2JQI1SDHK32T6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8153","","image-button-response_instructions","14","123854","0.0-14.0","A2JQI1SDHK32T6","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3205","","image-button-response_instructions","15","127061","0.0-15.0","A2JQI1SDHK32T6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6842","","image-button-response_instructions","16","133904","0.0-16.0","A2JQI1SDHK32T6","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7827","","image-button-response_instructions","17","141732","0.0-17.0","A2JQI1SDHK32T6","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1582","","image-button-response_instructions","18","143315","0.0-18.0","A2JQI1SDHK32T6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5092","","survey-text","19","148436","0.0-19.0-0.0","A2JQI1SDHK32T6","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"18154","","survey-text","20","166592","0.0-20.0-0.0","A2JQI1SDHK32T6","","","","{""Q0"":""This art is chaotic""}","","","","","","","","","","","","","","","","","","","","","","",""
"9594.699999988079","","image-slider-response","21","176189","0.0-21.0","A2JQI1SDHK32T6","","","","","-24","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","181201","0.0-22.0","A2JQI1SDHK32T6","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"17910","","image-button-response","23","199114","0.0-23.0","A2JQI1SDHK32T6","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6723","","image-button-response","24","205840","0.0-24.0-0.0","A2JQI1SDHK32T6","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2849","","image-button-response","25","208691","0.0-25.0-0.0","A2JQI1SDHK32T6","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","210195","0.0-26.0","A2JQI1SDHK32T6","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-24","This art is chaotic","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","Alex","very creative work.,36,40,20","Carl","very calming artwork,42,80,20","0"
"8079","","survey-text","27","218277","0.0-27.0-0.0","A2JQI1SDHK32T6","","","","{""Q0"":""great texture""}","","","","","","","","","","","","","","","","","","","","","","",""
"7448.900000035763","","image-slider-response","28","225728","0.0-28.0","A2JQI1SDHK32T6","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","230731","0.0-29.0","A2JQI1SDHK32T6","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"729","","image-button-response","30","231462","0.0-30.0","A2JQI1SDHK32T6","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5293","","image-button-response","31","236757","0.0-31.0-0.0","A2JQI1SDHK32T6","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
