"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"28145","external_page_harvard.html","external-html","0","28249","0.0-0.0","A2KAO546CF46AZ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1650","","image-button-response","1","29904","0.0-1.0","A2KAO546CF46AZ","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1682","","image-button-response","2","31600","0.0-2.0-0.0","A2KAO546CF46AZ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7902","","survey-text","3","39506","0.0-3.0-0.0","A2KAO546CF46AZ","","","","{""Q0"":""A2KAO546CF46AZ""}","","","","","","","","","","","","","","","","","","","","","","",""
"6796","","image-button-response_instructions","4","46308","0.0-4.0","A2KAO546CF46AZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13895","","image-button-response_instructions","5","60207","0.0-5.0","A2KAO546CF46AZ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11504","","image-button-response_instructions","6","71714","0.0-6.0","A2KAO546CF46AZ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9100","","image-button-response_instructions","7","80816","0.0-7.0","A2KAO546CF46AZ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15580","","image-button-response_instructions","8","96400","0.0-8.0","A2KAO546CF46AZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7021","","image-button-response_instructions","9","103424","0.0-9.0","A2KAO546CF46AZ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9475","","image-button-response_instructions","10","112902","0.0-10.0","A2KAO546CF46AZ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4764","","image-button-response_instructions","11","117669","0.0-11.0","A2KAO546CF46AZ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8039","","image-button-response_instructions","12","125710","0.0-12.0","A2KAO546CF46AZ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21426","","image-button-response_instructions","13","147138","0.0-13.0","A2KAO546CF46AZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11224","","image-button-response_instructions","14","158365","0.0-14.0","A2KAO546CF46AZ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7478","","image-button-response_instructions","15","165847","0.0-15.0","A2KAO546CF46AZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12284","","image-button-response_instructions","16","178134","0.0-16.0","A2KAO546CF46AZ","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14412","","image-button-response_instructions","17","192549","0.0-17.0","A2KAO546CF46AZ","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2027","","image-button-response_instructions","18","194579","0.0-18.0","A2KAO546CF46AZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7594","","survey-text","19","202273","0.0-19.0-0.0","A2KAO546CF46AZ","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"18137","","survey-text","20","220415","0.0-20.0-0.0","A2KAO546CF46AZ","","","","{""Q0"":""It reminds me of a field of flowers""}","","","","","","","","","","","","","","","","","","","","","","",""
"8665.299999952316","","image-slider-response","21","229089","0.0-21.0","A2KAO546CF46AZ","","","","","26","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","234114","0.0-22.0","A2KAO546CF46AZ","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"20129","","image-button-response","23","254248","0.0-23.0","A2KAO546CF46AZ","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2841","","image-button-response","24","257098","0.0-24.0-0.0","A2KAO546CF46AZ","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4398","","image-button-response","25","261511","0.0-25.0-0.0","A2KAO546CF46AZ","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","262019","0.0-26.0","A2KAO546CF46AZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","26","It reminds me of a field of flowers","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","Alex","very creative work.,36,40,20","Jack","I like the sophisticated brushwork,40,120,20","0"
"25067","","survey-text","27","287103","0.0-27.0-0.0","A2KAO546CF46AZ","","","","{""Q0"":""The reds are very harsh and really stand out""}","","","","","","","","","","","","","","","","","","","","","","",""
"6088.100000023842","","image-slider-response","28","293196","0.0-28.0","A2KAO546CF46AZ","","","","","4","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","298211","0.0-29.0","A2KAO546CF46AZ","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"12329","","image-button-response","30","310545","0.0-30.0","A2KAO546CF46AZ","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6557","","image-button-response","31","317109","0.0-31.0-0.0","A2KAO546CF46AZ","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3985","","image-button-response","32","321103","0.0-32.0-0.0","A2KAO546CF46AZ","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1072","","image-button-response","33","330177","0.0-32.1-0.1","A2KAO546CF46AZ","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","330691","0.0-33.0","A2KAO546CF46AZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","4","The reds are very harsh and really stand out","James,Alex,Kyle,Carl,John,Jack","looks too angry,-50,140,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","James","looks too angry,-50,140,20","John","love the texture of paint,48,160,20","Kyle","Idk, it is just annoying,-32,180,20","2"
"22577","","survey-text","35","353284","0.0-34.0-0.0","A2KAO546CF46AZ","","","","{""Q0"":""It feels very cold and reminds me of ice crystals""}","","","","","","","","","","","","","","","","","","","","","","",""
"8609.399999976158","","image-slider-response","36","361898","0.0-35.0","A2KAO546CF46AZ","","","","","18","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","37","366906","0.0-36.0","A2KAO546CF46AZ","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"757","","image-button-response","38","367671","0.0-37.0","A2KAO546CF46AZ","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3896","","image-button-response","39","371573","0.0-38.0-0.0","A2KAO546CF46AZ","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3724","","image-button-response","40","375307","0.0-39.0-0.0","A2KAO546CF46AZ","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","375812","0.0-40.0","A2KAO546CF46AZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","18","It feels very cold and reminds me of ice crystals","James,Ron,Kyle,Mike,John,Sam","My worst nightmare,-42,140,20","It looks depressing,-26,220,20","It looks like a playground for bats,-36,180,20","enjoy the different shades of blue,22,200,20","I like the overlapping of brushes,41,160,20","I can feel a rainy day from this painting,18,240,20","Mike","enjoy the different shades of blue,22,200,20","Sam","I can feel a rainy day from this painting,18,240,20","John","I like the overlapping of brushes,41,160,20","2"
"6470","","image-button-response_instructions","42","382302","0.0-41.0","A2KAO546CF46AZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11851","","survey-likert","43","394158","0.0-42.0-0.0","A2KAO546CF46AZ","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"5371","","survey-text","44","399564","0.0-43.0-0.0","A2KAO546CF46AZ","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"35091","","survey-text","45","434659","0.0-44.0-0.0","A2KAO546CF46AZ","","","","{""Q0"":""The colors are unappetizing and feel muddy.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3205.399999976158","","image-slider-response","46","437870","0.0-45.0","A2KAO546CF46AZ","","","","","-34","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","47","442962","0.0-46.0","A2KAO546CF46AZ","img_art/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"9751","","image-button-response","48","452718","0.0-47.0","A2KAO546CF46AZ","img_art/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","","image-button-response","49","454745","0.0-48.0-0.0","A2KAO546CF46AZ","img_art/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"836","","image-button-response","50","455590","0.0-49.0-0.0","A2KAO546CF46AZ","img_art/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
