"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"21026","external_page_harvard.html","external-html","0","21105","0.0-0.0","A2KE139TQ886T3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1872","","image-button-response","1","22981","0.0-1.0","A2KE139TQ886T3","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1493","","image-button-response","2","24481","0.0-2.0-0.0","A2KE139TQ886T3","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5299","","survey-text","3","29783","0.0-3.0-0.0","A2KE139TQ886T3","","","","{""Q0"":""A2KE139TQ886T3""}","","","","","","","","","","","","","","","","","","","","","","",""
"2351","","image-button-response_instructions","4","32138","0.0-4.0","A2KE139TQ886T3","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3110","","image-button-response_instructions","5","35249","0.0-5.0","A2KE139TQ886T3","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1739","","image-button-response_instructions","6","36990","0.0-6.0","A2KE139TQ886T3","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1098","","image-button-response_instructions","7","38090","0.0-7.0","A2KE139TQ886T3","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1144","","image-button-response_instructions","8","39235","0.0-8.0","A2KE139TQ886T3","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"903","","image-button-response_instructions","9","40139","0.0-9.0","A2KE139TQ886T3","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"778","","image-button-response_instructions","10","40919","0.0-10.0","A2KE139TQ886T3","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
