"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"16351","external_page_harvard.html","external-html","0","16486","0.0-0.0","A2L2E6J3D23CN4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"268760","","image-button-response","1","285250","0.0-1.0","A2L2E6J3D23CN4","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1695","","image-button-response","2","286954","0.0-2.0-0.0","A2L2E6J3D23CN4","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6928","","survey-text","3","293884","0.0-3.0-0.0","A2L2E6J3D23CN4","","","","{""Q0"":""A2L2E6J3D23CN4""}","","","","","","","","","","","","","","","","","","","","","","",""
"2311","","image-button-response_instructions","4","296198","0.0-4.0","A2L2E6J3D23CN4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4578","","image-button-response_instructions","5","300778","0.0-5.0","A2L2E6J3D23CN4","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"983","","image-button-response_instructions","6","301764","0.0-6.0","A2L2E6J3D23CN4","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1155","","image-button-response_instructions","7","302921","0.0-7.0","A2L2E6J3D23CN4","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1314","","image-button-response_instructions","8","304237","0.0-8.0","A2L2E6J3D23CN4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1301","","image-button-response_instructions","9","305540","0.0-9.0","A2L2E6J3D23CN4","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1180","","image-button-response_instructions","10","306722","0.0-10.0","A2L2E6J3D23CN4","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"595","","image-button-response_instructions","11","307319","0.0-11.0","A2L2E6J3D23CN4","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"961","","image-button-response_instructions","12","308280","0.0-12.0","A2L2E6J3D23CN4","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1034","","image-button-response_instructions","13","309316","0.0-13.0","A2L2E6J3D23CN4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2191","","image-button-response_instructions","14","311508","0.0-14.0","A2L2E6J3D23CN4","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"620","","image-button-response_instructions","15","312130","0.0-15.0","A2L2E6J3D23CN4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"655","","image-button-response_instructions","16","312787","0.0-16.0","A2L2E6J3D23CN4","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"852","","image-button-response_instructions","17","313640","0.0-17.0","A2L2E6J3D23CN4","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1691","","image-button-response_instructions","18","315333","0.0-18.0","A2L2E6J3D23CN4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3229","","survey-text","19","318610","0.0-19.0-0.0","A2L2E6J3D23CN4","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"12593","","survey-text","20","331205","0.0-20.0-0.0","A2L2E6J3D23CN4","","","","{""Q0"":""It uses limited colors and is very random.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2273.699999809265","","image-slider-response","21","333483","0.0-21.0","A2L2E6J3D23CN4","","","","","-17","","","","","","","","","","","","","","","","","","","","","",""
"4635","","image-button-response","22","338488","0.0-22.0","A2L2E6J3D23CN4","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3517","","image-button-response","23","342009","0.0-23.0","A2L2E6J3D23CN4","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1519","","image-button-response","24","343532","0.0-24.0-0.0","A2L2E6J3D23CN4","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2006","","image-button-response","25","345541","0.0-25.0-0.0","A2L2E6J3D23CN4","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","347044","0.0-26.0","A2L2E6J3D23CN4","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-17","It uses limited colors and is very random.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Jack","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","0"
"25967","","survey-text","27","373017","0.0-27.0-0.0","A2L2E6J3D23CN4","","","","{""Q0"":""The meshing of the colors is not present. I wonder how it was created.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2896.199999809265","","image-slider-response","28","375916","0.0-28.0","A2L2E6J3D23CN4","","","","","5","","","","","","","","","","","","","","","","","","","","","",""
"1800","","image-button-response","29","380920","0.0-29.0","A2L2E6J3D23CN4","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"206","","image-button-response","30","381129","0.0-30.0","A2L2E6J3D23CN4","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"851","","image-button-response","31","381983","0.0-31.0-0.0","A2L2E6J3D23CN4","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1483","","image-button-response","32","383469","0.0-32.0-0.0","A2L2E6J3D23CN4","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1251","","image-button-response","33","388206","0.0-32.1-0.1","A2L2E6J3D23CN4","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","389707","0.0-33.0","A2L2E6J3D23CN4","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","5","The meshing of the colors is not present. I wonder how it was created.","John,Alex,Kyle,James,Daniel,Jack","love the texture of paint,48,160,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Alex","I like the blocks of color arrangements,30,40,20","John","love the texture of paint,48,160,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","2"
"17043","","survey-text","35","406758","0.0-34.0-0.0","A2L2E6J3D23CN4","","","","{""Q0"":""The varying shades of blue are quite interesting.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2798.699999809265","","image-slider-response","36","409559","0.0-35.0","A2L2E6J3D23CN4","","","","","8","","","","","","","","","","","","","","","","","","","","","",""
"3347","","image-button-response","37","414563","0.0-36.0","A2L2E6J3D23CN4","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1267","","image-button-response","38","415833","0.0-37.0","A2L2E6J3D23CN4","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1129","","image-button-response","39","416966","0.0-38.0-0.0","A2L2E6J3D23CN4","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1166","","image-button-response","40","418136","0.0-39.0-0.0","A2L2E6J3D23CN4","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","419138","0.0-40.0","A2L2E6J3D23CN4","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","8","The varying shades of blue are quite interesting.","John,Alex,Sam,Mike,Ron,Jack","I like the overlapping of brushes,41,160,20","calming blue is very nice,36,40,20","I can feel a rainy day from this painting,18,240,20","enjoy the different shades of blue,22,200,20","It looks depressing,-26,220,20","I feel connected to the artist,40,120,20","John","I like the overlapping of brushes,41,160,20","Mike","enjoy the different shades of blue,22,200,20","Alex","calming blue is very nice,36,40,20","2"
"1999","","image-button-response_instructions","42","421143","0.0-41.0","A2L2E6J3D23CN4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9974","","survey-likert","43","431119","0.0-42.0-0.0","A2L2E6J3D23CN4","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
