"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"28898","external_page_harvard.html","external-html","0","29032","0.0-0.0","A2LDDDJ4WBKB8Y","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1328","","image-button-response","1","30363","0.0-1.0","A2LDDDJ4WBKB8Y","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1724","","image-button-response","2","32094","0.0-2.0-0.0","A2LDDDJ4WBKB8Y","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5414","","survey-text","3","37512","0.0-3.0-0.0","A2LDDDJ4WBKB8Y","","","","{""Q0"":""A2LDDDJ4WBKB8Y""}","","","","","","","","","","","","","","","","","","","","","","",""
"3154","","image-button-response_instructions","4","40668","0.0-4.0","A2LDDDJ4WBKB8Y","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7749","","image-button-response_instructions","5","48419","0.0-5.0","A2LDDDJ4WBKB8Y","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5547","","image-button-response_instructions","6","53968","0.0-6.0","A2LDDDJ4WBKB8Y","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"30469","","image-button-response_instructions","7","84440","0.0-7.0","A2LDDDJ4WBKB8Y","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2624","","image-button-response_instructions","8","87064","0.0-8.0","A2LDDDJ4WBKB8Y","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1435","","image-button-response_instructions","9","88501","0.0-9.0","A2LDDDJ4WBKB8Y","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1095","","image-button-response_instructions","10","89597","0.0-10.0","A2LDDDJ4WBKB8Y","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"896","","image-button-response_instructions","11","90495","0.0-11.0","A2LDDDJ4WBKB8Y","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1933","","image-button-response_instructions","12","92430","0.0-12.0","A2LDDDJ4WBKB8Y","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3544","","image-button-response_instructions","13","95975","0.0-13.0","A2LDDDJ4WBKB8Y","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1493","","image-button-response_instructions","14","97470","0.0-14.0","A2LDDDJ4WBKB8Y","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1616","","image-button-response_instructions","15","99088","0.0-15.0","A2LDDDJ4WBKB8Y","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
