"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"39403","external_page_harvard.html","external-html","0","39487","0.0-0.0","A2LKGF193ZR5JP","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3110","","image-button-response","1","42598","0.0-1.0","A2LKGF193ZR5JP","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2505","","image-button-response","2","45109","0.0-2.0-0.0","A2LKGF193ZR5JP","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8918","","survey-text","3","54029","0.0-3.0-0.0","A2LKGF193ZR5JP","","","","{""Q0"":""A2LKGF193ZR5JP""}","","","","","","","","","","","","","","","","","","","","","","",""
"9040","","image-button-response_instructions","4","63071","0.0-4.0","A2LKGF193ZR5JP","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25634","","image-button-response_instructions","5","88708","0.0-5.0","A2LKGF193ZR5JP","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5653","","image-button-response_instructions","6","94363","0.0-6.0","A2LKGF193ZR5JP","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6552","","image-button-response_instructions","7","100916","0.0-7.0","A2LKGF193ZR5JP","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7245","","image-button-response_instructions","8","108163","0.0-8.0","A2LKGF193ZR5JP","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6033","","image-button-response_instructions","9","114196","0.0-9.0","A2LKGF193ZR5JP","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5275","","image-button-response_instructions","10","119474","0.0-10.0","A2LKGF193ZR5JP","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7272","","image-button-response_instructions","11","126747","0.0-11.0","A2LKGF193ZR5JP","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
