"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"44711","external_page_harvard.html","external-html","0","44828","0.0-0.0","A2M2WHA77ACWTX","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2357","","image-button-response","1","47190","0.0-1.0","A2M2WHA77ACWTX","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2717","","image-button-response","2","49917","0.0-2.0-0.0","A2M2WHA77ACWTX","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"17796","","survey-text","3","67715","0.0-3.0-0.0","A2M2WHA77ACWTX","","","","{""Q0"":""A2M2WHA77ACWTX""}","","","","","","","","","","","","","","","","","","","","","","",""
"12895","","image-button-response_instructions","4","80614","0.0-4.0","A2M2WHA77ACWTX","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19522","","image-button-response_instructions","5","100139","0.0-5.0","A2M2WHA77ACWTX","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12548","","image-button-response_instructions","6","112690","0.0-6.0","A2M2WHA77ACWTX","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7864","","image-button-response_instructions","7","120557","0.0-7.0","A2M2WHA77ACWTX","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18275","","image-button-response_instructions","8","138835","0.0-8.0","A2M2WHA77ACWTX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10972","","image-button-response_instructions","9","149808","0.0-9.0","A2M2WHA77ACWTX","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7463","","image-button-response_instructions","10","157272","0.0-10.0","A2M2WHA77ACWTX","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6998","","image-button-response_instructions","11","164274","0.0-11.0","A2M2WHA77ACWTX","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11961","","image-button-response_instructions","12","176238","0.0-12.0","A2M2WHA77ACWTX","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"47681","","image-button-response_instructions","13","223920","0.0-13.0","A2M2WHA77ACWTX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28905","","image-button-response_instructions","14","252827","0.0-14.0","A2M2WHA77ACWTX","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9145","","image-button-response_instructions","15","261975","0.0-15.0","A2M2WHA77ACWTX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20816","","image-button-response_instructions","16","282792","0.0-16.0","A2M2WHA77ACWTX","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7247","","image-button-response_instructions","17","290042","0.0-17.0","A2M2WHA77ACWTX","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5467","","image-button-response_instructions","18","295511","0.0-18.0","A2M2WHA77ACWTX","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12519","","survey-text","19","308055","0.0-19.0-0.0","A2M2WHA77ACWTX","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"35121","","survey-text","20","343178","0.0-20.0-0.0","A2M2WHA77ACWTX","","","","{""Q0"":""A lot of falling movement.""}","","","","","","","","","","","","","","","","","","","","","","",""
"9340.100000023842","","image-slider-response","21","352524","0.0-21.0","A2M2WHA77ACWTX","","","","","6","","","","","","","","","","","","","","","","","","","","","",""
