"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"17705","external_page_harvard.html","external-html","0","17785","0.0-0.0","A2MQMMCVZJTFL2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1369","","image-button-response","1","19156","0.0-1.0","A2MQMMCVZJTFL2","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1778","","image-button-response","2","20940","0.0-2.0-0.0","A2MQMMCVZJTFL2","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6879","","survey-text","3","27820","0.0-3.0-0.0","A2MQMMCVZJTFL2","","","","{""Q0"":""A2MQMMCVZJTFL2""}","","","","","","","","","","","","","","","","","","","","","","",""
"5312","","image-button-response_instructions","4","33135","0.0-4.0","A2MQMMCVZJTFL2","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18369","","image-button-response_instructions","5","51505","0.0-5.0","A2MQMMCVZJTFL2","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4649","","image-button-response_instructions","6","56155","0.0-6.0","A2MQMMCVZJTFL2","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9769","","image-button-response_instructions","7","65925","0.0-7.0","A2MQMMCVZJTFL2","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3306","","image-button-response_instructions","8","69233","0.0-8.0","A2MQMMCVZJTFL2","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"547","","image-button-response_instructions","9","69781","0.0-9.0","A2MQMMCVZJTFL2","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"675","","image-button-response_instructions","10","70457","0.0-10.0","A2MQMMCVZJTFL2","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"829","","image-button-response_instructions","11","71287","0.0-11.0","A2MQMMCVZJTFL2","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3627","","image-button-response_instructions","12","74915","0.0-12.0","A2MQMMCVZJTFL2","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10194","","image-button-response_instructions","13","85110","0.0-13.0","A2MQMMCVZJTFL2","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3368","","image-button-response_instructions","14","88478","0.0-14.0","A2MQMMCVZJTFL2","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2641","","image-button-response_instructions","15","91121","0.0-15.0","A2MQMMCVZJTFL2","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4581","","image-button-response_instructions","16","95703","0.0-16.0","A2MQMMCVZJTFL2","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5081","","image-button-response_instructions","17","100785","0.0-17.0","A2MQMMCVZJTFL2","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"939","","image-button-response_instructions","18","101725","0.0-18.0","A2MQMMCVZJTFL2","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6441","","survey-text","19","108190","0.0-19.0-0.0","A2MQMMCVZJTFL2","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"6943","","survey-text","20","115136","0.0-20.0-0.0","A2MQMMCVZJTFL2","","","","{""Q0"":""It is pretty, I like the colors.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3766.7999999523163","","image-slider-response","21","118905","0.0-21.0","A2MQMMCVZJTFL2","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","123913","0.0-22.0","A2MQMMCVZJTFL2","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2540","","image-button-response","23","126457","0.0-23.0","A2MQMMCVZJTFL2","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1055","","image-button-response","24","127514","0.0-24.0-0.0","A2MQMMCVZJTFL2","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1234","","image-button-response","25","128749","0.0-25.0-0.0","A2MQMMCVZJTFL2","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","130253","0.0-26.0","A2MQMMCVZJTFL2","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","13","It is pretty, I like the colors.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Allison","looks like a lot of things going on in the mist,20,20,20","Jen","It reminds me of a candy land dream I had,36,120,20","0"
"7289","","survey-text","27","137552","0.0-27.0-0.0","A2MQMMCVZJTFL2","","","","{""Q0"":""Too dark and strange for my tastes.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2825.699999809265","","image-slider-response","28","140379","0.0-28.0","A2MQMMCVZJTFL2","","","","","-21","","","","","","","","","","","","","","","","","","","","","",""
"3728","","image-button-response","29","145382","0.0-29.0","A2MQMMCVZJTFL2","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"221","","image-button-response","30","145607","0.0-30.0","A2MQMMCVZJTFL2","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025","","image-button-response","31","147633","0.0-31.0-0.0","A2MQMMCVZJTFL2","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1837","","image-button-response","32","149471","0.0-32.0-0.0","A2MQMMCVZJTFL2","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1728","","image-button-response","33","154009","0.0-32.1-0.1","A2MQMMCVZJTFL2","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","155517","0.0-33.0","A2MQMMCVZJTFL2","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","-21","Too dark and strange for my tastes.","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Allison","I don't have strong feelings about this,10,20,20","Katie","too much color!,-28,180,20","Jen","It reminds me of a fireplace,36,120,20","2"
"12360","","survey-text","35","167887","0.0-34.0-0.0","A2MQMMCVZJTFL2","","","","{""Q0"":""I find this one interesting, I like the shades of blue""}","","","","","","","","","","","","","","","","","","","","","","",""
"3109.7000000476837","","image-slider-response","36","170998","0.0-35.0","A2MQMMCVZJTFL2","","","","","14","","","","","","","","","","","","","","","","","","","","","",""
"1997","","image-button-response","37","176010","0.0-36.0","A2MQMMCVZJTFL2","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1005","","image-button-response","38","177019","0.0-37.0","A2MQMMCVZJTFL2","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2052","","image-button-response","39","179073","0.0-38.0-0.0","A2MQMMCVZJTFL2","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1520","","image-button-response","40","180595","0.0-39.0-0.0","A2MQMMCVZJTFL2","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
