"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"22707","external_page_harvard.html","external-html","0","22789","0.0-0.0","A2NQO8RQIG3D0C","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2099","","image-button-response","1","24891","0.0-1.0","A2NQO8RQIG3D0C","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6069","","image-button-response","2","30971","0.0-2.0-0.0","A2NQO8RQIG3D0C","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9571","","survey-text","3","40546","0.0-3.0-0.0","A2NQO8RQIG3D0C","","","","{""Q0"":""A2NQO8RQIG3D0C""}","","","","","","","","","","","","","","","","","","","","","","",""
"7842","","image-button-response_instructions","4","48391","0.0-4.0","A2NQO8RQIG3D0C","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"30898","","image-button-response_instructions","5","79293","0.0-5.0","A2NQO8RQIG3D0C","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12685","","image-button-response_instructions","6","91981","0.0-6.0","A2NQO8RQIG3D0C","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11422","","image-button-response_instructions","7","103406","0.0-7.0","A2NQO8RQIG3D0C","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23697","","image-button-response_instructions","8","127105","0.0-8.0","A2NQO8RQIG3D0C","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6747","","image-button-response_instructions","9","133855","0.0-9.0","A2NQO8RQIG3D0C","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6123","","image-button-response_instructions","10","139981","0.0-10.0","A2NQO8RQIG3D0C","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5013","","image-button-response_instructions","11","144996","0.0-11.0","A2NQO8RQIG3D0C","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13487","","image-button-response_instructions","12","158485","0.0-12.0","A2NQO8RQIG3D0C","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20937","","image-button-response_instructions","13","179425","0.0-13.0","A2NQO8RQIG3D0C","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16487","","image-button-response_instructions","14","195915","0.0-14.0","A2NQO8RQIG3D0C","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8514","","image-button-response_instructions","15","204429","0.0-15.0","A2NQO8RQIG3D0C","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17581","","image-button-response_instructions","16","222011","0.0-16.0","A2NQO8RQIG3D0C","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8224","","image-button-response_instructions","17","230237","0.0-17.0","A2NQO8RQIG3D0C","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2953","","image-button-response_instructions","18","233192","0.0-18.0","A2NQO8RQIG3D0C","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16445","","survey-text","19","249669","0.0-19.0-0.0","A2NQO8RQIG3D0C","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"85858","","survey-text","20","335530","0.0-20.0-0.0","A2NQO8RQIG3D0C","","","","{""Q0"":""I love the mix of the pink, orange, yellow, and gold colors .""}","","","","","","","","","","","","","","","","","","","","","","",""
"6211.900000095367","","image-slider-response","21","341748","0.0-21.0","A2NQO8RQIG3D0C","","","","","38","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","346761","0.0-22.0","A2NQO8RQIG3D0C","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7709","","image-button-response","23","354474","0.0-23.0","A2NQO8RQIG3D0C","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3232","","image-button-response","24","357712","0.0-24.0-0.0","A2NQO8RQIG3D0C","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
